Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kishanganj,Potato,1150,1250,1200,03-01-2024
2,Kishanganj,Potato,1200,1300,1250,01-02-2024
3,Kishanganj,Potato,1200,1300,1250,01-03-2024
4,Kishanganj,Potato,1200,1300,1250,02-02-2024
5,Kishanganj,Potato,1200,1300,1250,02-01-2024
6,Kishanganj,Potato,1200,1300,1250,03-02-2024
7,Kishanganj,Potato,1200,1300,1250,05-02-2024
8,Kishanganj,Potato,1200,1300,1250,05-03-2024
9,Kishanganj,Potato,1200,1300,1250,06-02-2024
10,Kishanganj,Potato,1200,1300,1250,06-03-2024
11,Kishanganj,Potato,1200,1300,1250,07-02-2024
12,Kishanganj,Potato,1200,1300,1250,07-01-2024
13,Kishanganj,Potato,1200,1300,1250,07-03-2024
14,Kishanganj,Potato,1200,1300,1250,08-02-2024
15,Kishanganj,Potato,1200,1300,1250,08-01-2024
16,Kishanganj,Potato,1200,1300,1250,09-02-2024
17,Kishanganj,Potato,1200,1300,1250,09-01-2024
18,Kishanganj,Potato,1200,1300,1250,11-02-2024
19,Kishanganj,Potato,1200,1300,1250,12-01-2024
20,Kishanganj,Potato,1200,1300,1250,13-02-2024
21,Kishanganj,Potato,1200,1300,1250,13-01-2024
22,Kishanganj,Potato,1200,1300,1250,14-01-2024
23,Kishanganj,Potato,1200,1300,1250,15-01-2024
24,Kishanganj,Potato,1200,1300,1250,18-03-2024
25,Kishanganj,Potato,1200,1300,1250,19-01-2024
26,Kishanganj,Potato,1200,1300,1250,20-01-2024
27,Kishanganj,Potato,1200,1300,1250,21-01-2024
28,Kishanganj,Potato,1200,1300,1250,22-01-2024
29,Kishanganj,Potato,1200,1300,1250,22-03-2024
30,Kishanganj,Potato,1200,1300,1250,23-02-2024
31,Kishanganj,Potato,1200,1300,1250,23-01-2024
32,Kishanganj,Potato,1200,1300,1250,23-03-2024
33,Kishanganj,Potato,1200,1300,1250,24-02-2024
34,Kishanganj,Potato,1200,1300,1250,24-01-2024
35,Kishanganj,Potato,1200,1300,1250,25-01-2024
36,Kishanganj,Potato,1200,1300,1250,26-02-2024
37,Kishanganj,Potato,1200,1300,1250,26-01-2024
38,Kishanganj,Potato,1200,1300,1250,27-02-2024
39,Kishanganj,Potato,1200,1300,1250,27-01-2024
40,Kishanganj,Potato,1200,1300,1250,28-02-2024
41,Kishanganj,Potato,1200,1300,1250,28-01-2024
42,Kishanganj,Potato,1200,1300,1250,29-01-2024
43,Kishanganj,Potato,1200,1300,1250,30-01-2024
44,Kishanganj,Potato,1200,1300,1250,31-01-2024
45,Kishanganj,Potato,1200,1350,1250,11-01-2024
46,Kishanganj,Potato,1200,1350,1300,05-01-2024
47,Kishanganj,Potato,1200,1350,1300,13-03-2024
48,Kishanganj,Potato,1200,1400,1300,01-01-2024
49,Kishanganj,Potato,1200,1400,1300,02-03-2024
50,Kishanganj,Potato,1200,1400,1300,03-04-2024
51,Kishanganj,Potato,1200,1400,1300,04-03-2024
52,Kishanganj,Potato,1200,1400,1300,05-04-2024
53,Kishanganj,Potato,1200,1400,1300,06-04-2024
54,Kishanganj,Potato,1200,1400,1300,07-04-2024
55,Kishanganj,Potato,1200,1400,1300,08-04-2024
56,Kishanganj,Potato,1200,1400,1300,09-04-2024
57,Kishanganj,Potato,1200,1400,1300,10-01-2024
58,Kishanganj,Potato,1200,1400,1300,20-02-2024
59,Kishanganj,Potato,1200,1400,1300,20-03-2024
60,Kishanganj,Potato,1200,1400,1300,21-03-2024
61,Kishanganj,Potato,1200,1400,1300,22-02-2024
62,Kishanganj,Potato,1200,1400,1300,25-02-2024
63,Kishanganj,Potato,1200,1450,1300,04-04-2024
64,Kishanganj,Potato,1200,1450,1350,03-03-2024
65,Kishanganj,Potato,1200,1500,1300,21-02-2024
66,Kishanganj,Potato,1250,1350,1300,04-02-2024
67,Kishanganj,Potato,1250,1350,1300,06-01-2024
68,Kishanganj,Potato,1250,1350,1300,08-03-2024
69,Kishanganj,Potato,1250,1350,1300,09-03-2024
70,Kishanganj,Potato,1250,1350,1300,10-02-2024
71,Kishanganj,Potato,1250,1350,1300,10-03-2024
72,Kishanganj,Potato,1250,1350,1300,11-03-2024
73,Kishanganj,Potato,1250,1350,1300,12-02-2024
74,Kishanganj,Potato,1250,1350,1300,12-03-2024
75,Kishanganj,Potato,1250,1350,1300,14-02-2024
76,Kishanganj,Potato,1250,1350,1300,14-03-2024
77,Kishanganj,Potato,1250,1350,1300,15-02-2024
78,Kishanganj,Potato,1250,1350,1300,15-03-2024
79,Kishanganj,Potato,1250,1350,1300,16-02-2024
80,Kishanganj,Potato,1250,1350,1300,17-02-2024
81,Kishanganj,Potato,1250,1350,1300,17-03-2024
82,Kishanganj,Potato,1250,1350,1300,18-01-2024
83,Kishanganj,Potato,1250,1350,1300,19-02-2024
84,Kishanganj,Potato,1250,1350,1300,19-03-2024
85,Kishanganj,Potato,1250,1350,1300,29-02-2024
86,Kishanganj,Potato,1250,1400,1300,04-01-2024
87,Kishanganj,Potato,1250,1400,1300,16-03-2024
88,Kishanganj,Potato,1250,1450,1350,02-04-2024
89,Kishanganj,Potato,1300,1400,1350,16-01-2024
90,Kishanganj,Potato,1300,1500,1400,18-02-2024
91,Kishanganj,Potato,1500,1900,1700,26-04-2024
92,Kishanganj,Potato,1800,2000,1900,17-04-2024
93,Kishanganj,Potato,1800,2200,2000,18-04-2024
94,Kishanganj,Potato,1800,2200,2000,19-04-2024
95,Kishanganj,Potato,1800,2200,2000,20-04-2024
96,Kishanganj,Potato,1850,2250,2050,21-04-2024
97,Kishanganj,Potato,1850,2250,2150,23-04-2024
98,Kishanganj,Potato,1850,2250,2150,24-04-2024
99,Kishanganj,Potato,1900,2200,2000,30-04-2024
100,Kishanganj,Potato,1950,2200,2150,27-04-2024
101,Kishanganj,Potato,2000,2200,2100,01-06-2024
102,Kishanganj,Potato,2000,2200,2100,01-05-2024
103,Kishanganj,Potato,2000,2200,2100,02-07-2024
104,Kishanganj,Potato,2000,2200,2100,02-05-2024
105,Kishanganj,Potato,2000,2200,2100,03-07-2024
106,Kishanganj,Potato,2000,2200,2100,03-06-2024
107,Kishanganj,Potato,2000,2200,2100,03-05-2024
108,Kishanganj,Potato,2000,2200,2100,04-07-2024
109,Kishanganj,Potato,2000,2200,2100,04-06-2024
110,Kishanganj,Potato,2000,2200,2100,05-06-2024
111,Kishanganj,Potato,2000,2200,2100,05-05-2024
112,Kishanganj,Potato,2000,2200,2100,06-07-2024
113,Kishanganj,Potato,2000,2200,2100,06-06-2024
114,Kishanganj,Potato,2000,2200,2100,06-05-2024
115,Kishanganj,Potato,2000,2200,2100,07-06-2024
116,Kishanganj,Potato,2000,2200,2100,07-05-2024
117,Kishanganj,Potato,2000,2200,2100,08-06-2024
118,Kishanganj,Potato,2000,2200,2100,08-05-2024
119,Kishanganj,Potato,2000,2200,2100,09-06-2024
120,Kishanganj,Potato,2000,2200,2100,09-05-2024
121,Kishanganj,Potato,2000,2200,2100,10-05-2024
122,Kishanganj,Potato,2000,2200,2100,11-06-2024
123,Kishanganj,Potato,2000,2200,2100,11-05-2024
124,Kishanganj,Potato,2000,2200,2100,12-06-2024
125,Kishanganj,Potato,2000,2200,2100,12-05-2024
126,Kishanganj,Potato,2000,2200,2100,13-05-2024
127,Kishanganj,Potato,2000,2200,2100,14-05-2024
128,Kishanganj,Potato,2000,2200,2100,15-06-2024
129,Kishanganj,Potato,2000,2200,2100,15-05-2024
130,Kishanganj,Potato,2000,2200,2100,16-05-2024
131,Kishanganj,Potato,2000,2200,2100,17-06-2024
132,Kishanganj,Potato,2000,2200,2100,18-05-2024
133,Kishanganj,Potato,2000,2200,2100,19-06-2024
134,Kishanganj,Potato,2000,2200,2100,19-05-2024
135,Kishanganj,Potato,2000,2200,2100,20-06-2024
136,Kishanganj,Potato,2000,2200,2100,20-05-2024
137,Kishanganj,Potato,2000,2200,2100,21-06-2024
138,Kishanganj,Potato,2000,2200,2100,21-05-2024
139,Kishanganj,Potato,2000,2200,2100,22-06-2024
140,Kishanganj,Potato,2000,2200,2100,22-05-2024
141,Kishanganj,Potato,2000,2200,2100,23-06-2024
142,Kishanganj,Potato,2000,2200,2100,23-05-2024
143,Kishanganj,Potato,2000,2200,2100,24-06-2024
144,Kishanganj,Potato,2000,2200,2100,24-05-2024
145,Kishanganj,Potato,2000,2200,2100,25-05-2024
146,Kishanganj,Potato,2000,2200,2100,26-05-2024
147,Kishanganj,Potato,2000,2200,2100,27-05-2024
148,Kishanganj,Potato,2000,2200,2100,28-04-2024
149,Kishanganj,Potato,2000,2200,2100,28-06-2024
150,Kishanganj,Potato,2000,2200,2100,28-05-2024
151,Kishanganj,Potato,2000,2200,2100,29-04-2024
152,Kishanganj,Potato,2000,2200,2100,29-05-2024
153,Kishanganj,Potato,2000,2200,2100,30-06-2024
154,Kishanganj,Potato,2050,2150,2100,02-06-2024
155,Kishanganj,Potato,2050,2200,2100,14-06-2024
156,Kishanganj,Potato,2050,2200,2100,18-06-2024
157,Kishanganj,Potato,2050,2200,2100,25-06-2024
158,Kishanganj,Potato,2050,2200,2150,10-06-2024
159,Kishanganj,Potato,2050,2250,2150,05-07-2024
160,Kishanganj,Potato,2050,2250,2150,17-05-2024
161,Kishanganj,Potato,2050,2250,2150,30-05-2024
162,Kishanganj,Potato,2100,2250,2200,16-06-2024
163,Kishanganj,Potato,2100,2300,2200,01-07-2024
164,Kishanganj,Potato,2100,2300,2200,04-05-2024
165,Kishanganj,Potato,2100,2300,2200,27-06-2024
166,Kishanganj,Potato,2100,2300,2200,29-06-2024
167,Kishanganj,Potato,2200,2400,2300,07-07-2024
168,Kishanganj,Potato,2200,2400,2300,08-07-2024
169,Kishanganj,Potato,2200,2400,2300,09-07-2024
170,Kishanganj,Potato,2200,2400,2300,10-07-2024
171,Kishanganj,Potato,2200,2400,2300,11-07-2024
172,Kishanganj,Potato,2200,2400,2300,26-06-2024
173,Kishanganj,Potato,2300,2500,2400,12-07-2024
174,Kishanganj,Potato,2300,2500,2400,13-07-2024
175,Kishanganj,Potato,2300,2500,2400,14-07-2024
176,Kishanganj,Potato,2300,2500,2400,15-07-2024
177,Kishanganj,Potato,2300,2500,2400,17-07-2024
178,Kishanganj,Potato,2300,2500,2400,18-07-2024
179,Kishanganj,Potato,2300,2500,2400,19-07-2024
180,Kishanganj,Potato,2300,2500,2400,20-07-2024
181,Kishanganj,Potato,2300,2500,2400,21-07-2024
182,Kishanganj,Potato,2300,2500,2400,22-07-2024
183,Kishanganj,Potato,2300,2500,2400,28-09-2024
184,Kishanganj,Potato,2350,2450,2400,07-09-2024
185,Kishanganj,Potato,2350,2550,2450,01-10-2024
186,Kishanganj,Potato,2350,2550,2450,09-09-2024
187,Kishanganj,Potato,2350,2550,2450,29-09-2024
188,Kishanganj,Potato,2400,2600,2500,02-10-2024
189,Kishanganj,Potato,2400,2600,2500,02-09-2024
190,Kishanganj,Potato,2400,2600,2500,04-10-2024
191,Kishanganj,Potato,2400,2600,2500,06-10-2024
192,Kishanganj,Potato,2400,2600,2500,08-09-2024
193,Kishanganj,Potato,2400,2600,2500,10-10-2024
