Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolar,Potato,1600,1800,1700,02-10-2024
2,Kolar,Potato,1600,1800,1700,03-10-2024
3,Kolar,Potato,1600,1800,1700,08-11-2024
4,Kolar,Potato,1600,1800,1700,09-11-2024
5,Kolar,Potato,1600,1800,1700,11-11-2024
6,Kolar,Potato,2200,2900,2800,08-06-2024
7,Kolar,Potato,400,900,600,28-12-2024
8,Kolar,Potato,600,1800,1700,31-01-2024
9,Kolar,Potato,600,1900,1800,03-02-2024
10,Kolar,Potato,600,2000,1500,13-03-2024
11,Kolar,Potato,600,2000,1500,16-03-2024
12,Kolar,Potato,600,2000,1900,20-03-2024
13,Kolar,Potato,600,2000,1900,23-03-2024
14,Kolar,Potato,600,2000,1900,24-01-2024
15,Kolar,Potato,600,2000,1900,30-03-2024
16,Kolar,Potato,600,2400,2300,06-04-2024
17,Kolar,Potato,600,2600,2000,18-12-2024
18,Kolar,Potato,600,2600,2000,20-12-2024
19,Kolar,Potato,600,2600,2000,22-12-2024
20,Kolar,Potato,600,2600,2000,23-12-2024
21,Kolar,Potato,600,2600,2000,25-12-2024
22,Kolar,Potato,600,2600,2000,29-12-2024
23,Kolar,Potato,600,2700,2000,30-12-2024
24,Kolar,Potato,600,2700,2000,31-12-2024
25,Kolar,Potato,600,2800,2400,02-12-2024
26,Kolar,Potato,600,2800,2700,13-04-2024
27,Kolar,Potato,600,2800,2700,24-04-2024
28,Kolar,Potato,600,3000,2000,17-12-2024
29,Kolar,Potato,600,3000,2500,01-12-2024
30,Kolar,Potato,600,3000,2500,06-11-2024
31,Kolar,Potato,600,3000,2500,08-11-2024
32,Kolar,Potato,600,3000,2500,12-11-2024
33,Kolar,Potato,600,3000,2500,14-12-2024
34,Kolar,Potato,600,3000,2500,15-12-2024
35,Kolar,Potato,600,3000,2500,26-10-2024
36,Kolar,Potato,600,3000,2600,01-01-2025
37,Kolar,Potato,600,3200,3000,13-11-2024
38,Kolar,Potato,600,3400,3000,11-11-2024
39,Kolar,Potato,600,3400,3000,18-11-2024
40,Kolar,Potato,600,3500,2800,10-11-2024
41,Kolar,Potato,600,3600,2600,03-12-2024
42,Kolar,Potato,600,3600,2600,04-12-2024
43,Kolar,Potato,600,3600,2600,26-11-2024
44,Kolar,Potato,600,3600,2600,27-11-2024
45,Kolar,Potato,600,3800,2600,07-12-2024
46,Kolar,Potato,600,3800,2600,08-12-2024
47,Kolar,Potato,600,3800,2600,25-11-2024
48,Kolar,Potato,800,2800,1800,20-04-2024
49,Kolar,Potato,800,2800,2700,17-04-2024
50,Kolar,Potato,1200,1800,1700,19-06-2024
51,Kolar,Potato,1600,2000,1900,06-03-2024
52,Kolar,Potato,1800,1900,1800,21-02-2024
53,Kolar,Potato,1800,2000,1900,10-02-2024
54,Kolar,Potato,1800,2000,1900,10-01-2024
55,Kolar,Potato,1800,2000,1900,14-02-2024
56,Kolar,Potato,1800,2000,1900,17-01-2024
57,Kolar,Potato,1800,2200,2000,06-01-2024
58,Kolar,Potato,1800,2200,2100,02-03-2024
59,Kolar,Potato,2000,2400,2300,03-04-2024
60,Kolar,Potato,2000,2600,2300,21-12-2024
61,Kolar,Potato,2000,2800,2400,25-05-2024
62,Kolar,Potato,2000,2800,2700,04-05-2024
63,Kolar,Potato,2000,2800,2700,18-05-2024
64,Kolar,Potato,2200,2400,2300,29-06-2024
65,Kolar,Potato,2200,2800,2700,22-05-2024
66,Kolar,Potato,2300,2800,2700,27-06-2024
67,Kolar,Potato,2300,3000,2900,03-07-2024
68,Kolar,Potato,2400,2600,2500,06-09-2024
69,Kolar,Potato,2400,2600,2500,13-10-2024
70,Kolar,Potato,2400,2600,2500,20-11-2024
71,Kolar,Potato,2400,2600,2500,25-09-2024
72,Kolar,Potato,2400,2600,2500,27-09-2024
73,Kolar,Potato,2400,2600,2500,28-09-2024
74,Kolar,Potato,2400,2600,2500,29-09-2024
75,Kolar,Potato,2400,2600,2550,24-09-2024
76,Kolar,Potato,2400,2600,2550,30-09-2024
77,Kolar,Potato,2400,2800,2600,05-06-2024
