Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Madurai,Potato,5000,6000,6000,28-08-2024
2,Madurai,Potato,5000,5500,5500,27-09-2024
3,Madurai,Potato,5000,6000,6000,16-11-2024
4,Madurai,Potato,5000,6000,6000,05-08-2024
5,Madurai,Potato,5000,5800,5800,13-09-2024
6,Madurai,Potato,5000,5600,5600,18-12-2024
7,Madurai,Potato,5000,6000,6000,01-09-2024
8,Madurai,Potato,5000,6000,6000,28-10-2024
9,Madurai,Potato,5000,6000,6000,27-07-2024
10,Madurai,Potato,5000,6000,6000,26-10-2024
11,Madurai,Potato,5000,5500,5500,01-10-2024
12,Madurai,Potato,4000,4800,4800,29-12-2024
13,Madurai,Potato,5000,5500,5500,09-09-2024
14,Madurai,Potato,5000,6000,6000,27-10-2024
15,Madurai,Potato,5000,5400,5400,22-12-2024
16,Madurai,Potato,5000,6000,6000,06-08-2024
17,Madurai,Potato,5000,6000,6000,22-11-2024
18,Madurai,Potato,5000,6000,6000,01-08-2024
19,Madurai,Potato,5000,6000,6000,23-11-2024
20,Madurai,Potato,5000,7000,7000,10-08-2024
21,Madurai,Potato,5000,6000,6000,22-07-2024
22,Madurai,Potato,5000,6000,6000,19-11-2024
23,Madurai,Potato,5000,5500,5500,04-10-2024
24,Madurai,Potato,5000,5400,5400,21-12-2024
25,Madurai,Potato,5000,5600,5600,14-12-2024
26,Madurai,Potato,5000,6500,6500,04-09-2024
27,Madurai,Potato,5000,6000,6000,03-11-2024
28,Madurai,Potato,5000,6000,6000,25-07-2024
29,Madurai,Potato,5500,6800,6800,27-08-2024
30,Madurai,Potato,5000,6000,6000,20-10-2024
31,Madurai,Potato,4000,4500,4500,23-12-2024
32,Madurai,Potato,5000,6000,6000,14-11-2024
33,Madurai,Potato,5000,7000,7000,07-08-2024
34,Madurai,Potato,5000,6000,6000,05-11-2024
35,Madurai,Potato,4000,4500,4500,24-12-2024
36,Madurai,Potato,5000,5600,5600,15-12-2024
37,Madurai,Potato,5000,6000,6000,13-11-2024
38,Madurai,Potato,5000,6000,6000,17-07-2024
39,Madurai,Potato,5000,5500,5500,11-09-2024
40,Madurai,Potato,5000,6000,6000,23-07-2024
41,Madurai,Potato,5000,7000,7000,08-08-2024
42,Madurai,Potato,5000,6000,6000,17-10-2024
43,Madurai,Potato,5000,6000,6000,08-12-2024
44,Madurai,Potato,5000,6000,6000,11-11-2024
45,Madurai,Potato,5000,6000,6000,26-07-2024
46,Madurai,Potato,5500,5800,5800,02-12-2024
47,Madurai,Potato,4800,6500,6500,21-08-2024
48,Madurai,Potato,5500,6000,6000,04-12-2024
49,Madurai,Potato,5000,6000,6000,07-09-2024
50,Madurai,Potato,5000,5600,5600,16-12-2024
51,Madurai,Potato,5000,6000,6000,08-10-2024
52,Madurai,Potato,5200,6000,6000,17-09-2024
53,Madurai,Potato,5000,5500,5500,12-12-2024
54,Madurai,Potato,6000,6500,6500,20-08-2024
55,Madurai,Potato,5000,7000,7000,11-08-2024
56,Madurai,Potato,5000,6000,6000,25-10-2024
57,Madurai,Potato,4000,4800,4800,31-12-2024
58,Madurai,Potato,5000,6000,6000,30-08-2024
59,Madurai,Potato,5000,5500,5500,05-10-2024
60,Madurai,Potato,5000,6000,6000,21-11-2024
61,Madurai,Potato,5000,5500,5500,10-09-2024
62,Madurai,Potato,5000,5500,5500,29-09-2024
63,Madurai,Potato,5000,5500,5500,02-10-2024
64,Madurai,Potato,5000,6000,6000,29-07-2024
65,Madurai,Potato,5000,6000,6000,16-10-2024
66,Madurai,Potato,5000,6000,6000,24-11-2024
67,Madurai,Potato,5000,6000,6000,31-08-2024
68,Madurai,Potato,5000,6000,6000,04-11-2024
69,Madurai,Potato,5500,6000,6000,26-11-2024
70,Madurai,Potato,5000,6000,6000,15-10-2024
71,Madurai,Potato,5000,5500,5500,14-10-2024
72,Madurai,Potato,5000,5800,5800,23-09-2024
73,Madurai,Potato,5000,5500,5500,26-09-2024
74,Madurai,Potato,7000,8000,8000,16-07-2024
75,Madurai,Potato,5000,6000,6000,14-09-2024
76,Madurai,Potato,5000,5800,5800,21-09-2024
77,Madurai,Potato,5000,6500,6500,05-09-2024
78,Madurai,Potato,5000,7000,7000,09-08-2024
79,Madurai,Potato,5000,6000,6000,04-08-2024
80,Madurai,Potato,5000,5400,5400,19-12-2024
81,Madurai,Potato,4800,5500,5500,19-09-2024
82,Madurai,Potato,5000,5500,5500,06-10-2024
83,Madurai,Potato,4000,4800,4800,30-12-2024
84,Madurai,Potato,5000,6000,6000,01-11-2024
85,Madurai,Potato,5000,6000,6000,13-10-2024
86,Madurai,Potato,5000,6000,6000,19-07-2024
87,Madurai,Potato,5000,6000,6000,30-07-2024
88,Madurai,Potato,5000,6000,6000,15-09-2024
89,Madurai,Potato,4000,5000,5000,01-01-2025
90,Madurai,Potato,4800,6800,6800,25-08-2024
91,Madurai,Potato,5000,6000,6000,25-11-2024
92,Madurai,Potato,5000,5500,5500,08-09-2024
93,Madurai,Potato,5000,6000,6000,29-10-2024
94,Madurai,Potato,5000,6000,6000,30-10-2024
95,Madurai,Potato,5000,6000,6000,24-07-2024
96,Madurai,Potato,5800,6000,6000,09-12-2024
97,Madurai,Potato,4800,6500,6500,17-08-2024
98,Madurai,Potato,4000,4800,4800,28-12-2024
99,Madurai,Potato,5000,5800,5800,24-09-2024
100,Madurai,Potato,5000,6000,6000,27-11-2024
101,Madurai,Potato,5500,6000,6000,22-10-2024
102,Madurai,Potato,5000,5500,5500,03-10-2024
103,Madurai,Potato,5000,6000,6000,23-10-2024
104,Madurai,Potato,5000,5500,5500,09-10-2024
105,Madurai,Potato,5000,5600,5600,13-12-2024
106,Madurai,Potato,5000,5500,5500,18-09-2024
107,Madurai,Potato,4500,6000,6000,18-10-2024
108,Madurai,Potato,4000,4500,4500,26-12-2024
109,Madurai,Potato,4800,6500,6500,18-08-2024
110,Madurai,Potato,5000,5500,5500,28-09-2024
111,Madurai,Potato,5000,6000,6000,26-08-2024
112,Madurai,Potato,5000,5400,5400,20-12-2024
113,Madurai,Potato,5000,6000,6000,06-12-2024
114,Madurai,Potato,5000,6000,6000,07-12-2024
115,Madurai,Potato,4800,6500,6500,19-08-2024
116,Madurai,Potato,4800,5500,5500,12-09-2024
117,Madurai,Potato,5000,6000,6000,28-11-2024
118,Madurai,Potato,5000,6000,6000,11-10-2024
119,Madurai,Potato,5000,6000,6000,21-10-2024
120,Madurai,Potato,5000,6000,6000,05-12-2024
121,Madurai,Potato,5000,5500,5500,25-09-2024
122,Madurai,Potato,5000,6000,6000,12-10-2024
123,Madurai,Potato,5000,6000,6000,21-07-2024
124,Madurai,Potato,5000,7000,7000,13-08-2024
125,Madurai,Potato,5000,6000,6000,31-07-2024
126,Madurai,Potato,4000,6000,6000,08-11-2024
127,Madurai,Potato,5000,6000,6000,29-08-2024
128,Madurai,Potato,5000,6000,6000,12-11-2024
129,Madurai,Potato,5000,5500,5500,10-10-2024
130,Madurai,Potato,5000,6000,6000,02-08-2024
131,Madurai,Potato,5000,6000,6000,19-10-2024
132,Madurai,Potato,5000,6000,6000,03-08-2024
133,Madurai,Potato,4500,4800,4800,27-12-2024
134,Madurai,Potato,4800,6800,6800,24-08-2024
135,Madurai,Potato,5000,5600,5600,17-12-2024
136,Madurai,Potato,5000,6000,6000,17-11-2024
137,Madurai,Potato,5000,5500,5500,24-10-2024
138,Madurai,Potato,5000,6000,6000,28-07-2024
139,Madurai,Potato,5000,6000,6000,18-07-2024
140,Madurai,Potato,5000,6000,6000,16-09-2024
141,Madurai,Potato,5000,6800,6800,23-08-2024
142,Madurai,Potato,5800,6000,6000,03-12-2024
143,Madurai,Potato,5000,6000,6000,20-07-2024
144,Madurai,Potato,5000,5500,5500,07-10-2024
145,Madurai,Potato,5800,6000,6000,10-12-2024
146,Madurai,Potato,4800,6500,6500,22-08-2024
