Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Moga,Potato,600,800,700,10-02-2024
2,Moga,Potato,600,800,700,12-02-2024
3,Moga,Potato,600,800,700,13-02-2024
4,Moga,Potato,700,900,800,08-02-2024
5,Moga,Potato,700,900,800,09-02-2024
6,Moga,Potato,800,1000,900,03-01-2024
7,Moga,Potato,800,1000,900,10-01-2024
8,Moga,Potato,800,1000,900,22-01-2024
9,Moga,Potato,800,1000,900,23-01-2024
10,Moga,Potato,900,1100,1000,02-01-2024
11,Moga,Potato,1000,1200,1100,25-03-2024
12,Moga,Potato,1000,1200,1100,26-03-2024
13,Moga,Potato,1000,1200,1100,27-03-2024
14,Moga,Potato,1000,1200,1100,28-03-2024
15,Moga,Potato,1100,1300,1200,11-04-2024
16,Moga,Potato,1100,1300,1200,12-04-2024
17,Moga,Potato,1100,1300,1200,13-04-2024
18,Moga,Potato,1100,1300,1200,15-04-2024
19,Moga,Potato,1200,1400,1300,26-04-2024
20,Moga,Potato,1200,1400,1300,27-04-2024
21,Moga,Potato,1200,1400,1300,29-04-2024
22,Moga,Potato,1200,1400,1300,30-04-2024
23,Moga,Potato,1600,2000,1800,01-08-2024
24,Moga,Potato,1600,2000,1800,02-08-2024
25,Moga,Potato,1600,2000,1800,03-08-2024
26,Moga,Potato,1600,2000,1800,03-05-2024
27,Moga,Potato,1600,2000,1800,04-05-2024
28,Moga,Potato,1600,2000,1800,06-05-2024
29,Moga,Potato,1600,2000,1800,10-06-2024
30,Moga,Potato,1600,2000,1800,11-06-2024
31,Moga,Potato,1600,2000,1800,12-08-2024
32,Moga,Potato,1600,2000,1800,17-06-2024
33,Moga,Potato,1600,2000,1800,18-06-2024
34,Moga,Potato,1600,2000,1800,19-06-2024
35,Moga,Potato,1600,2000,1800,20-05-2024
36,Moga,Potato,1600,2000,1800,21-05-2024
37,Moga,Potato,1600,2000,1800,22-05-2024
38,Moga,Potato,1600,2000,1800,27-08-2024
39,Moga,Potato,1600,2000,1800,27-05-2024
40,Moga,Potato,1600,2000,1800,28-05-2024
41,Moga,Potato,1600,2200,1800,09-05-2024
42,Moga,Potato,1800,2100,2000,14-09-2024
43,Moga,Potato,1800,2100,2000,16-09-2024
44,Moga,Potato,1800,2100,2000,19-10-2024
45,Moga,Potato,1800,2200,2000,05-08-2024
46,Moga,Potato,1800,2200,2000,06-09-2024
47,Moga,Potato,1800,2200,2000,07-09-2024
48,Moga,Potato,1800,2200,2000,09-08-2024
49,Moga,Potato,1800,2200,2000,09-09-2024
50,Moga,Potato,1800,2200,2000,10-08-2024
51,Moga,Potato,1800,2200,2000,10-09-2024
52,Moga,Potato,1800,2200,2000,11-09-2024
53,Moga,Potato,1800,2200,2000,17-09-2024
54,Moga,Potato,1800,2200,2000,18-09-2024
55,Moga,Potato,1800,2200,2000,19-07-2024
56,Moga,Potato,1800,2200,2000,19-09-2024
57,Moga,Potato,1800,2200,2000,20-09-2024
58,Moga,Potato,1800,2200,2000,22-07-2024
59,Moga,Potato,1800,2200,2000,23-07-2024
60,Moga,Potato,1800,2200,2000,24-07-2024
61,Moga,Potato,1800,2200,2000,25-07-2024
62,Moga,Potato,1800,2200,2000,26-08-2024
63,Moga,Potato,1800,2200,2000,26-07-2024
64,Moga,Potato,1800,2200,2000,28-08-2024
65,Moga,Potato,1800,2200,2000,31-08-2024
