Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Muktsar,Potato,1800,1800,1800,17-12-2024
2,Muktsar,Potato,900,900,900,08-02-2024
3,Muktsar,Potato,500,600,600,19-01-2024
4,Muktsar,Potato,900,900,900,06-02-2024
5,Muktsar,Potato,800,800,800,15-02-2024
6,Muktsar,Potato,2500,2500,2500,13-12-2024
7,Muktsar,Potato,1000,1000,1000,04-07-2024
8,Muktsar,Potato,400,500,450,05-03-2024
9,Muktsar,Potato,2000,2000,2000,05-08-2024
10,Muktsar,Potato,1000,1000,1000,26-02-2024
11,Muktsar,Potato,1000,1000,1000,28-02-2024
12,Muktsar,Potato,700,900,800,30-03-2024
13,Muktsar,Potato,1500,1600,1600,30-07-2024
14,Muktsar,Potato,600,600,600,23-01-2024
15,Muktsar,Potato,1000,1000,1000,21-02-2024
16,Muktsar,Potato,500,500,500,10-01-2024
17,Muktsar,Potato,1600,1600,1600,24-06-2024
18,Muktsar,Potato,2000,2200,2100,19-09-2024
19,Muktsar,Potato,800,800,800,06-02-2024
20,Muktsar,Potato,600,600,600,04-01-2024
21,Muktsar,Potato,1500,1600,1600,25-06-2024
22,Muktsar,Potato,1000,1000,1000,15-01-2024
23,Muktsar,Potato,800,800,800,07-03-2024
24,Muktsar,Potato,600,800,800,16-03-2024
25,Muktsar,Potato,700,800,750,06-01-2024
26,Muktsar,Potato,900,900,900,09-02-2024
27,Muktsar,Potato,2200,2200,2200,11-12-2024
28,Muktsar,Potato,600,600,600,03-01-2024
29,Muktsar,Potato,1400,1400,1400,08-10-2024
30,Muktsar,Potato,1600,1800,1800,30-12-2024
31,Muktsar,Potato,800,1200,1200,02-06-2024
32,Muktsar,Potato,1000,1000,1000,08-03-2024
33,Muktsar,Potato,900,900,900,12-02-2024
34,Muktsar,Potato,1600,1600,1600,18-12-2024
35,Muktsar,Potato,1800,1800,1800,11-10-2024
36,Muktsar,Potato,600,800,700,24-01-2024
37,Muktsar,Potato,1500,1600,1600,03-07-2024
38,Muktsar,Potato,600,600,600,19-03-2024
39,Muktsar,Potato,500,500,500,01-01-2024
40,Muktsar,Potato,800,800,800,14-02-2024
41,Muktsar,Potato,1000,1000,1000,26-03-2024
42,Muktsar,Potato,2200,2200,2200,04-12-2024
43,Muktsar,Potato,2000,2000,2000,04-09-2024
44,Muktsar,Potato,700,700,700,29-03-2024
45,Muktsar,Potato,500,600,600,12-01-2024
46,Muktsar,Potato,500,650,600,30-01-2024
47,Muktsar,Potato,2100,2100,2100,29-09-2024
48,Muktsar,Potato,1600,1600,1600,10-08-2024
49,Muktsar,Potato,1600,1800,1800,17-08-2024
50,Muktsar,Potato,700,800,800,31-03-2024
51,Muktsar,Potato,1500,2000,1800,22-07-2024
52,Muktsar,Potato,1000,1000,1000,22-02-2024
53,Muktsar,Potato,2000,2000,2000,12-09-2024
