Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mysore,Potato,600,1600,1000,24-01-2024
2,Mysore,Potato,900,2000,1400,18-04-2024
3,Mysore,Potato,1000,1800,1500,09-03-2024
4,Mysore,Potato,1000,2400,1800,16-04-2024
5,Mysore,Potato,1000,2400,1900,17-04-2024
6,Mysore,Potato,1000,2500,1900,19-04-2024
7,Mysore,Potato,1200,2200,1700,15-04-2024
8,Mysore,Potato,1200,2200,1800,25-05-2024
9,Mysore,Potato,1200,2400,1700,22-04-2024
10,Mysore,Potato,1200,2400,1700,24-04-2024
11,Mysore,Potato,1300,2000,1500,15-05-2024
12,Mysore,Potato,1300,2000,1500,16-05-2024
13,Mysore,Potato,1350,2500,1800,23-05-2024
14,Mysore,Potato,1400,1800,1600,19-01-2024
15,Mysore,Potato,1400,1800,1600,20-01-2024
16,Mysore,Potato,1400,1800,1700,16-02-2024
17,Mysore,Potato,1400,1900,1400,17-02-2024
18,Mysore,Potato,1400,2000,1700,09-01-2024
19,Mysore,Potato,1400,2200,1600,17-05-2024
20,Mysore,Potato,1400,2400,1800,30-03-2024
21,Mysore,Potato,1500,1800,1600,15-02-2024
22,Mysore,Potato,1500,2000,1750,01-04-2024
23,Mysore,Potato,1500,2000,1750,03-04-2024
24,Mysore,Potato,1500,2000,1750,05-04-2024
25,Mysore,Potato,1500,2000,1750,06-04-2024
26,Mysore,Potato,1500,2000,1800,01-03-2024
27,Mysore,Potato,1500,2500,2000,09-08-2024
28,Mysore,Potato,1500,2500,2000,10-08-2024
29,Mysore,Potato,1500,2500,2200,02-07-2024
30,Mysore,Potato,1500,2500,2200,05-07-2024
31,Mysore,Potato,1500,2500,2300,30-05-2024
32,Mysore,Potato,1500,3100,2400,01-07-2024
33,Mysore,Potato,1500,3300,2400,06-07-2024
34,Mysore,Potato,1600,1800,1700,02-02-2024
35,Mysore,Potato,1600,2200,1850,20-03-2024
36,Mysore,Potato,1600,2400,2000,18-05-2024
37,Mysore,Potato,1600,2800,2100,22-06-2024
38,Mysore,Potato,1700,2000,1800,19-03-2024
39,Mysore,Potato,1800,2000,1900,22-02-2024
40,Mysore,Potato,1800,2000,1900,24-08-2024
41,Mysore,Potato,1800,2000,2000,29-08-2024
42,Mysore,Potato,1800,2200,2000,12-03-2024
43,Mysore,Potato,1800,2200,2000,14-03-2024
44,Mysore,Potato,1800,2200,2000,15-03-2024
45,Mysore,Potato,1800,2500,2000,17-08-2024
46,Mysore,Potato,1800,2500,2000,24-02-2024
47,Mysore,Potato,1800,2500,2000,27-02-2024
48,Mysore,Potato,1800,2500,2200,11-06-2024
49,Mysore,Potato,1800,2500,2400,01-06-2024
50,Mysore,Potato,1800,2600,2400,08-06-2024
51,Mysore,Potato,1900,2300,2000,11-03-2024
52,Mysore,Potato,2000,2500,2200,13-11-2024
53,Mysore,Potato,2000,2500,2300,31-05-2024
54,Mysore,Potato,2000,2500,2400,28-06-2024
55,Mysore,Potato,2000,2800,2400,24-06-2024
56,Mysore,Potato,2000,2800,2400,25-06-2024
57,Mysore,Potato,2000,2800,2400,27-06-2024
58,Mysore,Potato,2000,2800,2400,29-06-2024
59,Mysore,Potato,2000,2800,2500,11-10-2024
60,Mysore,Potato,2000,2800,2500,20-09-2024
61,Mysore,Potato,2000,2800,2500,25-09-2024
62,Mysore,Potato,2000,3000,2200,15-10-2024
63,Mysore,Potato,2000,3000,2400,03-07-2024
64,Mysore,Potato,2000,3000,2500,07-08-2024
65,Mysore,Potato,2000,3000,2500,13-08-2024
66,Mysore,Potato,2000,3000,2500,21-10-2024
67,Mysore,Potato,2000,3000,2500,26-10-2024
68,Mysore,Potato,2000,3000,2800,19-10-2024
69,Mysore,Potato,2000,3000,2800,25-10-2024
70,Mysore,Potato,2000,3000,2800,30-08-2024
71,Mysore,Potato,2000,3000,2900,23-09-2024
72,Mysore,Potato,2100,2800,2300,21-06-2024
73,Mysore,Potato,2200,2400,2300,27-05-2024
74,Mysore,Potato,2200,2500,2200,04-10-2024
75,Mysore,Potato,2200,2500,2350,13-04-2024
76,Mysore,Potato,2200,2800,2500,05-11-2024
77,Mysore,Potato,2200,2800,2500,19-06-2024
78,Mysore,Potato,2200,2800,2500,19-09-2024
79,Mysore,Potato,2200,2800,2500,20-06-2024
80,Mysore,Potato,2200,2800,2500,21-09-2024
81,Mysore,Potato,2200,2800,2500,28-10-2024
82,Mysore,Potato,2200,2800,2500,29-10-2024
83,Mysore,Potato,2200,2800,2600,03-09-2024
84,Mysore,Potato,2200,2900,2750,30-11-2024
85,Mysore,Potato,2300,3000,2800,29-11-2024
86,Mysore,Potato,2400,2800,2500,08-05-2024
87,Mysore,Potato,2400,2800,2600,06-05-2024
88,Mysore,Potato,2400,2800,2600,07-05-2024
89,Mysore,Potato,2400,2900,2700,31-12-2024
90,Mysore,Potato,2400,3000,2700,17-09-2024
91,Mysore,Potato,2500,2700,2600,18-09-2024
92,Mysore,Potato,2500,3100,3000,09-07-2024
93,Mysore,Potato,2500,3100,3000,11-07-2024
94,Mysore,Potato,2600,3000,2600,30-07-2024
95,Mysore,Potato,2600,3000,2800,11-09-2024
96,Mysore,Potato,2600,3000,2800,23-07-2024
97,Mysore,Potato,2600,3000,2800,25-07-2024
98,Mysore,Potato,2600,3000,2800,27-07-2024
99,Mysore,Potato,2600,3000,2800,29-07-2024
100,Mysore,Potato,2600,3000,2800,31-07-2024
101,Mysore,Potato,2600,3000,2900,24-07-2024
102,Mysore,Potato,2600,3100,2800,16-09-2024
103,Mysore,Potato,2700,3000,2900,17-07-2024
104,Mysore,Potato,2800,3000,3000,18-07-2024
105,Mysore,Potato,2800,3000,3000,20-07-2024
106,Mysore,Potato,2900,3000,3000,19-07-2024
