Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nawanshahr,Potato,1308,2236,2000,15-08-2024
2,Nawanshahr,Potato,1450,2260,1821,14-08-2024
3,Nawanshahr,Potato,675,1130,1027,12-04-2024
4,Nawanshahr,Potato,875,1120,1114,19-03-2024
5,Nawanshahr,Potato,1700,2265,1907,28-06-2024
6,Nawanshahr,Potato,1000,1878,1500,05-06-2024
7,Nawanshahr,Potato,1620,2401,1938,13-07-2024
8,Nawanshahr,Potato,1250,2088,1912,06-07-2024
9,Nawanshahr,Potato,848,1044,905,30-03-2024
10,Nawanshahr,Potato,500,1742,1550,31-05-2024
11,Nawanshahr,Potato,1215,1978,1548,25-06-2024
12,Nawanshahr,Potato,1610,2104,1900,04-07-2024
13,Nawanshahr,Potato,1300,1924,1815,22-06-2024
14,Nawanshahr,Potato,1167,1750,1580,02-05-2024
15,Nawanshahr,Potato,1235,1679,1637,14-05-2024
16,Nawanshahr,Potato,1157,1622,1450,07-06-2024
17,Nawanshahr,Potato,917,1744,1600,02-06-2024
18,Nawanshahr,Potato,1400,1820,1544,01-06-2024
19,Nawanshahr,Potato,1300,2056,1566,10-05-2024
20,Nawanshahr,Potato,1035,1764,1520,17-05-2024
21,Nawanshahr,Potato,1326,1957,1500,20-06-2024
22,Nawanshahr,Potato,1064,2149,1915,10-07-2024
23,Nawanshahr,Potato,1104,1836,1700,23-06-2024
24,Nawanshahr,Potato,1237,1934,1800,29-06-2024
25,Nawanshahr,Potato,1438,1878,1623,16-06-2024
26,Nawanshahr,Potato,1115,1869,1600,12-06-2024
27,Nawanshahr,Potato,1400,2199,2000,27-08-2024
28,Nawanshahr,Potato,1101,1468,1260,07-05-2024
29,Nawanshahr,Potato,900,1109,910,25-03-2024
30,Nawanshahr,Potato,1308,2311,2000,23-08-2024
31,Nawanshahr,Potato,1005,1586,1350,03-05-2024
32,Nawanshahr,Potato,1020,1588,1403,16-04-2024
33,Nawanshahr,Potato,1484,2233,2000,08-08-2024
34,Nawanshahr,Potato,1649,2885,1800,09-07-2024
35,Nawanshahr,Potato,1081,1756,1500,28-05-2024
36,Nawanshahr,Potato,1000,2144,1700,30-06-2024
37,Nawanshahr,Potato,1645,2262,2000,12-07-2024
38,Nawanshahr,Potato,1060,1712,1400,22-05-2024
39,Nawanshahr,Potato,1801,2051,2000,20-08-2024
40,Nawanshahr,Potato,1100,1688,1300,27-04-2024
41,Nawanshahr,Potato,807,1099,945,27-03-2024
42,Nawanshahr,Potato,734,1988,1517,10-06-2024
43,Nawanshahr,Potato,713,1333,1142,06-04-2024
44,Nawanshahr,Potato,1400,2237,1936,28-08-2024
45,Nawanshahr,Potato,1100,1834,1344,21-04-2024
46,Nawanshahr,Potato,1680,2190,2000,26-07-2024
47,Nawanshahr,Potato,1400,2020,1920,04-09-2024
48,Nawanshahr,Potato,1326,2151,2000,22-08-2024
49,Nawanshahr,Potato,1300,1700,1352,11-05-2024
50,Nawanshahr,Potato,1590,2286,1831,28-07-2024
51,Nawanshahr,Potato,855,1142,1001,09-04-2024
52,Nawanshahr,Potato,976,1544,1206,25-05-2024
53,Nawanshahr,Potato,700,1556,1210,15-05-2024
54,Nawanshahr,Potato,1676,2335,1942,17-07-2024
55,Nawanshahr,Potato,934,1557,1470,30-04-2024
