Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Panchkula,Potato,400,400,400,05-Feb-24
2,Panchkula,Potato,400,400,400,08-Feb-24
3,Panchkula,Potato,400,500,450,01-Feb-24
4,Panchkula,Potato,400,500,450,02-Feb-24
5,Panchkula,Potato,400,500,450,03-Feb-24
6,Panchkula,Potato,400,500,450,04-Feb-24
7,Panchkula,Potato,400,500,450,06-Feb-24
8,Panchkula,Potato,400,500,450,07-Feb-24
9,Panchkula,Potato,400,500,450,09-Feb-24
10,Panchkula,Potato,400,500,450,10-Feb-24
11,Panchkula,Potato,400,500,450,11-Feb-24
12,Panchkula,Potato,400,500,450,12-Feb-24
13,Panchkula,Potato,400,500,450,13-Feb-24
14,Panchkula,Potato,400,500,450,14-Feb-24
15,Panchkula,Potato,400,500,450,15-Feb-24
16,Panchkula,Potato,400,500,450,16-Feb-24
17,Panchkula,Potato,400,500,450,23-Jan-24
18,Panchkula,Potato,400,500,450,27-Jan-24
19,Panchkula,Potato,400,600,500,01-Mar-24
20,Panchkula,Potato,400,600,500,02-Mar-24
21,Panchkula,Potato,400,600,500,03-Mar-24
22,Panchkula,Potato,400,600,500,22-Feb-24
23,Panchkula,Potato,400,600,500,23-Feb-24
24,Panchkula,Potato,400,600,500,26-Feb-24
25,Panchkula,Potato,400,600,500,27-Feb-24
26,Panchkula,Potato,400,600,500,28-Feb-24
27,Panchkula,Potato,400,600,500,29-Feb-24
28,Panchkula,Potato,500,500,500,01-Jan-24
29,Panchkula,Potato,500,500,500,02-Jan-24
30,Panchkula,Potato,500,500,500,03-Jan-24
31,Panchkula,Potato,500,500,500,05-Jan-24
32,Panchkula,Potato,500,500,500,06-Jan-24
33,Panchkula,Potato,500,500,500,07-Jan-24
34,Panchkula,Potato,500,500,500,08-Jan-24
35,Panchkula,Potato,500,500,500,11-Jan-24
36,Panchkula,Potato,500,500,500,12-Jan-24
37,Panchkula,Potato,500,500,500,13-Jan-24
38,Panchkula,Potato,500,500,500,14-Jan-24
39,Panchkula,Potato,500,500,500,15-Jan-24
40,Panchkula,Potato,500,500,500,16-Jan-24
41,Panchkula,Potato,500,500,500,17-Feb-24
42,Panchkula,Potato,500,500,500,17-Jan-24
43,Panchkula,Potato,500,500,500,18-Feb-24
44,Panchkula,Potato,500,500,500,18-Jan-24
45,Panchkula,Potato,500,500,500,19-Feb-24
46,Panchkula,Potato,500,500,500,19-Jan-24
47,Panchkula,Potato,500,500,500,20-Feb-24
48,Panchkula,Potato,500,500,500,20-Jan-24
49,Panchkula,Potato,500,500,500,21-Feb-24
50,Panchkula,Potato,500,500,500,21-Jan-24
51,Panchkula,Potato,500,500,500,22-Jan-24
52,Panchkula,Potato,500,500,500,24-Jan-24
53,Panchkula,Potato,500,500,500,25-Jan-24
54,Panchkula,Potato,500,500,500,26-Jan-24
55,Panchkula,Potato,500,500,500,28-Jan-24
56,Panchkula,Potato,500,500,500,29-Jan-24
57,Panchkula,Potato,500,500,500,30-Jan-24
58,Panchkula,Potato,500,500,500,31-Jan-24
59,Panchkula,Potato,500,600,550,04-Jan-24
60,Panchkula,Potato,500,600,550,04-Mar-24
61,Panchkula,Potato,500,600,550,05-Mar-24
62,Panchkula,Potato,500,600,550,06-Mar-24
63,Panchkula,Potato,500,600,550,07-Mar-24
64,Panchkula,Potato,500,600,550,08-Mar-24
65,Panchkula,Potato,500,600,550,09-Jan-24
66,Panchkula,Potato,500,600,550,09-Mar-24
67,Panchkula,Potato,500,600,550,10-Jan-24
68,Panchkula,Potato,500,600,550,24-Feb-24
69,Panchkula,Potato,500,600,550,25-Feb-24
70,Panchkula,Potato,500,700,600,12-Mar-24
71,Panchkula,Potato,500,700,600,14-Mar-24
72,Panchkula,Potato,500,700,600,15-Mar-24
73,Panchkula,Potato,500,700,600,17-Mar-24
74,Panchkula,Potato,500,700,600,20-Mar-24
75,Panchkula,Potato,500,800,650,13-Mar-24
76,Panchkula,Potato,500,800,650,16-Mar-24
77,Panchkula,Potato,500,800,650,19-Mar-24
78,Panchkula,Potato,600,700,650,18-Mar-24
79,Panchkula,Potato,600,800,700,04-Apr-24
80,Panchkula,Potato,600,800,700,06-Apr-24
81,Panchkula,Potato,600,800,700,07-Apr-24
82,Panchkula,Potato,600,800,700,08-Apr-24
83,Panchkula,Potato,600,800,700,09-Apr-24
84,Panchkula,Potato,600,800,700,21-Mar-24
85,Panchkula,Potato,600,800,700,22-Mar-24
86,Panchkula,Potato,600,800,700,23-Mar-24
87,Panchkula,Potato,600,800,700,24-Mar-24
88,Panchkula,Potato,600,800,700,25-Mar-24
89,Panchkula,Potato,600,800,700,26-Mar-24
90,Panchkula,Potato,600,800,700,27-Mar-24
91,Panchkula,Potato,600,800,700,28-Mar-24
92,Panchkula,Potato,600,900,750,05-Apr-24
93,Panchkula,Potato,600,1000,800,05-May-24
94,Panchkula,Potato,600,1000,800,06-May-24
95,Panchkula,Potato,600,1000,800,07-May-24
96,Panchkula,Potato,600,1000,800,08-May-24
97,Panchkula,Potato,600,1000,800,09-May-24
98,Panchkula,Potato,600,1000,800,10-May-24
99,Panchkula,Potato,600,1000,800,11-May-24
100,Panchkula,Potato,600,1000,800,14-May-24
101,Panchkula,Potato,600,1000,800,15-May-24
102,Panchkula,Potato,600,1000,800,21-May-24
103,Panchkula,Potato,600,1000,800,22-May-24
104,Panchkula,Potato,600,1000,800,23-Apr-24
105,Panchkula,Potato,600,1000,800,23-May-24
106,Panchkula,Potato,600,1000,800,24-Apr-24
107,Panchkula,Potato,600,1000,800,24-May-24
108,Panchkula,Potato,600,1000,800,25-Apr-24
109,Panchkula,Potato,600,1000,800,25-May-24
110,Panchkula,Potato,600,1000,800,26-Apr-24
111,Panchkula,Potato,600,1000,800,27-Apr-24
112,Panchkula,Potato,600,1200,900,12-May-24
113,Panchkula,Potato,600,1200,900,13-May-24
114,Panchkula,Potato,600,1200,900,16-May-24
115,Panchkula,Potato,600,1200,900,17-Jun-24
116,Panchkula,Potato,600,1200,900,17-May-24
117,Panchkula,Potato,600,1200,900,18-Jun-24
118,Panchkula,Potato,600,1200,900,18-May-24
119,Panchkula,Potato,600,1200,900,19-Jun-24
120,Panchkula,Potato,600,1200,900,19-May-24
121,Panchkula,Potato,600,1200,900,20-Jun-24
122,Panchkula,Potato,600,1200,900,20-May-24
123,Panchkula,Potato,600,1200,900,21-Jun-24
124,Panchkula,Potato,600,1200,900,22-Jun-24
125,Panchkula,Potato,600,1200,900,26-May-24
126,Panchkula,Potato,600,1200,900,27-May-24
127,Panchkula,Potato,600,1200,900,28-May-24
128,Panchkula,Potato,600,1200,900,29-May-24
129,Panchkula,Potato,600,1200,900,30-May-24
130,Panchkula,Potato,600,1200,900,31-May-24
131,Panchkula,Potato,700,900,800,01-May-24
132,Panchkula,Potato,700,900,800,02-May-24
133,Panchkula,Potato,700,900,800,03-May-24
134,Panchkula,Potato,700,900,800,04-May-24
135,Panchkula,Potato,700,900,800,11-Apr-24
136,Panchkula,Potato,700,900,800,12-Apr-24
137,Panchkula,Potato,700,900,800,13-Apr-24
138,Panchkula,Potato,700,900,800,14-Apr-24
139,Panchkula,Potato,700,900,800,15-Apr-24
140,Panchkula,Potato,700,900,800,30-Apr-24
141,Panchkula,Potato,700,1000,850,28-Apr-24
142,Panchkula,Potato,700,1000,850,29-Apr-24
143,Panchkula,Potato,700,1400,1050,06-Jul-24
144,Panchkula,Potato,700,1400,1050,16-Jul-24
145,Panchkula,Potato,800,800,800,01-Apr-24
146,Panchkula,Potato,800,800,800,02-Apr-24
147,Panchkula,Potato,800,800,800,03-Apr-24
148,Panchkula,Potato,800,800,800,29-Mar-24
149,Panchkula,Potato,800,800,800,30-Mar-24
150,Panchkula,Potato,800,800,800,31-Mar-24
151,Panchkula,Potato,800,1000,900,16-Apr-24
152,Panchkula,Potato,800,1000,900,17-Apr-24
153,Panchkula,Potato,800,1000,900,18-Apr-24
154,Panchkula,Potato,800,1000,900,19-Apr-24
155,Panchkula,Potato,800,1000,900,20-Apr-24
156,Panchkula,Potato,800,1000,900,21-Apr-24
157,Panchkula,Potato,800,1000,900,22-Apr-24
158,Panchkula,Potato,800,1200,1000,07-Jul-24
159,Panchkula,Potato,800,1200,1000,11-Jul-24
160,Panchkula,Potato,800,1200,1000,12-Jul-24
161,Panchkula,Potato,800,1200,1000,13-Jul-24
162,Panchkula,Potato,800,1200,1000,14-Jul-24
163,Panchkula,Potato,800,1200,1000,15-Jul-24
164,Panchkula,Potato,800,1200,1000,21-Jul-24
165,Panchkula,Potato,800,1200,1000,23-Jun-24
166,Panchkula,Potato,800,1200,1000,24-Jun-24
167,Panchkula,Potato,800,1200,1000,25-Dec-24
168,Panchkula,Potato,800,1200,1000,25-Jun-24
169,Panchkula,Potato,800,1200,1000,26-Dec-24
170,Panchkula,Potato,800,1200,1000,26-Jun-24
171,Panchkula,Potato,800,1200,1000,27-Dec-24
172,Panchkula,Potato,800,1200,1000,27-Jun-24
173,Panchkula,Potato,800,1200,1000,28-Dec-24
174,Panchkula,Potato,800,1200,1000,28-Jun-24
175,Panchkula,Potato,800,1200,1000,29-Dec-24
176,Panchkula,Potato,800,1200,1000,29-Jun-24
