Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Paschim Bardhaman,Potato,1060,1200,1100,29-02-2024
2,Paschim Bardhaman,Potato,1100,1220,1200,09-03-2024
3,Paschim Bardhaman,Potato,1120,1220,1200,07-03-2024
4,Paschim Bardhaman,Potato,1150,1200,1180,22-01-2024
5,Paschim Bardhaman,Potato,1180,1220,1200,06-03-2024
6,Paschim Bardhaman,Potato,1180,1220,1200,08-03-2024
7,Paschim Bardhaman,Potato,1180,1240,1200,09-02-2024
8,Paschim Bardhaman,Potato,1180,1260,1200,01-03-2024
9,Paschim Bardhaman,Potato,1180,1260,1200,10-02-2024
10,Paschim Bardhaman,Potato,1180,1300,1260,02-03-2024
11,Paschim Bardhaman,Potato,1200,1260,1240,05-03-2024
12,Paschim Bardhaman,Potato,1200,1280,1220,04-03-2024
13,Paschim Bardhaman,Potato,1200,1280,1220,10-03-2024
14,Paschim Bardhaman,Potato,1200,1280,1220,11-02-2024
15,Paschim Bardhaman,Potato,1200,1280,1240,12-02-2024
16,Paschim Bardhaman,Potato,1200,1300,1220,06-02-2024
17,Paschim Bardhaman,Potato,1200,1300,1240,03-03-2024
18,Paschim Bardhaman,Potato,1200,1300,1240,08-02-2024
19,Paschim Bardhaman,Potato,1200,1300,1260,07-02-2024
20,Paschim Bardhaman,Potato,1200,1320,1260,05-02-2024
21,Paschim Bardhaman,Potato,1200,1320,1300,21-01-2024
22,Paschim Bardhaman,Potato,1200,1340,1250,02-01-2024
23,Paschim Bardhaman,Potato,1200,1340,1250,20-02-2024
24,Paschim Bardhaman,Potato,1200,1340,1300,26-01-2024
25,Paschim Bardhaman,Potato,1200,1350,1260,11-03-2024
26,Paschim Bardhaman,Potato,1200,1350,1300,01-01-2024
27,Paschim Bardhaman,Potato,1200,1360,1300,19-02-2024
28,Paschim Bardhaman,Potato,1200,1370,1300,12-03-2024
29,Paschim Bardhaman,Potato,1200,1400,1300,27-02-2024
30,Paschim Bardhaman,Potato,1240,1300,1280,23-02-2024
31,Paschim Bardhaman,Potato,1250,1320,1300,16-01-2024
32,Paschim Bardhaman,Potato,1250,1340,1300,25-02-2024
33,Paschim Bardhaman,Potato,1250,1360,1300,10-01-2024
34,Paschim Bardhaman,Potato,1250,1360,1300,19-01-2024
35,Paschim Bardhaman,Potato,1250,1360,1300,20-01-2024
36,Paschim Bardhaman,Potato,1250,1360,1300,23-01-2024
37,Paschim Bardhaman,Potato,1250,1380,1300,07-01-2024
38,Paschim Bardhaman,Potato,1250,1380,1300,28-01-2024
39,Paschim Bardhaman,Potato,1250,1400,1300,28-02-2024
40,Paschim Bardhaman,Potato,1260,1320,1300,01-02-2024
41,Paschim Bardhaman,Potato,1260,1320,1300,02-02-2024
42,Paschim Bardhaman,Potato,1260,1320,1300,03-02-2024
43,Paschim Bardhaman,Potato,1260,1320,1300,15-02-2024
44,Paschim Bardhaman,Potato,1260,1320,1300,17-01-2024
45,Paschim Bardhaman,Potato,1260,1340,1300,04-02-2024
46,Paschim Bardhaman,Potato,1260,1340,1300,12-01-2024
47,Paschim Bardhaman,Potato,1260,1340,1300,14-02-2024
48,Paschim Bardhaman,Potato,1260,1340,1300,21-02-2024
49,Paschim Bardhaman,Potato,1260,1340,1300,31-01-2024
50,Paschim Bardhaman,Potato,1260,1350,1300,25-01-2024
51,Paschim Bardhaman,Potato,1260,1360,1300,05-01-2024
52,Paschim Bardhaman,Potato,1260,1360,1300,17-02-2024
53,Paschim Bardhaman,Potato,1260,1360,1300,18-01-2024
54,Paschim Bardhaman,Potato,1260,1360,1300,22-02-2024
55,Paschim Bardhaman,Potato,1260,1360,1300,27-01-2024
56,Paschim Bardhaman,Potato,1260,1360,1300,30-01-2024
57,Paschim Bardhaman,Potato,1260,1380,1300,06-01-2024
58,Paschim Bardhaman,Potato,1260,1380,1300,24-02-2024
59,Paschim Bardhaman,Potato,1260,1380,1320,29-01-2024
60,Paschim Bardhaman,Potato,1260,1400,1300,26-02-2024
61,Paschim Bardhaman,Potato,1280,1350,1300,11-01-2024
62,Paschim Bardhaman,Potato,1280,1360,1300,18-02-2024
63,Paschim Bardhaman,Potato,1280,1360,1300,24-01-2024
64,Paschim Bardhaman,Potato,1280,1400,1360,14-03-2024
65,Paschim Bardhaman,Potato,1300,1340,1320,16-02-2024
66,Paschim Bardhaman,Potato,1300,1390,1340,13-03-2024
67,Paschim Bardhaman,Potato,1300,1400,1340,15-01-2024
68,Paschim Bardhaman,Potato,1300,1400,1350,04-01-2024
69,Paschim Bardhaman,Potato,1300,1420,1340,14-01-2024
70,Paschim Bardhaman,Potato,1300,1500,1440,18-03-2024
71,Paschim Bardhaman,Potato,1300,1560,1400,23-03-2024
72,Paschim Bardhaman,Potato,1340,1550,1400,29-03-2024
73,Paschim Bardhaman,Potato,1360,1400,1380,13-01-2024
74,Paschim Bardhaman,Potato,1360,1460,1400,09-01-2024
75,Paschim Bardhaman,Potato,1360,1480,1400,04-04-2024
76,Paschim Bardhaman,Potato,1360,1480,1400,08-04-2024
77,Paschim Bardhaman,Potato,1360,1480,1400,08-01-2024
78,Paschim Bardhaman,Potato,1360,1500,1420,03-04-2024
79,Paschim Bardhaman,Potato,1360,1520,1400,02-04-2024
80,Paschim Bardhaman,Potato,1360,1520,1400,21-03-2024
81,Paschim Bardhaman,Potato,1360,1520,1400,24-03-2024
82,Paschim Bardhaman,Potato,1360,1540,1450,31-03-2024
83,Paschim Bardhaman,Potato,1360,1560,1400,27-03-2024
84,Paschim Bardhaman,Potato,1360,1560,1440,25-03-2024
85,Paschim Bardhaman,Potato,1360,1560,1450,19-03-2024
86,Paschim Bardhaman,Potato,1380,1460,1400,05-04-2024
87,Paschim Bardhaman,Potato,1380,1460,1400,06-04-2024
88,Paschim Bardhaman,Potato,1380,1470,1400,07-04-2024
89,Paschim Bardhaman,Potato,1380,1470,1400,09-04-2024
90,Paschim Bardhaman,Potato,1380,1500,1400,03-01-2024
91,Paschim Bardhaman,Potato,1380,1500,1460,16-03-2024
92,Paschim Bardhaman,Potato,1380,1500,1460,20-03-2024
93,Paschim Bardhaman,Potato,1380,1520,1460,22-03-2024
94,Paschim Bardhaman,Potato,1380,1540,1460,11-04-2024
95,Paschim Bardhaman,Potato,1380,1540,1460,28-03-2024
96,Paschim Bardhaman,Potato,1380,1560,1460,26-03-2024
97,Paschim Bardhaman,Potato,1460,1520,1500,10-04-2024
98,Paschim Bardhaman,Potato,1460,1800,1640,13-04-2024
99,Paschim Bardhaman,Potato,1600,1760,1700,12-04-2024
100,Paschim Bardhaman,Potato,1760,1820,1800,14-04-2024
101,Paschim Bardhaman,Potato,1820,2000,1900,15-04-2024
102,Paschim Bardhaman,Potato,1960,2040,2000,17-04-2024
103,Paschim Bardhaman,Potato,1960,2100,2000,22-04-2024
104,Paschim Bardhaman,Potato,1980,2030,2000,16-04-2024
105,Paschim Bardhaman,Potato,2000,2100,2060,20-04-2024
106,Paschim Bardhaman,Potato,2000,2120,2100,23-04-2024
107,Paschim Bardhaman,Potato,2000,2130,2100,24-04-2024
108,Paschim Bardhaman,Potato,2000,2140,2060,18-04-2024
109,Paschim Bardhaman,Potato,2000,2260,2100,12-05-2024
110,Paschim Bardhaman,Potato,2040,2120,2100,19-04-2024
111,Paschim Bardhaman,Potato,2040,2160,2100,25-04-2024
112,Paschim Bardhaman,Potato,2040,2180,2100,01-05-2024
113,Paschim Bardhaman,Potato,2050,2180,2100,27-04-2024
114,Paschim Bardhaman,Potato,2060,2120,2100,21-04-2024
115,Paschim Bardhaman,Potato,2060,2160,2100,13-05-2024
116,Paschim Bardhaman,Potato,2060,2160,2100,29-04-2024
117,Paschim Bardhaman,Potato,2060,2180,2100,28-04-2024
118,Paschim Bardhaman,Potato,2060,2180,2100,30-04-2024
119,Paschim Bardhaman,Potato,2060,2200,2100,03-05-2024
120,Paschim Bardhaman,Potato,2060,2240,2100,04-05-2024
121,Paschim Bardhaman,Potato,2060,2280,2140,15-05-2024
122,Paschim Bardhaman,Potato,2080,2160,2100,26-04-2024
