Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Raigarh,Potato,1400,1800,1400,05-05-2024
2,Raigarh,Potato,2400,2800,2600,21-12-2024
3,Raigarh,Potato,3000,4000,3000,26-06-2024
4,Raigarh,Potato,1100,1400,1250,28-02-2024
5,Raigarh,Potato,2200,3200,2700,25-12-2024
6,Raigarh,Potato,1200,1500,1200,17-03-2024
7,Raigarh,Potato,2100,2700,2400,30-09-2024
8,Raigarh,Potato,1200,1400,1200,29-03-2024
9,Raigarh,Potato,1000,1600,1300,10-02-2024
10,Raigarh,Potato,2700,3000,2700,24-06-2024
11,Raigarh,Potato,1200,1600,1400,31-01-2024
12,Raigarh,Potato,2400,3000,2700,18-12-2024
13,Raigarh,Potato,1000,1200,1100,07-01-2024
14,Raigarh,Potato,1800,2300,1800,10-05-2024
15,Raigarh,Potato,2400,3000,2700,08-12-2024
16,Raigarh,Potato,2700,3000,2850,24-08-2024
17,Raigarh,Potato,1000,1500,1000,13-03-2024
18,Raigarh,Potato,2600,3000,2600,13-07-2024
19,Raigarh,Potato,2800,3200,2800,11-07-2024
20,Raigarh,Potato,2600,3000,3000,23-08-2024
21,Raigarh,Potato,2200,2700,2200,21-06-2024
22,Raigarh,Potato,2000,2400,2200,15-10-2024
23,Raigarh,Potato,1000,1200,1100,08-01-2024
24,Raigarh,Potato,2300,3100,2700,06-12-2024
25,Raigarh,Potato,2200,2500,2200,09-05-2024
26,Raigarh,Potato,3000,4000,3000,28-07-2024
27,Raigarh,Potato,1300,1500,1300,27-03-2024
28,Raigarh,Potato,1000,1400,1150,15-01-2024
29,Raigarh,Potato,2200,2600,2200,14-05-2024
30,Raigarh,Potato,2800,3200,2800,10-07-2024
31,Raigarh,Potato,1000,1200,1100,10-01-2024
32,Raigarh,Potato,2200,2800,2200,19-06-2024
33,Raigarh,Potato,1000,1500,1000,03-03-2024
34,Raigarh,Potato,2400,2800,2600,05-12-2024
35,Raigarh,Potato,2300,3100,2700,27-11-2024
36,Raigarh,Potato,1000,1400,1200,19-02-2024
37,Raigarh,Potato,1800,2500,2100,30-08-2024
38,Raigarh,Potato,1800,2200,1800,17-04-2024
39,Raigarh,Potato,1800,2000,1800,09-04-2024
40,Raigarh,Potato,2200,2800,2500,15-11-2024
41,Raigarh,Potato,1200,1600,1400,07-02-2024
42,Raigarh,Potato,2100,2700,2400,18-10-2024
43,Raigarh,Potato,1600,2000,1600,11-04-2024
44,Raigarh,Potato,2500,3000,2500,12-06-2024
45,Raigarh,Potato,2200,3000,2600,03-09-2024
46,Raigarh,Potato,1100,1300,1100,17-02-2024
47,Raigarh,Potato,1100,1300,1200,18-02-2024
48,Raigarh,Potato,2200,2600,2400,05-09-2024
49,Raigarh,Potato,1000,1400,1000,09-03-2024
50,Raigarh,Potato,2000,3000,2500,13-11-2024
51,Raigarh,Potato,2200,2600,2200,12-05-2024
52,Raigarh,Potato,1000,1500,1000,06-03-2024
53,Raigarh,Potato,2000,3000,2500,14-12-2024
54,Raigarh,Potato,1100,1500,1300,05-02-2024
55,Raigarh,Potato,1100,1500,1300,30-01-2024
56,Raigarh,Potato,2200,2700,2450,22-10-2024
57,Raigarh,Potato,2000,2500,2000,05-06-2024
58,Raigarh,Potato,2500,3000,2500,03-07-2024
59,Raigarh,Potato,2200,2600,2400,21-09-2024
60,Raigarh,Potato,2500,3000,2500,27-07-2024
61,Raigarh,Potato,1500,2000,1500,05-04-2024
62,Raigarh,Potato,1000,1400,1200,18-01-2024
63,Raigarh,Potato,1400,1800,1400,06-04-2024
64,Raigarh,Potato,1800,2000,1800,23-04-2024
65,Raigarh,Potato,2300,2800,2550,04-08-2024
66,Raigarh,Potato,2200,2500,2200,16-05-2024
67,Raigarh,Potato,2000,2700,2000,20-06-2024
68,Raigarh,Potato,1200,1600,1400,29-01-2024
69,Raigarh,Potato,2400,2800,2600,17-12-2024
70,Raigarh,Potato,2200,2500,2200,06-06-2024
71,Raigarh,Potato,1400,2100,1750,30-12-2024
72,Raigarh,Potato,1500,1800,1500,10-04-2024
73,Raigarh,Potato,1500,2000,1500,06-05-2024
74,Raigarh,Potato,2200,2600,2400,28-09-2024
75,Raigarh,Potato,2500,2800,2500,28-05-2024
76,Raigarh,Potato,2300,2800,2300,22-06-2024
77,Raigarh,Potato,2200,2600,2200,15-05-2024
78,Raigarh,Potato,900,1500,1200,23-01-2024
79,Raigarh,Potato,2500,3000,2500,04-06-2024
80,Raigarh,Potato,2200,3000,2600,24-10-2024
81,Raigarh,Potato,2200,3000,2600,08-11-2024
82,Raigarh,Potato,2600,3200,2600,09-07-2024
83,Raigarh,Potato,2300,2700,2500,13-09-2024
84,Raigarh,Potato,2200,2600,2200,23-05-2024
85,Raigarh,Potato,1000,1400,1200,29-02-2024
86,Raigarh,Potato,2000,2600,2300,19-09-2024
87,Raigarh,Potato,2600,3000,2600,26-07-2024
88,Raigarh,Potato,2800,3000,2800,25-06-2024
89,Raigarh,Potato,2300,3000,2650,09-11-2024
90,Raigarh,Potato,2200,2600,2400,12-09-2024
91,Raigarh,Potato,1000,1300,1150,09-01-2024
92,Raigarh,Potato,2500,3500,3000,12-08-2024
93,Raigarh,Potato,1800,2600,2200,31-08-2024
94,Raigarh,Potato,2400,2800,2600,16-12-2024
95,Raigarh,Potato,1200,1400,1200,26-02-2024
96,Raigarh,Potato,2200,3000,2600,26-11-2024
97,Raigarh,Potato,2000,2600,2300,04-10-2024
98,Raigarh,Potato,1500,2000,1500,07-05-2024
99,Raigarh,Potato,2500,3000,2500,14-06-2024
100,Raigarh,Potato,1400,1800,1400,13-04-2024
101,Raigarh,Potato,2300,3000,2600,10-11-2024
102,Raigarh,Potato,2400,2800,2400,15-06-2024
103,Raigarh,Potato,2000,2500,2000,08-05-2024
104,Raigarh,Potato,1000,1400,1200,17-01-2024
105,Raigarh,Potato,1600,2000,1800,29-12-2024
106,Raigarh,Potato,1500,2000,1500,27-04-2024
107,Raigarh,Potato,1200,1600,1400,03-02-2024
108,Raigarh,Potato,1600,2000,1600,03-05-2024
109,Raigarh,Potato,1400,2000,1700,27-12-2024
110,Raigarh,Potato,1600,2000,1600,26-04-2024
111,Raigarh,Potato,2300,2700,2300,08-07-2024
112,Raigarh,Potato,2000,3000,2500,15-12-2024
113,Raigarh,Potato,2500,2800,2500,02-06-2024
114,Raigarh,Potato,2800,3200,3000,19-08-2024
115,Raigarh,Potato,2000,2800,2400,09-10-2024
116,Raigarh,Potato,2800,3200,3000,16-08-2024
117,Raigarh,Potato,1800,2400,2100,31-12-2024
118,Raigarh,Potato,2800,3000,2900,26-08-2024
119,Raigarh,Potato,1000,1400,1200,26-01-2024
120,Raigarh,Potato,1500,2100,1500,04-05-2024
121,Raigarh,Potato,2000,2500,2000,19-05-2024
122,Raigarh,Potato,1000,1500,1000,02-03-2024
123,Raigarh,Potato,2600,2800,2700,08-08-2024
124,Raigarh,Potato,2000,2600,2300,09-09-2024
125,Raigarh,Potato,1500,2000,1500,04-04-2024
126,Raigarh,Potato,2300,2700,2500,14-09-2024
127,Raigarh,Potato,2200,3000,2600,14-11-2024
128,Raigarh,Potato,2200,2600,2200,08-06-2024
129,Raigarh,Potato,2800,3200,2800,02-07-2024
130,Raigarh,Potato,2300,2800,2300,16-06-2024
131,Raigarh,Potato,1800,2600,2200,29-08-2024
132,Raigarh,Potato,1000,1400,1200,11-02-2024
133,Raigarh,Potato,2200,2600,2400,19-10-2024
134,Raigarh,Potato,3200,3400,3300,11-08-2024
135,Raigarh,Potato,2000,3000,2500,24-11-2024
136,Raigarh,Potato,1200,1500,1200,30-03-2024
137,Raigarh,Potato,2200,2700,2200,20-05-2024
138,Raigarh,Potato,2000,2600,2300,26-09-2024
139,Raigarh,Potato,2000,2400,2200,14-10-2024
140,Raigarh,Potato,1800,2600,2200,08-09-2024
141,Raigarh,Potato,2200,3000,2600,10-12-2024
142,Raigarh,Potato,2800,3300,3050,10-08-2024
143,Raigarh,Potato,2300,2800,2550,02-08-2024
144,Raigarh,Potato,1700,2000,1700,28-04-2024
145,Raigarh,Potato,2000,2500,2250,13-10-2024
146,Raigarh,Potato,2200,3000,2600,28-10-2024
147,Raigarh,Potato,1000,1200,1100,12-01-2024
148,Raigarh,Potato,2600,3000,2600,23-06-2024
149,Raigarh,Potato,2200,3000,2600,26-10-2024
150,Raigarh,Potato,2200,3000,2600,25-10-2024
151,Raigarh,Potato,2200,3000,2600,27-10-2024
152,Raigarh,Potato,2200,2800,2500,20-10-2024
153,Raigarh,Potato,2500,2800,2650,07-08-2024
154,Raigarh,Potato,1000,1400,1000,27-02-2024
155,Raigarh,Potato,2800,3000,2900,30-07-2024
156,Raigarh,Potato,2200,2800,2200,27-05-2024
157,Raigarh,Potato,1800,2500,2000,28-08-2024
158,Raigarh,Potato,1300,1700,1500,14-02-2024
159,Raigarh,Potato,2800,3400,3100,13-08-2024
160,Raigarh,Potato,2600,3000,2800,27-08-2024
161,Raigarh,Potato,1200,1600,1400,08-02-2024
162,Raigarh,Potato,1400,1800,1400,07-04-2024
163,Raigarh,Potato,2200,2800,2500,23-09-2024
164,Raigarh,Potato,2200,2600,2400,04-09-2024
165,Raigarh,Potato,2500,3000,2500,29-07-2024
166,Raigarh,Potato,2300,2600,2300,21-05-2024
167,Raigarh,Potato,1700,2200,1900,14-04-2024
168,Raigarh,Potato,1000,1500,1200,21-01-2024
169,Raigarh,Potato,2000,2600,2300,18-09-2024
170,Raigarh,Potato,2200,2600,2200,18-05-2024
171,Raigarh,Potato,2800,3200,2800,25-05-2024
172,Raigarh,Potato,2800,3100,2800,06-07-2024
173,Raigarh,Potato,2200,2600,2400,15-09-2024
174,Raigarh,Potato,2500,3000,2500,26-05-2024
175,Raigarh,Potato,1000,1400,1200,16-01-2024
176,Raigarh,Potato,2200,3000,2600,23-11-2024
177,Raigarh,Potato,2600,3000,2600,23-07-2024
178,Raigarh,Potato,1600,2200,1900,21-04-2024
179,Raigarh,Potato,2200,3000,2600,24-10-2024
180,Raigarh,Potato,2200,3000,2600,03-11-2024
181,Raigarh,Potato,2000,3000,2500,30-10-2024
182,Raigarh,Potato,2200,2800,2500,16-09-2024
183,Raigarh,Potato,2200,2600,2400,17-10-2024
184,Raigarh,Potato,2300,2800,2300,24-05-2024
185,Raigarh,Potato,2300,3000,2600,22-12-2024
186,Raigarh,Potato,1200,1700,1200,12-04-2024
187,Raigarh,Potato,1200,1400,1300,22-02-2024
188,Raigarh,Potato,1000,1300,1150,14-01-2024
189,Raigarh,Potato,900,1600,1250,25-01-2024
190,Raigarh,Potato,2200,2600,2400,02-10-2024
191,Raigarh,Potato,1800,2200,1800,16-04-2024
192,Raigarh,Potato,1000,1400,1000,03-04-2024
193,Raigarh,Potato,1300,1600,1300,20-03-2024
194,Raigarh,Potato,2200,2600,2400,07-09-2024
195,Raigarh,Potato,2000,2400,2200,10-10-2024
196,Raigarh,Potato,2200,2600,2400,11-09-2024
197,Raigarh,Potato,2500,3000,2500,12-07-2024
198,Raigarh,Potato,2600,3000,2600,16-07-2024
199,Raigarh,Potato,2300,2900,2600,25-11-2024
200,Raigarh,Potato,2200,2600,2400,10-09-2024
201,Raigarh,Potato,2200,2800,2500,25-09-2024
202,Raigarh,Potato,2100,2500,2100,22-05-2024
203,Raigarh,Potato,2900,3000,2900,24-07-2024
204,Raigarh,Potato,800,1200,1000,02-01-2024
205,Raigarh,Potato,1100,1500,1100,16-03-2024
206,Raigarh,Potato,2600,3100,2600,18-07-2024
207,Raigarh,Potato,1100,1600,1300,06-02-2024
208,Raigarh,Potato,2200,2600,2200,07-06-2024
209,Raigarh,Potato,2200,2700,2450,21-10-2024
210,Raigarh,Potato,2000,2600,2300,06-09-2024
211,Raigarh,Potato,2100,2700,2400,23-10-2024
212,Raigarh,Potato,1500,2100,1800,28-12-2024
213,Raigarh,Potato,2500,3000,2500,17-07-2024
214,Raigarh,Potato,1700,2000,1700,20-04-2024
215,Raigarh,Potato,2800,3000,2900,06-08-2024
216,Raigarh,Potato,1300,1600,1300,22-03-2024
217,Raigarh,Potato,1700,2000,1700,30-04-2024
218,Raigarh,Potato,1500,1800,1500,22-04-2024
219,Raigarh,Potato,2300,3100,2700,28-11-2024
220,Raigarh,Potato,1000,1500,1250,13-02-2024
221,Raigarh,Potato,2300,3000,2650,03-12-2024
222,Raigarh,Potato,2000,2600,2300,27-09-2024
223,Raigarh,Potato,3000,4000,3000,19-07-2024
224,Raigarh,Potato,2500,2800,2500,13-06-2024
225,Raigarh,Potato,2100,2700,2400,08-10-2024
226,Raigarh,Potato,1100,1500,1100,19-03-2024
227,Raigarh,Potato,1100,1400,1250,15-02-2024
228,Raigarh,Potato,2500,3000,2500,03-06-2024
229,Raigarh,Potato,2200,2600,2200,13-05-2024
230,Raigarh,Potato,1000,1400,1200,20-02-2024
231,Raigarh,Potato,2700,3200,2700,04-07-2024
232,Raigarh,Potato,2200,2600,2400,16-10-2024
233,Raigarh,Potato,2200,2700,2450,26-12-2024
234,Raigarh,Potato,2000,3000,2500,31-07-2024
235,Raigarh,Potato,1000,1200,1100,11-01-2024
236,Raigarh,Potato,1000,1500,1250,19-01-2024
237,Raigarh,Potato,2200,3000,2600,25-10-2024
238,Raigarh,Potato,2200,3000,2600,21-11-2024
239,Raigarh,Potato,2700,3000,2850,21-08-2024
240,Raigarh,Potato,2000,2500,2000,09-06-2024
241,Raigarh,Potato,1100,1500,1300,28-01-2024
242,Raigarh,Potato,2200,3000,2600,02-12-2024
243,Raigarh,Potato,900,1300,1100,13-01-2024
244,Raigarh,Potato,2700,3200,2700,05-07-2024
245,Raigarh,Potato,1700,2000,1700,02-05-2024
246,Raigarh,Potato,2200,2800,2500,24-09-2024
247,Raigarh,Potato,2200,2800,2500,22-09-2024
248,Raigarh,Potato,1200,1400,1300,21-02-2024
249,Raigarh,Potato,1000,1400,1200,09-02-2024
250,Raigarh,Potato,1200,1500,1200,26-03-2024
251,Raigarh,Potato,1700,2000,1700,25-04-2024
252,Raigarh,Potato,2800,3400,3100,14-08-2024
253,Raigarh,Potato,2800,3000,2800,25-07-2024
254,Raigarh,Potato,2000,3000,2500,12-12-2024
255,Raigarh,Potato,2100,2500,2300,05-10-2024
256,Raigarh,Potato,2800,3200,3000,20-08-2024
257,Raigarh,Potato,1800,2100,1800,11-05-2024
258,Raigarh,Potato,1200,1600,1400,04-02-2024
259,Raigarh,Potato,2500,2800,2650,02-09-2024
260,Raigarh,Potato,2800,3000,2900,05-08-2024
261,Raigarh,Potato,1000,1500,1250,27-01-2024
262,Raigarh,Potato,2300,3100,2700,04-12-2024
