Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rajnandgaon,Potato,600,1000,800,11-02-2024
2,Rajnandgaon,Potato,600,1000,800,14-02-2024
3,Rajnandgaon,Potato,600,1200,800,27-01-2024
4,Rajnandgaon,Potato,600,1200,900,07-02-2024
5,Rajnandgaon,Potato,600,1200,900,14-01-2024
6,Rajnandgaon,Potato,600,1200,900,15-02-2024
7,Rajnandgaon,Potato,600,1200,900,20-02-2024
8,Rajnandgaon,Potato,600,1200,900,21-02-2024
9,Rajnandgaon,Potato,600,1200,900,24-01-2024
10,Rajnandgaon,Potato,800,1200,1000,01-02-2024
11,Rajnandgaon,Potato,800,1200,1000,01-03-2024
12,Rajnandgaon,Potato,800,1200,1000,02-02-2024
13,Rajnandgaon,Potato,800,1200,1000,02-03-2024
14,Rajnandgaon,Potato,800,1200,1000,03-02-2024
15,Rajnandgaon,Potato,800,1200,1000,03-01-2024
16,Rajnandgaon,Potato,800,1200,1000,04-01-2024
17,Rajnandgaon,Potato,800,1200,1000,05-01-2024
18,Rajnandgaon,Potato,800,1200,1000,05-03-2024
19,Rajnandgaon,Potato,800,1200,1000,06-02-2024
20,Rajnandgaon,Potato,800,1200,1000,06-01-2024
21,Rajnandgaon,Potato,800,1200,1000,07-01-2024
22,Rajnandgaon,Potato,800,1200,1000,08-02-2024
23,Rajnandgaon,Potato,800,1200,1000,09-02-2024
24,Rajnandgaon,Potato,800,1200,1000,09-01-2024
25,Rajnandgaon,Potato,800,1200,1000,09-03-2024
26,Rajnandgaon,Potato,800,1200,1000,10-01-2024
27,Rajnandgaon,Potato,800,1200,1000,11-01-2024
28,Rajnandgaon,Potato,800,1200,1000,12-01-2024
29,Rajnandgaon,Potato,800,1200,1000,12-03-2024
30,Rajnandgaon,Potato,800,1200,1000,13-02-2024
31,Rajnandgaon,Potato,800,1200,1000,13-01-2024
32,Rajnandgaon,Potato,800,1200,1000,16-02-2024
33,Rajnandgaon,Potato,800,1200,1000,16-01-2024
34,Rajnandgaon,Potato,800,1200,1000,17-02-2024
35,Rajnandgaon,Potato,800,1200,1000,17-01-2024
36,Rajnandgaon,Potato,800,1200,1000,18-02-2024
37,Rajnandgaon,Potato,800,1200,1000,18-01-2024
