Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sagar,Potato,1500,2000,1800,28-12-2024
2,Sagar,Potato,1600,2000,1800,24-12-2024
3,Sagar,Potato,1600,2000,1800,26-12-2024
4,Sagar,Potato,1600,2000,1800,27-12-2024
5,Sagar,Potato,1600,2200,1800,25-12-2024
6,Sagar,Potato,1800,2000,1900,23-12-2024
7,Sagar,Potato,1800,2200,2000,03-11-2024
8,Sagar,Potato,1800,2200,2000,12-12-2024
9,Sagar,Potato,1800,2200,2000,13-12-2024
10,Sagar,Potato,1800,2200,2000,22-12-2024
11,Sagar,Potato,1800,2200,2000,25-10-2024
12,Sagar,Potato,1800,2200,2000,31-12-2024
13,Sagar,Potato,1900,2300,2100,04-11-2024
14,Sagar,Potato,1900,2300,2100,17-11-2024
15,Sagar,Potato,1900,2300,2100,19-12-2024
16,Sagar,Potato,1900,2500,2200,09-11-2024
17,Sagar,Potato,1900,2500,2200,16-11-2024
18,Sagar,Potato,2000,2200,2100,19-11-2024
19,Sagar,Potato,2000,2200,2100,25-11-2024
20,Sagar,Potato,2000,2400,2200,02-11-2024
21,Sagar,Potato,2000,2400,2200,03-12-2024
22,Sagar,Potato,2000,2400,2200,06-11-2024
23,Sagar,Potato,2000,2400,2200,16-12-2024
24,Sagar,Potato,2000,2400,2200,18-12-2024
25,Sagar,Potato,2000,2400,2200,18-11-2024
26,Sagar,Potato,2000,2400,2200,21-12-2024
27,Sagar,Potato,2000,2400,2200,23-11-2024
28,Sagar,Potato,2000,2400,2200,28-11-2024
29,Sagar,Potato,2000,2400,2200,29-12-2024
30,Sagar,Potato,2000,2500,2200,26-11-2024
31,Sagar,Potato,2000,2500,2300,07-11-2024
32,Sagar,Potato,2000,2500,2300,10-11-2024
33,Sagar,Potato,2000,2500,2300,11-12-2024
34,Sagar,Potato,2000,2500,2300,15-10-2024
35,Sagar,Potato,2000,2500,2300,17-12-2024
36,Sagar,Potato,2000,2500,2300,20-12-2024
37,Sagar,Potato,2000,2500,2300,27-11-2024
38,Sagar,Potato,2000,2500,2300,29-11-2024
39,Sagar,Potato,2000,2500,2300,30-12-2024
40,Sagar,Potato,2000,2600,2300,04-12-2024
41,Sagar,Potato,2000,2600,2300,08-11-2024
42,Sagar,Potato,2000,2600,2300,09-12-2024
43,Sagar,Potato,2000,2600,2300,20-11-2024
44,Sagar,Potato,2000,2600,2300,24-11-2024
45,Sagar,Potato,2000,2600,2400,09-10-2024
46,Sagar,Potato,2000,2800,2400,07-10-2024
47,Sagar,Potato,2000,2800,2400,13-10-2024
48,Sagar,Potato,2000,2800,2400,14-11-2024
49,Sagar,Potato,2000,2800,2400,15-12-2024
50,Sagar,Potato,2000,2800,2400,29-09-2024
51,Sagar,Potato,2000,2900,2400,27-09-2024
52,Sagar,Potato,2000,3000,2500,22-11-2024
53,Sagar,Potato,2100,2300,2200,02-12-2024
54,Sagar,Potato,2100,2300,2200,14-12-2024
55,Sagar,Potato,2100,2500,2300,24-10-2024
56,Sagar,Potato,2100,2500,2400,06-12-2024
57,Sagar,Potato,2100,2700,2500,06-10-2024
58,Sagar,Potato,2100,2800,2400,28-09-2024
59,Sagar,Potato,2200,2400,2300,01-11-2024
60,Sagar,Potato,2200,2600,2400,05-12-2024
61,Sagar,Potato,2200,2600,2400,11-10-2024
62,Sagar,Potato,2200,2600,2400,17-10-2024
63,Sagar,Potato,2200,2600,2400,21-11-2024
64,Sagar,Potato,2200,2600,2400,22-10-2024
65,Sagar,Potato,2200,2600,2400,30-09-2024
66,Sagar,Potato,2200,2600,2500,16-10-2024
67,Sagar,Potato,2200,2800,2500,08-10-2024
68,Sagar,Potato,2200,2800,2600,05-10-2024
69,Sagar,Potato,2300,2800,2500,12-10-2024
70,Sagar,Potato,2400,2600,2500,01-10-2024
71,Sagar,Potato,2400,2600,2500,04-10-2024
72,Sagar,Potato,2400,2600,2500,14-10-2024
73,Sagar,Potato,2400,2600,2500,18-10-2024
74,Sagar,Potato,2400,2600,2500,23-10-2024
75,Sagar,Potato,2400,2800,2600,03-10-2024
