Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shimoga,Potato,24,28,26,05-03-2024
2,Shimoga,Potato,24,38,33,26-04-2024
3,Shimoga,Potato,28,34,31,03-05-2024
4,Shimoga,Potato,28,34,31,22-04-2024
5,Shimoga,Potato,28,34,31,23-04-2024
6,Shimoga,Potato,28,34,31,25-04-2024
7,Shimoga,Potato,28,34,31,29-04-2024
8,Shimoga,Potato,28,34,31,30-04-2024
9,Shimoga,Potato,1800,2000,1900,07-03-2024
10,Shimoga,Potato,2000,2600,2300,01-01-2024
11,Shimoga,Potato,2000,2600,2300,02-01-2024
12,Shimoga,Potato,2000,2600,2300,03-01-2024
13,Shimoga,Potato,2000,2600,2300,04-01-2024
14,Shimoga,Potato,2000,2600,2300,05-02-2024
15,Shimoga,Potato,2000,2600,2300,07-02-2024
16,Shimoga,Potato,2000,2600,2300,08-02-2024
17,Shimoga,Potato,2000,2600,2300,09-02-2024
18,Shimoga,Potato,2000,2800,2400,01-02-2024
19,Shimoga,Potato,2000,2800,2400,29-01-2024
20,Shimoga,Potato,2000,2800,2400,30-01-2024
21,Shimoga,Potato,2000,2800,2400,31-01-2024
22,Shimoga,Potato,2200,2400,2300,26-03-2024
23,Shimoga,Potato,2200,2600,2400,02-02-2024
24,Shimoga,Potato,2400,2600,2500,12-09-2024
25,Shimoga,Potato,2400,2800,2600,01-04-2024
26,Shimoga,Potato,2400,2800,2600,01-03-2024
27,Shimoga,Potato,2400,2800,2600,02-04-2024
28,Shimoga,Potato,2400,2800,2600,03-04-2024
29,Shimoga,Potato,2400,2800,2600,04-04-2024
30,Shimoga,Potato,2400,2800,2600,04-03-2024
31,Shimoga,Potato,2400,2800,2600,06-03-2024
32,Shimoga,Potato,2400,2800,2600,11-03-2024
33,Shimoga,Potato,2400,2800,2600,12-03-2024
34,Shimoga,Potato,2400,2800,2600,13-02-2024
35,Shimoga,Potato,2400,2800,2600,13-03-2024
36,Shimoga,Potato,2400,2800,2600,14-02-2024
37,Shimoga,Potato,2400,2800,2600,14-03-2024
38,Shimoga,Potato,2400,2800,2600,15-02-2024
39,Shimoga,Potato,2400,2800,2600,15-03-2024
40,Shimoga,Potato,2400,2800,2600,16-02-2024
41,Shimoga,Potato,2400,2800,2600,18-03-2024
42,Shimoga,Potato,2400,2800,2600,19-02-2024
