Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thiruvellore,Potato,3000,3000,3000,23-08-2024
2,Thiruvellore,Potato,5000,5000,5000,17-10-2024
3,Thiruvellore,Potato,3500,3500,3500,30-09-2024
4,Thiruvellore,Potato,3000,3000,3000,25-08-2024
5,Thiruvellore,Potato,3000,3000,3000,29-09-2024
6,Thiruvellore,Potato,6000,6000,6000,05-12-2024
7,Thiruvellore,Potato,4000,4000,4000,16-12-2024
8,Thiruvellore,Potato,6000,6000,6000,18-12-2024
9,Thiruvellore,Potato,3500,3500,3500,19-09-2024
10,Thiruvellore,Potato,5000,5000,5000,26-12-2024
11,Thiruvellore,Potato,5000,5000,5000,25-10-2024
12,Thiruvellore,Potato,5000,5000,5000,09-12-2024
13,Thiruvellore,Potato,5000,5000,5000,15-12-2024
14,Thiruvellore,Potato,3000,3000,3000,21-08-2024
15,Thiruvellore,Potato,6000,6000,6000,08-12-2024
16,Thiruvellore,Potato,4000,4000,4000,14-10-2024
17,Thiruvellore,Potato,3000,3000,3000,28-08-2024
18,Thiruvellore,Potato,3000,3000,3000,31-08-2024
19,Thiruvellore,Potato,6000,6000,6000,27-12-2024
20,Thiruvellore,Potato,3500,3500,3500,25-09-2024
21,Thiruvellore,Potato,4000,4000,4000,11-10-2024
22,Thiruvellore,Potato,3500,3500,3500,26-09-2024
23,Thiruvellore,Potato,6000,6000,6000,06-12-2024
24,Thiruvellore,Potato,3500,3500,3500,10-09-2024
25,Thiruvellore,Potato,3500,3500,3500,03-09-2024
26,Thiruvellore,Potato,3000,3000,3000,20-08-2024
27,Thiruvellore,Potato,5000,5000,5000,01-01-2025
28,Thiruvellore,Potato,3500,3500,3500,14-09-2024
29,Thiruvellore,Potato,5000,5000,5000,12-12-2024
30,Thiruvellore,Potato,4000,4000,4000,10-10-2024
31,Thiruvellore,Potato,3000,3000,3000,30-08-2024
32,Thiruvellore,Potato,4000,4000,4000,30-12-2024
33,Thiruvellore,Potato,5000,5000,5000,17-12-2024
34,Thiruvellore,Potato,6000,6000,6000,21-12-2024
35,Thiruvellore,Potato,3000,3000,3000,03-10-2024
36,Thiruvellore,Potato,5000,5000,5000,20-10-2024
37,Thiruvellore,Potato,5000,5000,5000,25-12-2024
38,Thiruvellore,Potato,3500,3500,3500,04-09-2024
39,Thiruvellore,Potato,4000,4000,4000,05-10-2024
40,Thiruvellore,Potato,3500,3500,3500,04-10-2024
41,Thiruvellore,Potato,3000,3000,3000,20-09-2024
42,Thiruvellore,Potato,3000,3000,3000,18-08-2024
43,Thiruvellore,Potato,3500,3500,3500,01-10-2024
44,Thiruvellore,Potato,4000,4000,4000,08-10-2024
45,Thiruvellore,Potato,3500,3500,3500,13-09-2024
46,Thiruvellore,Potato,3000,3000,3000,29-08-2024
47,Thiruvellore,Potato,5000,5000,5000,21-10-2024
48,Thiruvellore,Potato,4000,4000,4000,07-10-2024
49,Thiruvellore,Potato,5000,5000,5000,23-12-2024
50,Thiruvellore,Potato,5000,5000,5000,10-12-2024
51,Thiruvellore,Potato,6000,6000,6000,13-12-2024
52,Thiruvellore,Potato,3000,3000,3000,27-08-2024
53,Thiruvellore,Potato,3000,3000,3000,17-08-2024
54,Thiruvellore,Potato,3500,3500,3500,23-09-2024
55,Thiruvellore,Potato,3000,3000,3000,24-08-2024
56,Thiruvellore,Potato,4000,4000,4000,19-12-2024
57,Thiruvellore,Potato,3000,3000,3000,12-09-2024
58,Thiruvellore,Potato,3500,3500,3500,18-09-2024
59,Thiruvellore,Potato,4000,4000,4000,06-10-2024
60,Thiruvellore,Potato,3500,3500,3500,28-09-2024
61,Thiruvellore,Potato,5000,5000,5000,19-10-2024
62,Thiruvellore,Potato,3500,3500,3500,02-10-2024
63,Thiruvellore,Potato,4000,4000,4000,25-07-2024
64,Thiruvellore,Potato,3500,3500,3500,11-09-2024
65,Thiruvellore,Potato,5000,5000,5000,24-12-2024
66,Thiruvellore,Potato,3500,3500,3500,15-09-2024
67,Thiruvellore,Potato,3000,3000,3000,22-08-2024
68,Thiruvellore,Potato,3500,3500,3500,16-09-2024
69,Thiruvellore,Potato,3000,3000,3000,08-09-2024
70,Thiruvellore,Potato,3500,3500,3500,05-09-2024
71,Thiruvellore,Potato,3000,3000,3000,26-08-2024
72,Thiruvellore,Potato,6000,6000,6000,04-12-2024
73,Thiruvellore,Potato,6000,6000,6000,20-12-2024
74,Thiruvellore,Potato,3500,3500,3500,06-09-2024
75,Thiruvellore,Potato,4000,4000,4000,13-10-2024
76,Thiruvellore,Potato,5000,5000,5000,22-12-2024
77,Thiruvellore,Potato,4000,4000,4000,12-10-2024
78,Thiruvellore,Potato,3000,3000,3000,01-09-2024
79,Thiruvellore,Potato,6000,6000,6000,03-12-2024
80,Thiruvellore,Potato,3500,3500,3500,21-09-2024
81,Thiruvellore,Potato,5000,5000,5000,26-10-2024
82,Thiruvellore,Potato,3500,3500,3500,17-09-2024
83,Thiruvellore,Potato,5000,5000,5000,24-10-2024
84,Thiruvellore,Potato,6000,6000,6000,29-12-2024
85,Thiruvellore,Potato,6000,6000,6000,28-12-2024
86,Thiruvellore,Potato,5000,5000,5000,14-12-2024
87,Thiruvellore,Potato,3500,3500,3500,24-09-2024
88,Thiruvellore,Potato,3500,3500,3500,27-09-2024
89,Thiruvellore,Potato,3500,3500,3500,02-09-2024
90,Thiruvellore,Potato,6000,6000,6000,07-12-2024
91,Thiruvellore,Potato,6000,6000,6000,11-12-2024
92,Thiruvellore,Potato,4000,4000,4000,31-12-2024
93,Thiruvellore,Potato,3500,3500,3500,22-09-2024
94,Thiruvellore,Potato,3000,3000,3000,16-08-2024
95,Thiruvellore,Potato,3000,3000,3000,19-08-2024
96,Thiruvellore,Potato,4000,4000,4000,09-10-2024
