Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Warangal,Potato,1400,1800,1600,14-01-2024
2,Warangal,Potato,2400,2600,2500,10-03-2024
3,Warangal,Potato,2400,2600,2500,12-03-2024
4,Warangal,Potato,2400,2600,2500,17-03-2024
5,Warangal,Potato,2400,2600,2500,19-03-2024
6,Warangal,Potato,2400,2600,2500,21-03-2024
7,Warangal,Potato,2400,2600,2500,22-02-2024
8,Warangal,Potato,2400,2600,2500,22-03-2024
9,Warangal,Potato,2400,2600,2500,23-03-2024
10,Warangal,Potato,2400,2600,2500,24-03-2024
11,Warangal,Potato,2400,2600,2500,25-03-2024
12,Warangal,Potato,2400,2600,2500,26-03-2024
13,Warangal,Potato,2400,2600,2500,29-03-2024
14,Warangal,Potato,2400,2600,2600,02-03-2024
15,Warangal,Potato,2400,2600,2600,11-03-2024
16,Warangal,Potato,2400,2600,2600,14-03-2024
17,Warangal,Potato,2400,2600,2600,18-03-2024
18,Warangal,Potato,2400,2800,2600,01-02-2024
19,Warangal,Potato,2400,2800,2600,01-03-2024
20,Warangal,Potato,2400,2800,2600,02-02-2024
21,Warangal,Potato,2400,2800,2600,03-02-2024
22,Warangal,Potato,2400,2800,2600,03-03-2024
23,Warangal,Potato,2400,2800,2600,04-02-2024
24,Warangal,Potato,2400,2800,2600,04-01-2024
25,Warangal,Potato,2400,2800,2600,04-03-2024
26,Warangal,Potato,2400,2800,2600,05-01-2024
27,Warangal,Potato,2400,2800,2600,05-03-2024
28,Warangal,Potato,2400,2800,2600,06-01-2024
29,Warangal,Potato,2400,2800,2600,07-01-2024
30,Warangal,Potato,2400,2800,2600,07-03-2024
31,Warangal,Potato,2400,2800,2600,08-02-2024
32,Warangal,Potato,2400,2800,2600,08-01-2024
33,Warangal,Potato,2400,2800,2600,08-03-2024
34,Warangal,Potato,2400,2800,2600,09-02-2024
35,Warangal,Potato,2400,2800,2600,09-03-2024
36,Warangal,Potato,2400,2800,2600,10-02-2024
37,Warangal,Potato,2400,2800,2600,11-01-2024
38,Warangal,Potato,2400,2800,2600,12-01-2024
39,Warangal,Potato,2400,2800,2600,13-02-2024
40,Warangal,Potato,2400,2800,2600,13-01-2024
41,Warangal,Potato,2400,2800,2600,15-02-2024
42,Warangal,Potato,2400,2800,2600,15-01-2024
43,Warangal,Potato,2400,2800,2600,15-03-2024
44,Warangal,Potato,2400,2800,2600,16-02-2024
45,Warangal,Potato,2400,2800,2600,16-01-2024
46,Warangal,Potato,2400,2800,2600,16-03-2024
47,Warangal,Potato,2400,2800,2600,17-02-2024
48,Warangal,Potato,2400,2800,2600,18-02-2024
49,Warangal,Potato,2400,2800,2600,18-01-2024
50,Warangal,Potato,2400,2800,2600,19-02-2024
51,Warangal,Potato,2400,2800,2600,19-01-2024
52,Warangal,Potato,2400,2800,2600,20-02-2024
