Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,Ragi (Finger Millet),2730,3469,3273,14-03-2024
2,Bellary,Ragi (Finger Millet),2751,3136,2922,03-01-2024
3,Bellary,Ragi (Finger Millet),2782,3349,2905,05-03-2024
4,Bellary,Ragi (Finger Millet),2811,3269,2994,26-03-2024
5,Bellary,Ragi (Finger Millet),2816,2825,2818,20-02-2024
6,Bellary,Ragi (Finger Millet),2825,3279,3027,06-03-2024
7,Bellary,Ragi (Finger Millet),2841,2841,2841,28-02-2024
8,Bellary,Ragi (Finger Millet),2856,2902,2891,10-01-2024
9,Bellary,Ragi (Finger Millet),2879,3209,3075,30-03-2024
10,Bellary,Ragi (Finger Millet),2906,2906,2906,01-02-2024
11,Bellary,Ragi (Finger Millet),3000,3300,3200,06-07-2024
12,Bellary,Ragi (Finger Millet),3082,3082,3082,24-07-2024
13,Bellary,Ragi (Finger Millet),3159,3159,3159,01-04-2024
14,Bellary,Ragi (Finger Millet),3329,3500,3394,18-03-2024
15,Bellary,Ragi (Finger Millet),3369,3469,3431,13-03-2024
16,Bellary,Ragi (Finger Millet),3450,3450,3450,16-05-2024
17,Bellary,Ragi (Finger Millet),3637,3637,3637,19-02-2024
18,Bellary,Ragi (Finger Millet),3669,3669,3669,29-02-2024
