Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chitradurga,Ragi (Finger Millet),2500,3200,3100,12-09-2024
2,Chitradurga,Ragi (Finger Millet),2500,3200,3100,14-11-2024
3,Chitradurga,Ragi (Finger Millet),2500,3200,3100,15-11-2024
4,Chitradurga,Ragi (Finger Millet),2500,3300,3000,06-09-2024
5,Chitradurga,Ragi (Finger Millet),2500,3300,3200,19-11-2024
6,Chitradurga,Ragi (Finger Millet),2500,3300,3200,20-11-2024
7,Chitradurga,Ragi (Finger Millet),2500,3300,3200,28-08-2024
8,Chitradurga,Ragi (Finger Millet),2500,3350,3200,10-09-2024
9,Chitradurga,Ragi (Finger Millet),2600,3100,3000,26-11-2024
10,Chitradurga,Ragi (Finger Millet),2600,3300,3200,27-11-2024
11,Chitradurga,Ragi (Finger Millet),2600,4000,3400,03-09-2024
12,Chitradurga,Ragi (Finger Millet),2700,3400,3000,05-09-2024
13,Chitradurga,Ragi (Finger Millet),3000,3300,3200,31-08-2024
