Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Cuddalore,Ragi (Finger Millet),909,3437,2819,21-06-2024
2,Cuddalore,Ragi (Finger Millet),3333,3333,3333,26-06-2024
3,Cuddalore,Ragi (Finger Millet),3407,3407,3407,20-06-2024
4,Cuddalore,Ragi (Finger Millet),3419,3419,3419,05-07-2024
5,Cuddalore,Ragi (Finger Millet),2259,2259,2259,16-12-2024
6,Cuddalore,Ragi (Finger Millet),2269,3689,3689,28-10-2024
7,Cuddalore,Ragi (Finger Millet),2407,2407,2407,22-07-2024
8,Cuddalore,Ragi (Finger Millet),2869,2869,2869,04-11-2024
9,Cuddalore,Ragi (Finger Millet),3009,3009,3009,20-11-2024
10,Cuddalore,Ragi (Finger Millet),3037,3483,3037,09-07-2024
11,Cuddalore,Ragi (Finger Millet),3289,3637,3337,12-08-2024
12,Cuddalore,Ragi (Finger Millet),3309,3309,3309,09-09-2024
13,Cuddalore,Ragi (Finger Millet),3369,3369,3369,26-09-2024
14,Cuddalore,Ragi (Finger Millet),3409,3559,3409,30-12-2024
15,Cuddalore,Ragi (Finger Millet),3459,3459,3459,11-11-2024
16,Cuddalore,Ragi (Finger Millet),3527,3527,3527,11-07-2024
17,Cuddalore,Ragi (Finger Millet),3529,3639,3639,18-11-2024
18,Cuddalore,Ragi (Finger Millet),3572,3572,3572,16-09-2024
19,Cuddalore,Ragi (Finger Millet),3599,3599,3599,07-10-2024
20,Cuddalore,Ragi (Finger Millet),3607,3607,3607,01-08-2024
21,Cuddalore,Ragi (Finger Millet),3609,3609,3609,18-09-2024
22,Cuddalore,Ragi (Finger Millet),3609,3609,3609,22-08-2024
23,Cuddalore,Ragi (Finger Millet),3617,3636,3627,19-09-2024
24,Cuddalore,Ragi (Finger Millet),3636,3636,3636,19-08-2024
25,Cuddalore,Ragi (Finger Millet),3642,3642,3642,27-08-2024
26,Cuddalore,Ragi (Finger Millet),3647,3647,3647,02-09-2024
27,Cuddalore,Ragi (Finger Millet),3702,3702,3702,09-12-2024
28,Cuddalore,Ragi (Finger Millet),3709,3709,3709,05-09-2024
29,Cuddalore,Ragi (Finger Millet),3709,3709,3709,21-10-2024
30,Cuddalore,Ragi (Finger Millet),3709,3709,3709,28-08-2024
31,Cuddalore,Ragi (Finger Millet),3722,3722,3722,10-10-2024
32,Cuddalore,Ragi (Finger Millet),3759,3759,3759,06-08-2024
33,Cuddalore,Ragi (Finger Millet),3772,3772,3772,04-09-2024
