Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mahbubnagar,Ragi (Finger Millet),1651,4330,2912,13-11-2024
2,Mahbubnagar,Ragi (Finger Millet),1800,3910,3513,04-05-2024
3,Mahbubnagar,Ragi (Finger Millet),1850,3569,3352,22-04-2024
4,Mahbubnagar,Ragi (Finger Millet),2002,3829,2002,15-05-2024
5,Mahbubnagar,Ragi (Finger Millet),2056,3912,2882,30-04-2024
6,Mahbubnagar,Ragi (Finger Millet),2159,2600,2600,24-05-2024
7,Mahbubnagar,Ragi (Finger Millet),2201,2201,2201,23-05-2024
8,Mahbubnagar,Ragi (Finger Millet),2210,3121,3121,14-05-2024
9,Mahbubnagar,Ragi (Finger Millet),2312,4012,4012,17-09-2024
10,Mahbubnagar,Ragi (Finger Millet),2411,3659,3480,19-11-2024
11,Mahbubnagar,Ragi (Finger Millet),2509,3330,2719,28-10-2024
12,Mahbubnagar,Ragi (Finger Millet),2511,2511,2511,23-09-2024
13,Mahbubnagar,Ragi (Finger Millet),2520,3219,2859,04-11-2024
14,Mahbubnagar,Ragi (Finger Millet),2529,3100,2693,02-11-2024
15,Mahbubnagar,Ragi (Finger Millet),2550,3662,2929,23-10-2024
16,Mahbubnagar,Ragi (Finger Millet),2551,4040,2819,29-10-2024
17,Mahbubnagar,Ragi (Finger Millet),2559,4151,3011,22-10-2024
18,Mahbubnagar,Ragi (Finger Millet),2569,3642,2569,30-10-2024
19,Mahbubnagar,Ragi (Finger Millet),2590,2590,2590,28-06-2024
20,Mahbubnagar,Ragi (Finger Millet),2611,2611,2611,01-07-2024
21,Mahbubnagar,Ragi (Finger Millet),2619,3659,2719,05-11-2024
22,Mahbubnagar,Ragi (Finger Millet),2619,4129,2909,06-11-2024
23,Mahbubnagar,Ragi (Finger Millet),2620,3670,2620,26-11-2024
24,Mahbubnagar,Ragi (Finger Millet),2629,3239,2629,18-11-2024
25,Mahbubnagar,Ragi (Finger Millet),2650,3059,2929,26-10-2024
26,Mahbubnagar,Ragi (Finger Millet),2650,3271,3271,02-12-2024
27,Mahbubnagar,Ragi (Finger Millet),2659,3611,3280,25-10-2024
28,Mahbubnagar,Ragi (Finger Millet),2660,3329,3169,24-10-2024
29,Mahbubnagar,Ragi (Finger Millet),2673,4000,2769,07-11-2024
30,Mahbubnagar,Ragi (Finger Millet),2689,3411,3009,04-12-2024
31,Mahbubnagar,Ragi (Finger Millet),2711,4221,4221,01-06-2024
32,Mahbubnagar,Ragi (Finger Millet),2720,3630,2789,11-11-2024
