Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mandya,Ragi (Finger Millet),2300,3800,3300,10-07-2024
2,Mandya,Ragi (Finger Millet),2500,4250,3600,20-03-2024
3,Mandya,Ragi (Finger Millet),2700,2700,2700,01-07-2024
4,Mandya,Ragi (Finger Millet),2700,2700,2700,01-06-2024
5,Mandya,Ragi (Finger Millet),2700,2700,2700,01-09-2024
6,Mandya,Ragi (Finger Millet),2700,2700,2700,02-09-2024
7,Mandya,Ragi (Finger Millet),2700,2700,2700,03-09-2024
8,Mandya,Ragi (Finger Millet),2700,2700,2700,04-09-2024
9,Mandya,Ragi (Finger Millet),2700,2700,2700,05-07-2024
10,Mandya,Ragi (Finger Millet),2700,2700,2700,05-09-2024
11,Mandya,Ragi (Finger Millet),2700,2700,2700,06-08-2024
12,Mandya,Ragi (Finger Millet),2700,2700,2700,07-07-2024
13,Mandya,Ragi (Finger Millet),2700,2700,2700,08-06-2024
14,Mandya,Ragi (Finger Millet),2700,2700,2700,08-09-2024
15,Mandya,Ragi (Finger Millet),2700,2700,2700,09-09-2024
16,Mandya,Ragi (Finger Millet),2700,2700,2700,10-08-2024
17,Mandya,Ragi (Finger Millet),2700,2700,2700,10-05-2024
18,Mandya,Ragi (Finger Millet),2700,2700,2700,11-08-2024
19,Mandya,Ragi (Finger Millet),2700,2700,2700,11-07-2024
20,Mandya,Ragi (Finger Millet),2700,2700,2700,11-05-2024
21,Mandya,Ragi (Finger Millet),2700,2700,2700,12-07-2024
22,Mandya,Ragi (Finger Millet),2700,2700,2700,12-06-2024
23,Mandya,Ragi (Finger Millet),2700,2700,2700,13-08-2024
24,Mandya,Ragi (Finger Millet),2700,2700,2700,14-07-2024
25,Mandya,Ragi (Finger Millet),2700,2700,2700,15-08-2024
26,Mandya,Ragi (Finger Millet),2700,2700,2700,16-09-2024
27,Mandya,Ragi (Finger Millet),2700,2700,2700,17-06-2024
28,Mandya,Ragi (Finger Millet),2700,2700,2700,18-08-2024
29,Mandya,Ragi (Finger Millet),2700,2700,2700,20-07-2024
