Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Namakkal,Ragi (Finger Millet),2300,2600,2400,29-01-2024
2,Namakkal,Ragi (Finger Millet),2500,2800,2600,24-04-2024
3,Namakkal,Ragi (Finger Millet),2500,2800,2600,25-04-2024
4,Namakkal,Ragi (Finger Millet),2500,2800,2700,07-05-2024
5,Namakkal,Ragi (Finger Millet),2600,3100,2800,12-02-2024
6,Namakkal,Ragi (Finger Millet),2600,3100,2800,14-02-2024
7,Namakkal,Ragi (Finger Millet),2700,3300,3000,13-05-2024
8,Namakkal,Ragi (Finger Millet),2800,3400,3200,13-06-2024
9,Namakkal,Ragi (Finger Millet),2500,3000,2700,01-07-2024
10,Namakkal,Ragi (Finger Millet),2500,3000,2700,26-06-2024
11,Namakkal,Ragi (Finger Millet),2500,3000,2800,03-07-2024
