Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Ragi (Finger Millet),4200,4400,4300,05-06-2024
2,Pune,Ragi (Finger Millet),4600,5000,4800,11-10-2024
3,Pune,Ragi (Finger Millet),4300,4800,4550,28-11-2024
4,Pune,Ragi (Finger Millet),4000,4300,4150,07-06-2024
5,Pune,Ragi (Finger Millet),4200,4500,4350,06-07-2024
6,Pune,Ragi (Finger Millet),4500,5000,4750,15-10-2024
7,Pune,Ragi (Finger Millet),4500,5200,4850,26-11-2024
8,Pune,Ragi (Finger Millet),4000,4400,4200,01-04-2024
9,Pune,Ragi (Finger Millet),4600,5000,4800,25-10-2024
10,Pune,Ragi (Finger Millet),4200,4500,4350,28-06-2024
11,Pune,Ragi (Finger Millet),4300,4700,4500,22-08-2024
12,Pune,Ragi (Finger Millet),4000,4200,4100,22-04-2024
13,Pune,Ragi (Finger Millet),4100,4500,4300,27-07-2024
14,Pune,Ragi (Finger Millet),4500,5000,4750,14-10-2024
15,Pune,Ragi (Finger Millet),4000,4400,4200,24-05-2024
16,Pune,Ragi (Finger Millet),4100,4500,4300,30-03-2024
17,Pune,Ragi (Finger Millet),4200,4400,4300,29-02-2024
18,Pune,Ragi (Finger Millet),4100,4300,4200,12-03-2024
19,Pune,Ragi (Finger Millet),4600,5000,4800,02-11-2024
20,Pune,Ragi (Finger Millet),4000,4400,4200,01-08-2024
21,Pune,Ragi (Finger Millet),4500,5000,4750,14-12-2024
22,Pune,Ragi (Finger Millet),4400,4800,4600,23-09-2024
23,Pune,Ragi (Finger Millet),4500,5000,4750,12-12-2024
24,Pune,Ragi (Finger Millet),4000,4600,4300,10-08-2024
25,Pune,Ragi (Finger Millet),4200,4600,4400,22-07-2024
26,Pune,Ragi (Finger Millet),4000,4200,4100,16-03-2024
27,Pune,Ragi (Finger Millet),4200,4500,4350,26-06-2024
28,Pune,Ragi (Finger Millet),4500,5000,4750,29-10-2024
29,Pune,Ragi (Finger Millet),4000,4600,4300,12-08-2024
30,Pune,Ragi (Finger Millet),4000,4300,4150,02-05-2024
31,Pune,Ragi (Finger Millet),4400,4800,4600,21-10-2024
32,Pune,Ragi (Finger Millet),4200,4500,4350,01-07-2024
33,Pune,Ragi (Finger Millet),4000,4400,4200,26-04-2024
34,Pune,Ragi (Finger Millet),4500,4800,4650,29-08-2024
35,Pune,Ragi (Finger Millet),4200,4500,4350,28-02-2024
36,Pune,Ragi (Finger Millet),4500,5000,4750,23-10-2024
37,Pune,Ragi (Finger Millet),4000,4300,4150,05-04-2024
38,Pune,Ragi (Finger Millet),4400,4800,4600,20-09-2024
39,Pune,Ragi (Finger Millet),4000,4500,4250,02-03-2024
40,Pune,Ragi (Finger Millet),4500,5000,4750,01-01-2025
41,Pune,Ragi (Finger Millet),4100,4300,4200,10-07-2024
42,Pune,Ragi (Finger Millet),4500,5000,4750,01-10-2024
43,Pune,Ragi (Finger Millet),4000,4300,4150,17-06-2024
44,Pune,Ragi (Finger Millet),4200,4600,4400,05-08-2024
45,Pune,Ragi (Finger Millet),4400,4800,4600,02-09-2024
46,Pune,Ragi (Finger Millet),4500,5300,4900,20-12-2024
47,Pune,Ragi (Finger Millet),4500,4800,4650,20-08-2024
48,Pune,Ragi (Finger Millet),4000,4300,4150,13-06-2024
49,Pune,Ragi (Finger Millet),4000,4400,4200,01-03-2024
50,Pune,Ragi (Finger Millet),4400,4700,4550,04-09-2024
51,Pune,Ragi (Finger Millet),4500,5000,4750,06-12-2024
52,Pune,Ragi (Finger Millet),4000,4200,4100,15-04-2024
53,Pune,Ragi (Finger Millet),4500,5000,4750,02-12-2024
54,Pune,Ragi (Finger Millet),4300,4500,4400,20-06-2024
55,Pune,Ragi (Finger Millet),4600,4900,4750,12-09-2024
56,Pune,Ragi (Finger Millet),4200,4400,4300,31-05-2024
57,Pune,Ragi (Finger Millet),4500,5000,4750,11-11-2024
58,Pune,Ragi (Finger Millet),4500,4900,4700,02-10-2024
59,Pune,Ragi (Finger Millet),4200,4400,4300,19-03-2024
60,Pune,Ragi (Finger Millet),4200,4400,4300,15-06-2024
61,Pune,Ragi (Finger Millet),4150,4650,4250,17-05-2024
62,Pune,Ragi (Finger Millet),4400,4800,4600,05-12-2024
63,Pune,Ragi (Finger Millet),4200,4500,4350,13-07-2024
64,Pune,Ragi (Finger Millet),4500,5000,4750,31-10-2024
65,Pune,Ragi (Finger Millet),4000,4200,4100,18-06-2024
66,Pune,Ragi (Finger Millet),4400,5000,4700,10-12-2024
67,Pune,Ragi (Finger Millet),4000,4400,4200,29-04-2024
68,Pune,Ragi (Finger Millet),4500,5200,4850,03-12-2024
69,Pune,Ragi (Finger Millet),4500,5000,4750,03-10-2024
70,Pune,Ragi (Finger Millet),4100,4500,4300,22-03-2024
71,Pune,Ragi (Finger Millet),4200,4600,4400,29-07-2024
72,Pune,Ragi (Finger Millet),4400,4800,4600,17-08-2024
73,Pune,Ragi (Finger Millet),4500,4800,4650,19-08-2024
74,Pune,Ragi (Finger Millet),4300,4500,4400,20-07-2024
75,Pune,Ragi (Finger Millet),4400,4700,4550,09-09-2024
76,Pune,Ragi (Finger Millet),4000,4200,4100,14-06-2024
