Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shimoga,Ragi (Finger Millet),2150,3850,3000,27-09-2024
2,Shimoga,Ragi (Finger Millet),3000,4500,3750,22-01-2024
3,Shimoga,Ragi (Finger Millet),3500,4200,3750,16-02-2024
4,Shimoga,Ragi (Finger Millet),3500,4200,3750,28-02-2024
5,Shimoga,Ragi (Finger Millet),3500,4200,3750,29-02-2024
6,Shimoga,Ragi (Finger Millet),3500,4200,3800,13-03-2024
7,Shimoga,Ragi (Finger Millet),3500,4200,3800,14-03-2024
8,Shimoga,Ragi (Finger Millet),3500,4200,3800,15-03-2024
9,Shimoga,Ragi (Finger Millet),3500,4200,3850,01-04-2024
10,Shimoga,Ragi (Finger Millet),3500,4200,3850,01-03-2024
11,Shimoga,Ragi (Finger Millet),3500,4200,3850,03-04-2024
12,Shimoga,Ragi (Finger Millet),3500,4200,3850,04-04-2024
13,Shimoga,Ragi (Finger Millet),3500,4200,3850,04-03-2024
14,Shimoga,Ragi (Finger Millet),3500,4200,3850,05-04-2024
15,Shimoga,Ragi (Finger Millet),3500,4200,3850,05-03-2024
16,Shimoga,Ragi (Finger Millet),3500,4200,3850,06-04-2024
17,Shimoga,Ragi (Finger Millet),3500,4200,3850,06-03-2024
18,Shimoga,Ragi (Finger Millet),3500,4200,3850,08-04-2024
19,Shimoga,Ragi (Finger Millet),3500,4200,3850,11-03-2024
20,Shimoga,Ragi (Finger Millet),3500,4200,3850,12-03-2024
21,Shimoga,Ragi (Finger Millet),3500,4200,3850,15-04-2024
22,Shimoga,Ragi (Finger Millet),3500,4200,3850,18-03-2024
23,Shimoga,Ragi (Finger Millet),3500,4200,3850,19-03-2024
24,Shimoga,Ragi (Finger Millet),3500,4200,3850,20-03-2024
25,Shimoga,Ragi (Finger Millet),3500,4200,3850,25-03-2024
26,Shimoga,Ragi (Finger Millet),3500,4200,3850,28-03-2024
27,Shimoga,Ragi (Finger Millet),3500,4200,3850,30-03-2024
28,Shimoga,Ragi (Finger Millet),3500,4500,3750,01-01-2024
29,Shimoga,Ragi (Finger Millet),3500,4500,3750,03-01-2024
30,Shimoga,Ragi (Finger Millet),3500,4500,3750,05-01-2024
31,Shimoga,Ragi (Finger Millet),3500,4500,3750,08-01-2024
32,Shimoga,Ragi (Finger Millet),3500,4500,3750,12-01-2024
33,Shimoga,Ragi (Finger Millet),3500,4500,3750,17-01-2024
34,Shimoga,Ragi (Finger Millet),3500,4500,4000,01-02-2024
35,Shimoga,Ragi (Finger Millet),3500,4500,4000,02-02-2024
36,Shimoga,Ragi (Finger Millet),3500,4500,4000,02-01-2024
37,Shimoga,Ragi (Finger Millet),3500,4500,4000,04-01-2024
38,Shimoga,Ragi (Finger Millet),3500,4500,4000,05-02-2024
39,Shimoga,Ragi (Finger Millet),3500,4500,4000,06-01-2024
40,Shimoga,Ragi (Finger Millet),3500,4500,4000,07-02-2024
41,Shimoga,Ragi (Finger Millet),3500,4500,4000,09-01-2024
42,Shimoga,Ragi (Finger Millet),3500,4500,4000,10-01-2024
43,Shimoga,Ragi (Finger Millet),3500,4500,4000,11-01-2024
44,Shimoga,Ragi (Finger Millet),3500,4500,4000,21-02-2024
45,Shimoga,Ragi (Finger Millet),3500,4500,4000,29-01-2024
46,Shimoga,Ragi (Finger Millet),3500,4500,4000,30-01-2024
47,Shimoga,Ragi (Finger Millet),3500,4500,4000,31-01-2024
48,Shimoga,Ragi (Finger Millet),3600,4000,3800,09-05-2024
49,Shimoga,Ragi (Finger Millet),3600,4100,3850,01-06-2024
50,Shimoga,Ragi (Finger Millet),3600,4100,3850,02-05-2024
51,Shimoga,Ragi (Finger Millet),3600,4100,3850,03-06-2024
52,Shimoga,Ragi (Finger Millet),3600,4100,3850,03-05-2024
53,Shimoga,Ragi (Finger Millet),3600,4100,3850,05-06-2024
54,Shimoga,Ragi (Finger Millet),3600,4100,3850,06-06-2024
55,Shimoga,Ragi (Finger Millet),3600,4100,3850,07-06-2024
56,Shimoga,Ragi (Finger Millet),3600,4100,3850,08-05-2024
57,Shimoga,Ragi (Finger Millet),3600,4100,3850,10-06-2024
58,Shimoga,Ragi (Finger Millet),3600,4100,3850,11-06-2024
59,Shimoga,Ragi (Finger Millet),3600,4100,3850,12-06-2024
60,Shimoga,Ragi (Finger Millet),3600,4100,3850,13-05-2024
61,Shimoga,Ragi (Finger Millet),3600,4100,3850,14-05-2024
62,Shimoga,Ragi (Finger Millet),3600,4100,3850,15-05-2024
63,Shimoga,Ragi (Finger Millet),3600,4100,3850,16-05-2024
64,Shimoga,Ragi (Finger Millet),3600,4100,3850,18-01-2024
65,Shimoga,Ragi (Finger Millet),3600,4100,3850,18-06-2024
66,Shimoga,Ragi (Finger Millet),3600,4100,3850,18-05-2024
67,Shimoga,Ragi (Finger Millet),3600,4100,3850,19-01-2024
68,Shimoga,Ragi (Finger Millet),3600,4100,3850,19-06-2024
69,Shimoga,Ragi (Finger Millet),3600,4100,3850,20-01-2024
70,Shimoga,Ragi (Finger Millet),3600,4100,3850,20-06-2024
71,Shimoga,Ragi (Finger Millet),3600,4100,3850,21-06-2024
72,Shimoga,Ragi (Finger Millet),3600,4100,3850,21-05-2024
73,Shimoga,Ragi (Finger Millet),3600,4100,3850,23-04-2024
74,Shimoga,Ragi (Finger Millet),3600,4100,3850,23-05-2024
75,Shimoga,Ragi (Finger Millet),3600,4100,3850,24-04-2024
76,Shimoga,Ragi (Finger Millet),3600,4100,3850,24-06-2024
77,Shimoga,Ragi (Finger Millet),3600,4100,3850,24-05-2024
78,Shimoga,Ragi (Finger Millet),3600,4100,3850,25-04-2024
79,Shimoga,Ragi (Finger Millet),3600,4100,3850,25-06-2024
80,Shimoga,Ragi (Finger Millet),3600,4100,3850,26-06-2024
81,Shimoga,Ragi (Finger Millet),3600,4100,3850,27-05-2024
82,Shimoga,Ragi (Finger Millet),3600,4100,3850,28-05-2024
83,Shimoga,Ragi (Finger Millet),3600,4100,3850,29-04-2024
84,Shimoga,Ragi (Finger Millet),3600,4100,3850,30-04-2024
85,Shimoga,Ragi (Finger Millet),3600,4100,3850,30-05-2024
86,Shimoga,Ragi (Finger Millet),3600,4100,3900,17-04-2024
87,Shimoga,Ragi (Finger Millet),3600,4100,3900,19-04-2024
88,Shimoga,Ragi (Finger Millet),3600,4100,3900,20-04-2024
89,Shimoga,Ragi (Finger Millet),3600,4100,3900,22-04-2024
90,Shimoga,Ragi (Finger Millet),3600,4200,3900,01-01-2025
91,Shimoga,Ragi (Finger Millet),3600,4200,3900,02-12-2024
