Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Tumkur,Ragi (Finger Millet),2000,2300,2200,09-10-2024
2,Tumkur,Ragi (Finger Millet),2000,2400,2200,02-10-2024
3,Tumkur,Ragi (Finger Millet),2000,2400,2200,03-11-2024
4,Tumkur,Ragi (Finger Millet),2000,2400,2200,04-10-2024
5,Tumkur,Ragi (Finger Millet),2000,2400,2200,05-10-2024
6,Tumkur,Ragi (Finger Millet),2000,2400,2200,08-10-2024
7,Tumkur,Ragi (Finger Millet),2000,2400,2200,12-10-2024
8,Tumkur,Ragi (Finger Millet),2000,2400,2200,18-10-2024
9,Tumkur,Ragi (Finger Millet),2000,2400,2200,28-10-2024
10,Tumkur,Ragi (Finger Millet),2000,2400,2200,28-09-2024
11,Tumkur,Ragi (Finger Millet),2000,2500,2200,20-10-2024
12,Tumkur,Ragi (Finger Millet),2700,2900,2800,11-09-2024
13,Tumkur,Ragi (Finger Millet),2900,3100,2975,19-03-2024
14,Tumkur,Ragi (Finger Millet),2900,3100,3000,02-02-2024
15,Tumkur,Ragi (Finger Millet),2000,2300,2200,27-09-2024
16,Tumkur,Ragi (Finger Millet),2000,2400,2200,01-11-2024
17,Tumkur,Ragi (Finger Millet),2000,2400,2200,04-11-2024
18,Tumkur,Ragi (Finger Millet),2000,2400,2200,08-11-2024
19,Tumkur,Ragi (Finger Millet),2300,2500,2400,22-10-2024
20,Tumkur,Ragi (Finger Millet),2850,3000,2900,16-03-2024
21,Tumkur,Ragi (Finger Millet),2900,3200,3000,07-09-2024
22,Tumkur,Ragi (Finger Millet),3000,3200,3100,13-11-2024
23,Tumkur,Ragi (Finger Millet),2800,3000,2900,30-09-2024
24,Tumkur,Ragi (Finger Millet),3000,3200,3000,30-08-2024
25,Tumkur,Ragi (Finger Millet),3000,3200,3100,08-08-2024
26,Tumkur,Ragi (Finger Millet),3000,3200,3100,17-07-2024
