Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Villupuram,Ragi (Finger Millet),2200,2939,2500,23-09-2024
2,Villupuram,Ragi (Finger Millet),2500,3169,3000,04-07-2024
3,Villupuram,Ragi (Finger Millet),2500,3389,3200,03-09-2024
4,Villupuram,Ragi (Finger Millet),2500,3556,3200,11-09-2024
5,Villupuram,Ragi (Finger Millet),2500,3649,3200,04-11-2024
6,Villupuram,Ragi (Finger Millet),2800,3363,3200,14-10-2024
7,Villupuram,Ragi (Finger Millet),2800,3506,3200,22-10-2024
8,Villupuram,Ragi (Finger Millet),2800,3509,3200,25-09-2024
9,Villupuram,Ragi (Finger Millet),2800,3536,3388,23-08-2024
10,Villupuram,Ragi (Finger Millet),2800,3552,3200,19-09-2024
11,Villupuram,Ragi (Finger Millet),2800,3586,3529,24-09-2024
12,Villupuram,Ragi (Finger Millet),2989,3595,3369,31-07-2024
13,Villupuram,Ragi (Finger Millet),3000,3509,3220,27-09-2024
14,Villupuram,Ragi (Finger Millet),3000,3713,3459,30-10-2024
15,Villupuram,Ragi (Finger Millet),3110,3523,3489,20-09-2024
16,Villupuram,Ragi (Finger Millet),3200,3571,3417,15-07-2024
17,Villupuram,Ragi (Finger Millet),3200,3633,3625,01-08-2024
18,Villupuram,Ragi (Finger Millet),3310,3519,3350,18-07-2024
19,Villupuram,Ragi (Finger Millet),3366,3792,3406,17-10-2024
20,Villupuram,Ragi (Finger Millet),3369,3549,3449,24-07-2024
21,Villupuram,Ragi (Finger Millet),3377,3673,3543,29-10-2024
22,Villupuram,Ragi (Finger Millet),3389,3519,3449,29-08-2024
23,Villupuram,Ragi (Finger Millet),3400,3478,3459,23-12-2024
24,Villupuram,Ragi (Finger Millet),3400,3809,3704,12-12-2024
25,Villupuram,Ragi (Finger Millet),3428,3579,3476,25-10-2024
26,Villupuram,Ragi (Finger Millet),3429,3567,3519,06-12-2024
27,Villupuram,Ragi (Finger Millet),3429,3849,3459,07-11-2024
28,Villupuram,Ragi (Finger Millet),3469,3537,3522,26-07-2024
29,Villupuram,Ragi (Finger Millet),3483,3629,3583,22-08-2024
30,Villupuram,Ragi (Finger Millet),3539,3700,3559,30-09-2024
