Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Rice,3000,3080,3040,11-03-2024
2,Agra,Rice,2870,2910,2890,01-01-2024
3,Agra,Rice,3200,3260,3230,04-09-2024
4,Agra,Rice,3260,3300,3280,19-11-2024
5,Agra,Rice,3200,3240,3220,05-08-2024
6,Agra,Rice,3120,3160,3140,03-06-2024
7,Agra,Rice,3200,3260,3230,07-08-2024
8,Agra,Rice,3220,3270,3250,11-09-2024
9,Agra,Rice,3020,3100,3060,12-03-2024
10,Agra,Rice,3160,3200,3180,02-04-2024
11,Agra,Rice,3200,3240,3220,07-09-2024
12,Agra,Rice,3110,3150,3130,18-05-2024
13,Agra,Rice,2950,2990,2970,21-02-2024
14,Agra,Rice,3210,3250,3230,08-09-2024
15,Agra,Rice,3240,3300,3270,22-12-2024
16,Agra,Rice,2900,2960,2930,10-02-2024
17,Agra,Rice,3120,3160,3140,24-06-2024
18,Agra,Rice,3130,3190,3160,08-07-2024
19,Agra,Rice,3220,3240,3230,20-07-2024
20,Agra,Rice,2880,2940,2910,12-01-2024
21,Agra,Rice,3130,3160,3145,29-06-2024
22,Agra,Rice,3150,3190,3170,09-07-2024
23,Agra,Rice,3100,3140,3120,13-05-2024
24,Agra,Rice,3080,3120,3100,25-05-2024
25,Agra,Rice,3230,3250,3240,12-10-2024
26,Agra,Rice,3240,3280,3260,09-12-2024
27,Agra,Rice,3180,3220,3200,28-07-2024
28,Agra,Rice,2900,2960,2930,27-01-2024
29,Agra,Rice,3100,3140,3120,22-05-2024
30,Agra,Rice,3110,3150,3130,15-05-2024
31,Agra,Rice,3230,3270,3250,03-09-2024
32,Agra,Rice,2880,2940,2910,19-01-2024
33,Agra,Rice,3260,3300,3280,21-12-2024
34,Agra,Rice,3120,3160,3140,10-07-2024
35,Agra,Rice,3120,3180,3150,13-04-2024
36,Agra,Rice,3230,3230,3230,14-10-2024
37,Agra,Rice,3140,3180,3160,14-07-2024
38,Agra,Rice,2890,2930,2910,03-01-2024
39,Agra,Rice,2900,3000,2950,04-02-2024
40,Agra,Rice,3120,3160,3140,19-06-2024
41,Agra,Rice,3240,3260,3250,29-11-2024
42,Agra,Rice,3220,3240,3230,06-10-2024
43,Agra,Rice,3130,3160,3145,02-07-2024
44,Agra,Rice,2920,2960,2940,29-01-2024
45,Agra,Rice,3155,3155,3155,28-06-2024
46,Agra,Rice,3020,3060,3040,10-03-2024
47,Agra,Rice,3145,3145,3145,01-07-2024
48,Agra,Rice,2870,2930,2900,05-01-2024
49,Agra,Rice,3000,3080,3040,09-03-2024
50,Agra,Rice,3220,3260,3240,13-08-2024
51,Agra,Rice,2870,2930,2900,16-01-2024
52,Agra,Rice,3110,3150,3130,12-05-2024
53,Agra,Rice,3185,3185,3185,15-07-2024
54,Agra,Rice,3200,3220,3210,25-09-2024
55,Agra,Rice,3230,3270,3250,09-11-2024
56,Agra,Rice,3200,3240,3220,25-08-2024
57,Agra,Rice,2910,2950,2930,05-02-2024
58,Agra,Rice,3215,3235,3225,16-08-2024
59,Agra,Rice,2960,3010,2990,28-02-2024
60,Agra,Rice,3200,3240,3220,29-07-2024
61,Agra,Rice,3100,3160,3130,11-04-2024
62,Agra,Rice,3120,3160,3140,25-06-2024
63,Agra,Rice,3240,3280,3260,19-10-2024
64,Agra,Rice,2900,2940,2920,23-01-2024
65,Agra,Rice,3220,3260,3240,12-08-2024
66,Agra,Rice,3260,3280,3270,06-12-2024
67,Agra,Rice,3130,3130,3130,10-06-2024
68,Agra,Rice,3120,3180,3150,17-06-2024
69,Agra,Rice,3260,3300,3280,31-12-2024
70,Agra,Rice,3100,3120,3110,24-05-2024
71,Agra,Rice,3140,3140,3140,09-06-2024
72,Agra,Rice,3090,3140,3110,15-04-2024
73,Agra,Rice,3100,3160,3130,21-04-2024
74,Agra,Rice,3250,3270,3260,25-11-2024
