Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Rice,4000,5800,5000,27-01-2024
2,Ahmednagar,Rice,4000,5800,5000,17-01-2024
3,Ahmednagar,Rice,4000,6000,5000,12-02-2024
4,Ahmednagar,Rice,6000,8000,7000,08-02-2024
5,Ahmednagar,Rice,4000,5800,4800,25-01-2024
6,Ahmednagar,Rice,4000,6000,5000,22-01-2024
7,Ahmednagar,Rice,4000,5800,4800,30-01-2024
8,Ahmednagar,Rice,5500,8000,6500,23-01-2024
9,Ahmednagar,Rice,4200,5800,5200,10-01-2024
10,Ahmednagar,Rice,4200,6000,5000,20-01-2024
11,Ahmednagar,Rice,4500,6000,5200,08-01-2024
12,Ahmednagar,Rice,4000,5800,4800,01-02-2024
13,Ahmednagar,Rice,4000,5800,4800,13-01-2024
14,Ahmednagar,Rice,4500,6500,5600,01-01-2024
15,Ahmednagar,Rice,4000,6000,5000,24-01-2024
16,Ahmednagar,Rice,4000,6000,5000,03-02-2024
17,Ahmednagar,Rice,4200,6000,5000,16-01-2024
18,Ahmednagar,Rice,4000,5800,4800,04-01-2024
19,Ahmednagar,Rice,4000,6500,5000,11-02-2024
20,Ahmednagar,Rice,4500,6500,5500,24-02-2024
21,Ahmednagar,Rice,4200,6000,5000,20-02-2024
22,Ahmednagar,Rice,4000,5800,4800,15-01-2024
23,Ahmednagar,Rice,4000,6000,5000,15-02-2024
24,Ahmednagar,Rice,4500,6000,5500,02-01-2024
25,Ahmednagar,Rice,4300,6000,5100,21-02-2024
26,Ahmednagar,Rice,4500,6500,5500,29-01-2024
27,Ahmednagar,Rice,4200,6500,5500,06-02-2024
28,Ahmednagar,Rice,4200,6200,5200,21-01-2024
29,Ahmednagar,Rice,4000,5800,4800,06-01-2024
30,Ahmednagar,Rice,4200,5800,5200,11-01-2024
31,Ahmednagar,Rice,4000,5800,4800,09-01-2024
32,Ahmednagar,Rice,4500,6500,5500,10-02-2024
33,Ahmednagar,Rice,4200,6200,5200,18-01-2024
34,Ahmednagar,Rice,4500,6000,5200,05-02-2024
35,Ahmednagar,Rice,4000,5800,5000,31-01-2024
36,Ahmednagar,Rice,4500,6500,5500,14-02-2024
37,Ahmednagar,Rice,4000,6000,5500,07-02-2024
38,Ahmednagar,Rice,4000,5800,4800,19-02-2024
39,Ahmednagar,Rice,4500,6200,5000,13-02-2024
