Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Aligarh,Rice,2900,3000,2940,24-01-2024
2,Aligarh,Rice,2900,3000,2950,10-01-2024
3,Aligarh,Rice,2920,2960,2940,07-02-2024
4,Aligarh,Rice,2930,2970,2950,03-02-2024
5,Aligarh,Rice,2930,2970,2950,06-02-2024
6,Aligarh,Rice,2930,2970,2950,08-02-2024
7,Aligarh,Rice,2930,2970,2950,10-02-2024
8,Aligarh,Rice,2930,2970,2950,13-02-2024
9,Aligarh,Rice,2930,2970,2950,16-01-2024
10,Aligarh,Rice,2930,2970,2950,23-01-2024
11,Aligarh,Rice,2930,2970,2950,31-01-2024
12,Aligarh,Rice,2940,2980,2960,02-02-2024
13,Aligarh,Rice,2940,2980,2960,02-01-2024
14,Aligarh,Rice,2940,2980,2960,04-01-2024
15,Aligarh,Rice,2940,2980,2960,05-02-2024
16,Aligarh,Rice,2940,2980,2960,06-01-2024
17,Aligarh,Rice,2940,2980,2960,09-02-2024
18,Aligarh,Rice,2940,2980,2960,09-01-2024
19,Aligarh,Rice,2940,2980,2960,11-01-2024
20,Aligarh,Rice,2940,2980,2960,12-02-2024
21,Aligarh,Rice,2940,2980,2960,12-01-2024
22,Aligarh,Rice,2940,2980,2960,15-01-2024
23,Aligarh,Rice,2940,2980,2960,18-01-2024
24,Aligarh,Rice,2940,2980,2960,20-01-2024
25,Aligarh,Rice,2940,2980,2960,27-01-2024
26,Aligarh,Rice,2940,2980,2960,30-01-2024
27,Aligarh,Rice,2950,2990,2970,01-02-2024
28,Aligarh,Rice,2950,2990,2970,01-01-2024
29,Aligarh,Rice,2950,2990,2970,03-01-2024
30,Aligarh,Rice,2950,2990,2970,05-01-2024
31,Aligarh,Rice,2950,2990,2970,08-01-2024
32,Aligarh,Rice,2950,2990,2970,13-01-2024
33,Aligarh,Rice,2950,2990,2970,17-01-2024
34,Aligarh,Rice,2950,2990,2970,19-01-2024
35,Aligarh,Rice,2950,2990,2970,26-01-2024
36,Aligarh,Rice,2950,2990,2970,29-01-2024
37,Aligarh,Rice,2950,3010,3000,28-02-2024
38,Aligarh,Rice,2950,3060,3020,23-04-2024
39,Aligarh,Rice,2970,3050,3020,28-03-2024
40,Aligarh,Rice,2970,3060,3020,16-04-2024
41,Aligarh,Rice,2980,3020,3000,14-03-2024
42,Aligarh,Rice,2980,3020,3000,16-03-2024
43,Aligarh,Rice,3000,3040,3020,02-03-2024
44,Aligarh,Rice,3000,3040,3020,02-05-2024
45,Aligarh,Rice,3000,3040,3020,04-04-2024
46,Aligarh,Rice,3000,3040,3020,04-05-2024
47,Aligarh,Rice,3000,3040,3020,05-03-2024
48,Aligarh,Rice,3000,3040,3020,06-04-2024
49,Aligarh,Rice,3000,3040,3020,07-03-2024
50,Aligarh,Rice,3000,3040,3020,09-03-2024
51,Aligarh,Rice,3000,3040,3020,09-05-2024
52,Aligarh,Rice,3000,3040,3020,12-03-2024
53,Aligarh,Rice,3000,3040,3020,13-05-2024
54,Aligarh,Rice,3000,3040,3020,15-04-2024
55,Aligarh,Rice,3000,3040,3020,16-05-2024
56,Aligarh,Rice,3000,3040,3020,18-03-2024
57,Aligarh,Rice,3000,3040,3020,18-05-2024
58,Aligarh,Rice,3000,3040,3020,19-04-2024
59,Aligarh,Rice,3000,3040,3020,20-04-2024
60,Aligarh,Rice,3000,3040,3020,22-05-2024
61,Aligarh,Rice,3000,3040,3020,24-02-2024
62,Aligarh,Rice,3000,3040,3020,27-02-2024
63,Aligarh,Rice,3000,3040,3020,29-04-2024
64,Aligarh,Rice,3000,3040,3020,29-02-2024
65,Aligarh,Rice,3000,3050,3030,13-04-2024
66,Aligarh,Rice,3000,3100,3040,01-05-2024
67,Aligarh,Rice,3000,3100,3040,01-10-2024
68,Aligarh,Rice,3000,3100,3040,20-03-2024
69,Aligarh,Rice,3000,3100,3040,23-05-2024
70,Aligarh,Rice,3000,3100,3040,24-04-2024
71,Aligarh,Rice,3000,3100,3040,26-08-2024
72,Aligarh,Rice,3000,3100,3040,26-09-2024
73,Aligarh,Rice,3000,3100,3040,31-08-2024
74,Aligarh,Rice,3000,3100,3050,02-10-2024
75,Aligarh,Rice,3000,3100,3050,02-09-2024
76,Aligarh,Rice,3000,3100,3050,04-10-2024
77,Aligarh,Rice,3000,3100,3050,06-09-2024
78,Aligarh,Rice,3000,3100,3050,07-10-2024
79,Aligarh,Rice,3000,3100,3050,09-09-2024
80,Aligarh,Rice,3000,3100,3050,10-08-2024
81,Aligarh,Rice,3000,3100,3050,15-08-2024
82,Aligarh,Rice,3000,3100,3050,15-02-2024
83,Aligarh,Rice,3000,3100,3050,16-09-2024
84,Aligarh,Rice,3000,3100,3050,17-08-2024
85,Aligarh,Rice,3000,3100,3050,18-07-2024
86,Aligarh,Rice,3000,3100,3050,19-03-2024
87,Aligarh,Rice,3000,3100,3050,21-03-2024
88,Aligarh,Rice,3000,3100,3050,23-09-2024
89,Aligarh,Rice,3000,3100,3050,25-04-2024
90,Aligarh,Rice,3000,3100,3050,25-09-2024
91,Aligarh,Rice,3000,3100,3050,27-09-2024
92,Aligarh,Rice,3000,3100,3050,28-08-2024
93,Aligarh,Rice,3000,3100,3050,30-08-2024
94,Aligarh,Rice,3000,3100,3060,03-10-2024
95,Aligarh,Rice,3000,3100,3060,05-10-2024
96,Aligarh,Rice,3000,3100,3060,08-07-2024
97,Aligarh,Rice,3000,3100,3060,08-10-2024
98,Aligarh,Rice,3000,3100,3060,11-09-2024
99,Aligarh,Rice,3000,3100,3060,12-06-2024
100,Aligarh,Rice,3000,3100,3060,13-09-2024
101,Aligarh,Rice,3000,3100,3060,14-09-2024
102,Aligarh,Rice,3000,3100,3060,17-02-2024
103,Aligarh,Rice,3000,3100,3060,19-09-2024
104,Aligarh,Rice,3000,3100,3060,21-08-2024
105,Aligarh,Rice,3000,3100,3060,23-08-2024
106,Aligarh,Rice,3000,3100,3060,24-09-2024
107,Aligarh,Rice,3000,3100,3060,27-08-2024
108,Aligarh,Rice,3000,3100,3060,28-09-2024
109,Aligarh,Rice,3000,3100,3060,30-09-2024
110,Aligarh,Rice,3000,3120,3070,09-10-2024
111,Aligarh,Rice,3000,3120,3070,20-08-2024
112,Aligarh,Rice,3000,3150,3060,16-08-2024
113,Aligarh,Rice,3000,3150,3100,12-08-2024
114,Aligarh,Rice,3010,3050,3030,03-05-2024
115,Aligarh,Rice,3010,3050,3030,04-03-2024
116,Aligarh,Rice,3010,3050,3030,06-03-2024
117,Aligarh,Rice,3010,3050,3030,08-03-2024
118,Aligarh,Rice,3010,3050,3030,08-05-2024
119,Aligarh,Rice,3010,3050,3030,10-05-2024
120,Aligarh,Rice,3010,3050,3030,11-03-2024
121,Aligarh,Rice,3010,3050,3030,11-05-2024
122,Aligarh,Rice,3010,3050,3030,15-05-2024
123,Aligarh,Rice,3010,3050,3030,18-04-2024
124,Aligarh,Rice,3010,3050,3030,21-05-2024
125,Aligarh,Rice,3010,3050,3030,22-04-2024
126,Aligarh,Rice,3010,3050,3030,24-05-2024
