Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Alipurduar,Rice,3150,3250,3200,14-01-2024
2,Alipurduar,Rice,3550,3650,3600,25-06-2024
3,Alipurduar,Rice,3400,3500,3450,16-02-2024
4,Alipurduar,Rice,3410,3480,3450,28-03-2024
5,Alipurduar,Rice,3000,3100,3050,15-05-2024
6,Alipurduar,Rice,3400,3500,3450,15-05-2024
7,Alipurduar,Rice,3150,3250,3200,16-03-2024
8,Alipurduar,Rice,3100,3200,3150,10-01-2024
9,Alipurduar,Rice,3300,3400,3350,03-01-2024
10,Alipurduar,Rice,3450,3550,3500,10-01-2024
11,Alipurduar,Rice,3150,3220,3180,28-03-2024
12,Alipurduar,Rice,3150,3250,3200,16-02-2024
13,Alipurduar,Rice,3500,3600,3550,03-01-2024
14,Alipurduar,Rice,3250,3350,3300,25-06-2024
15,Alipurduar,Rice,3400,3500,3450,16-03-2024
16,Alipurduar,Rice,3450,3550,3500,14-01-2024
