Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ambedkarnagar,Rice,2100,2300,2200,21-12-2024
2,Ambedkarnagar,Rice,2600,2670,2630,03-01-2024
3,Ambedkarnagar,Rice,2600,2670,2635,02-01-2024
4,Ambedkarnagar,Rice,2600,2680,2625,01-01-2024
5,Ambedkarnagar,Rice,2600,2680,2630,04-01-2024
6,Ambedkarnagar,Rice,2600,2680,2635,05-01-2024
7,Ambedkarnagar,Rice,2600,2680,2640,06-01-2024
8,Ambedkarnagar,Rice,2600,2680,2640,09-01-2024
9,Ambedkarnagar,Rice,2600,2830,2800,16-03-2024
10,Ambedkarnagar,Rice,2620,2700,2650,16-01-2024
11,Ambedkarnagar,Rice,2620,2700,2660,18-01-2024
12,Ambedkarnagar,Rice,2620,2700,2670,10-01-2024
13,Ambedkarnagar,Rice,2620,2700,2670,15-01-2024
14,Ambedkarnagar,Rice,2620,2700,2670,19-01-2024
15,Ambedkarnagar,Rice,2620,2700,2670,20-01-2024
16,Ambedkarnagar,Rice,2620,2700,2670,23-01-2024
17,Ambedkarnagar,Rice,2630,2700,2670,11-01-2024
18,Ambedkarnagar,Rice,2630,2700,2670,17-01-2024
19,Ambedkarnagar,Rice,2640,2700,2680,24-01-2024
20,Ambedkarnagar,Rice,2640,2710,2680,27-01-2024
21,Ambedkarnagar,Rice,2640,2720,2680,25-01-2024
22,Ambedkarnagar,Rice,2640,2720,2690,31-01-2024
23,Ambedkarnagar,Rice,2640,2750,2700,02-02-2024
24,Ambedkarnagar,Rice,2640,2750,2720,15-02-2024
25,Ambedkarnagar,Rice,2650,2730,2690,30-01-2024
26,Ambedkarnagar,Rice,2650,2740,2700,27-02-2024
27,Ambedkarnagar,Rice,2650,2750,2700,03-02-2024
28,Ambedkarnagar,Rice,2660,2740,2700,12-02-2024
29,Ambedkarnagar,Rice,2670,2740,2710,14-02-2024
30,Ambedkarnagar,Rice,2670,2750,2710,20-02-2024
31,Ambedkarnagar,Rice,2670,2750,2720,22-02-2024
32,Ambedkarnagar,Rice,2670,2750,2740,07-02-2024
33,Ambedkarnagar,Rice,2680,2790,2730,08-02-2024
34,Ambedkarnagar,Rice,2700,2770,2730,13-02-2024
35,Ambedkarnagar,Rice,2700,2780,2728,01-02-2024
36,Ambedkarnagar,Rice,2700,2780,2730,13-01-2024
37,Ambedkarnagar,Rice,2700,2780,2730,19-02-2024
38,Ambedkarnagar,Rice,2700,2780,2740,04-03-2024
39,Ambedkarnagar,Rice,2700,2780,2740,17-02-2024
40,Ambedkarnagar,Rice,2700,2780,2740,21-02-2024
41,Ambedkarnagar,Rice,2700,2785,2775,19-03-2024
42,Ambedkarnagar,Rice,2700,2790,2740,05-02-2024
43,Ambedkarnagar,Rice,2700,2800,2750,28-02-2024
44,Ambedkarnagar,Rice,2700,2800,2750,29-02-2024
45,Ambedkarnagar,Rice,2700,2800,2785,13-03-2024
46,Ambedkarnagar,Rice,2700,2800,2785,14-03-2024
47,Ambedkarnagar,Rice,2700,2880,2840,30-03-2024
48,Ambedkarnagar,Rice,2720,2790,2750,05-03-2024
49,Ambedkarnagar,Rice,2720,2800,2770,02-03-2024
50,Ambedkarnagar,Rice,2720,2820,2760,01-03-2024
51,Ambedkarnagar,Rice,2730,2790,2765,06-03-2024
52,Ambedkarnagar,Rice,2740,2800,2770,07-03-2024
53,Ambedkarnagar,Rice,2740,2820,2770,01-04-2024
54,Ambedkarnagar,Rice,2740,2820,2780,18-03-2024
55,Ambedkarnagar,Rice,2780,2880,2800,21-03-2024
56,Ambedkarnagar,Rice,2800,2870,2860,28-03-2024
57,Ambedkarnagar,Rice,2800,2880,2840,03-04-2024
58,Ambedkarnagar,Rice,2800,2880,2860,27-03-2024
59,Ambedkarnagar,Rice,2800,2900,2870,07-12-2024
60,Ambedkarnagar,Rice,2800,2950,2860,05-12-2024
61,Ambedkarnagar,Rice,2800,2950,2870,04-12-2024
62,Ambedkarnagar,Rice,2800,2950,2880,06-12-2024
63,Ambedkarnagar,Rice,2800,2980,2880,12-12-2024
64,Ambedkarnagar,Rice,2820,2890,2850,04-04-2024
65,Ambedkarnagar,Rice,2820,2900,2850,02-04-2024
