Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bankura,Rice,FAQ,3250,3350,3300,02-05-2024
2,Bankura,Rice,FAQ,3250,3350,3300,08-02-2024
3,Bankura,Rice,FAQ,3500,3600,3550,16-12-2024
4,Bankura,Rice,FAQ,3100,3300,3200,06-01-2024
5,Bankura,Rice,FAQ,3100,3300,3200,09-01-2024
6,Bankura,Rice,FAQ,3550,3650,3600,13-11-2024
7,Bankura,Rice,FAQ,3350,3450,3400,22-06-2024
8,Bankura,Rice,FAQ,3500,3600,3550,26-12-2024
9,Bankura,Rice,FAQ,3500,3600,3550,11-09-2024
10,Bankura,Rice,FAQ,3100,3300,3200,16-01-2024
11,Bankura,Rice,FAQ,3250,3350,3300,05-02-2024
12,Bankura,Rice,FAQ,3250,3350,3300,27-02-2024
13,Bankura,Rice,FAQ,3300,3400,3350,08-03-2024
14,Bankura,Rice,FAQ,3500,3600,3550,25-12-2024
15,Bankura,Rice,FAQ,3500,3600,3550,27-09-2024
16,Bankura,Rice,FAQ,3250,3350,3300,02-03-2024
17,Bankura,Rice,FAQ,3250,3320,3300,26-04-2024
18,Bankura,Rice,FAQ,3500,3600,3550,15-10-2024
19,Bankura,Rice,FAQ,3350,3450,3400,04-07-2024
20,Bankura,Rice,FAQ,3400,3600,3500,01-08-2024
21,Bankura,Rice,FAQ,3450,3550,3500,29-11-2024
22,Bankura,Rice,FAQ,3250,3350,3300,19-03-2024
23,Bankura,Rice,FAQ,3250,3350,3300,03-02-2024
24,Bankura,Rice,FAQ,3400,3600,3500,23-08-2024
25,Bankura,Rice,FAQ,3500,3600,3550,06-09-2024
26,Bankura,Rice,FAQ,3550,3650,3600,05-11-2024
27,Bankura,Rice,FAQ,3300,3400,3350,17-03-2024
28,Bankura,Rice,FAQ,3450,3550,3500,27-11-2024
29,Bankura,Rice,FAQ,3200,3300,3250,22-05-2024
30,Bankura,Rice,FAQ,3500,3600,3550,30-12-2024
31,Bankura,Rice,FAQ,3500,3600,3550,27-12-2024
32,Bankura,Rice,FAQ,3500,3600,3550,12-12-2024
33,Bankura,Rice,FAQ,3350,3450,3400,06-07-2024
34,Bankura,Rice,FAQ,3500,3600,3550,10-09-2024
35,Bankura,Rice,FAQ,3350,3500,3400,26-07-2024
36,Bankura,Rice,FAQ,3450,3600,3550,31-08-2024
37,Bankura,Rice,FAQ,3250,3350,3300,06-05-2024
38,Bankura,Rice,FAQ,3350,3450,3400,16-07-2024
39,Bankura,Rice,FAQ,3400,3600,3500,29-07-2024
40,Bankura,Rice,FAQ,3550,3700,3650,16-11-2024
41,Bankura,Rice,FAQ,3500,3600,3550,15-12-2024
42,Bankura,Rice,FAQ,3250,3300,3270,03-04-2024
43,Bankura,Rice,FAQ,3550,3650,3600,11-11-2024
44,Bankura,Rice,FAQ,3500,3600,3550,21-12-2024
45,Bankura,Rice,FAQ,3300,3400,3350,12-03-2024
46,Bankura,Rice,FAQ,3350,3450,3400,19-07-2024
47,Bankura,Rice,FAQ,3550,3650,3600,21-11-2024
48,Bankura,Rice,FAQ,3250,3350,3300,05-04-2024
49,Bankura,Rice,FAQ,3500,3600,3550,28-09-2024
50,Bankura,Rice,FAQ,3200,3300,3250,31-05-2024
51,Bankura,Rice,FAQ,3350,3450,3400,17-06-2024
52,Bankura,Rice,FAQ,3550,3650,3600,04-11-2024
53,Bankura,Rice,FAQ,3100,3300,3200,11-01-2024
54,Bankura,Rice,FAQ,3250,3350,3300,27-04-2024
55,Bankura,Rice,FAQ,3300,3400,3350,07-06-2024
56,Bankura,Rice,FAQ,3500,3600,3550,16-10-2024
57,Bankura,Rice,FAQ,3250,3350,3300,06-02-2024
58,Bankura,Rice,FAQ,3350,3450,3400,11-07-2024
59,Bankura,Rice,FAQ,3100,3350,3200,04-01-2024
