Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhandara,Rice,3100,3300,3260,25-11-2024
2,Bhandara,Rice,3400,3400,3400,14-11-2024
3,Bhandara,Rice,3400,3400,3400,19-11-2024
4,Bhandara,Rice,3400,3400,3400,27-06-2024
5,Bhandara,Rice,3400,3900,3650,13-07-2024
6,Bhandara,Rice,3500,3500,3500,16-12-2024
7,Bhandara,Rice,3500,4400,4000,22-07-2024
8,Bhandara,Rice,3590,4500,4200,02-12-2024
9,Bhandara,Rice,3600,4400,4000,07-11-2024
10,Bhandara,Rice,3800,3800,3800,03-08-2024
11,Bhandara,Rice,3800,3800,3800,05-07-2024
12,Bhandara,Rice,3800,3800,3800,05-11-2024
13,Bhandara,Rice,3800,3800,3800,13-09-2024
14,Bhandara,Rice,3800,4000,3900,10-06-2024
15,Bhandara,Rice,3800,4300,4000,06-08-2024
16,Bhandara,Rice,3900,3900,3900,07-06-2024
17,Bhandara,Rice,3900,4200,4100,01-04-2024
18,Bhandara,Rice,4000,4000,4000,04-06-2024
19,Bhandara,Rice,4000,4000,4000,05-09-2024
20,Bhandara,Rice,4000,4000,4000,06-06-2024
21,Bhandara,Rice,4000,4000,4000,16-08-2024
22,Bhandara,Rice,4000,4000,4000,19-07-2024
23,Bhandara,Rice,4000,4000,4000,20-07-2024
24,Bhandara,Rice,4000,4000,4000,24-08-2024
25,Bhandara,Rice,4000,4000,4000,28-09-2024
26,Bhandara,Rice,4000,4000,4000,31-08-2024
27,Bhandara,Rice,4000,4010,4010,04-03-2024
28,Bhandara,Rice,4000,4050,4020,22-02-2024
29,Bhandara,Rice,4000,4100,4080,07-03-2024
30,Bhandara,Rice,4000,4200,4100,05-10-2024
31,Bhandara,Rice,4000,4200,4120,23-08-2024
32,Bhandara,Rice,4000,4200,4160,30-03-2024
33,Bhandara,Rice,4000,4300,4180,11-06-2024
34,Bhandara,Rice,4000,4300,4200,05-12-2024
35,Bhandara,Rice,4000,4300,4200,25-05-2024
36,Bhandara,Rice,4000,4300,4260,27-05-2024
37,Bhandara,Rice,4000,4300,4280,13-06-2024
38,Bhandara,Rice,4000,4400,4200,28-10-2024
39,Bhandara,Rice,4000,4400,4250,12-09-2024
40,Bhandara,Rice,4000,4400,4250,13-08-2024
41,Bhandara,Rice,4000,4500,4300,29-08-2024
42,Bhandara,Rice,4000,4600,4300,26-11-2024
43,Bhandara,Rice,4100,4100,4100,05-03-2024
44,Bhandara,Rice,4100,4100,4100,11-03-2024
45,Bhandara,Rice,4100,4100,4100,12-03-2024
46,Bhandara,Rice,4100,4100,4100,14-10-2024
47,Bhandara,Rice,4100,4200,4180,18-10-2024
48,Bhandara,Rice,4170,4170,4170,14-03-2024
49,Bhandara,Rice,4200,4200,4200,02-04-2024
50,Bhandara,Rice,4200,4200,4200,04-04-2024
51,Bhandara,Rice,4200,4200,4200,05-04-2024
52,Bhandara,Rice,4200,4200,4200,06-04-2024
53,Bhandara,Rice,4200,4200,4200,08-04-2024
54,Bhandara,Rice,4200,4200,4200,10-10-2024
55,Bhandara,Rice,4200,4200,4200,16-03-2024
56,Bhandara,Rice,4200,4200,4200,18-03-2024
