Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bharuch,Rice,3400,3800,3600,18-09-2024
2,Bharuch,Rice,3500,3900,3700,27-09-2024
3,Bharuch,Rice,3200,3600,3400,27-12-2024
4,Bharuch,Rice,3400,3800,3600,23-10-2024
5,Bharuch,Rice,3400,3800,3600,25-12-2024
6,Bharuch,Rice,3300,3700,3500,30-08-2024
7,Bharuch,Rice,3200,3600,3400,21-10-2024
8,Bharuch,Rice,3400,3800,3600,28-12-2024
9,Bharuch,Rice,3400,3800,3600,07-12-2024
10,Bharuch,Rice,3400,3800,3600,02-09-2024
11,Bharuch,Rice,3400,3800,3600,10-12-2024
12,Bharuch,Rice,3400,3800,3600,16-08-2024
13,Bharuch,Rice,3300,3700,3500,08-10-2024
14,Bharuch,Rice,3000,3600,3300,09-09-2024
15,Bharuch,Rice,3400,3800,3600,20-11-2024
16,Bharuch,Rice,3400,3800,3600,26-11-2024
17,Bharuch,Rice,3400,3800,3600,24-12-2024
18,Bharuch,Rice,3400,3800,3600,03-12-2024
19,Bharuch,Rice,3400,3800,3600,12-11-2024
20,Bharuch,Rice,3300,3700,3500,09-12-2024
21,Bharuch,Rice,3200,3600,3400,14-10-2024
22,Bharuch,Rice,3300,3700,3500,29-11-2024
23,Bharuch,Rice,3300,3700,3500,01-10-2024
24,Bharuch,Rice,3200,3600,3400,29-12-2024
25,Bharuch,Rice,3000,3600,3300,21-08-2024
26,Bharuch,Rice,3000,3600,3300,15-11-2024
27,Bharuch,Rice,3400,3800,3600,19-12-2024
28,Bharuch,Rice,3000,3600,3300,30-12-2024
29,Bharuch,Rice,3200,3800,3500,04-11-2024
30,Bharuch,Rice,3400,3800,3600,18-10-2024
31,Bharuch,Rice,3000,3600,3300,09-10-2024
32,Bharuch,Rice,3500,3900,3700,27-08-2024
33,Bharuch,Rice,3200,3600,3400,10-10-2024
34,Bharuch,Rice,3400,3800,3600,28-10-2024
35,Bharuch,Rice,3200,3600,3400,25-11-2024
36,Bharuch,Rice,3200,3600,3400,13-09-2024
37,Bharuch,Rice,3000,3600,3300,21-11-2024
38,Bharuch,Rice,3400,3800,3600,31-12-2024
39,Bharuch,Rice,3400,3800,3600,24-10-2024
40,Bharuch,Rice,3300,3900,3600,17-12-2024
41,Bharuch,Rice,3300,3700,3500,29-08-2024
42,Bharuch,Rice,3000,3600,3300,22-10-2024
43,Bharuch,Rice,3400,3800,3600,14-11-2024
44,Bharuch,Rice,3400,3800,3600,18-11-2024
45,Bharuch,Rice,3300,3700,3500,26-09-2024
46,Bharuch,Rice,3000,3600,3300,04-10-2024
47,Bharuch,Rice,3400,3800,3600,17-08-2024
48,Bharuch,Rice,3000,3600,3300,25-10-2024
49,Bharuch,Rice,3400,3800,3600,05-11-2024
50,Bharuch,Rice,3200,3600,3400,03-10-2024
51,Bharuch,Rice,3200,3600,3400,06-11-2024
52,Bharuch,Rice,3000,3600,3300,10-09-2024
53,Bharuch,Rice,3000,3600,3300,11-11-2024
54,Bharuch,Rice,3400,3800,3600,07-10-2024
55,Bharuch,Rice,3500,3700,3600,17-09-2024
56,Bharuch,Rice,3200,3600,3400,13-08-2024
57,Bharuch,Rice,3400,3800,3600,21-09-2024
58,Bharuch,Rice,3000,3600,3300,22-08-2024
