Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bidar,Rice,2900,3100,3000,26-06-2024
2,Bidar,Rice,5300,6300,5600,23-07-2024
3,Bidar,Rice,3000,3400,3200,14-12-2024
4,Bidar,Rice,2900,3400,3000,13-07-2024
5,Bidar,Rice,4000,6500,5500,14-10-2024
6,Bidar,Rice,4000,6300,5500,15-05-2024
7,Bidar,Rice,3000,3400,3200,19-11-2024
8,Bidar,Rice,5300,6300,5500,22-04-2024
9,Bidar,Rice,2500,3500,3000,27-03-2024
10,Bidar,Rice,2900,3100,3000,30-09-2024
11,Bidar,Rice,5000,6000,5400,29-01-2024
12,Bidar,Rice,2800,3200,3000,13-02-2024
13,Bidar,Rice,5300,6400,5600,18-10-2024
14,Bidar,Rice,5000,6200,5400,20-03-2024
15,Bidar,Rice,5600,6500,5800,10-12-2024
16,Bidar,Rice,2900,3100,3000,09-10-2024
17,Bidar,Rice,2500,3400,3000,23-02-2024
18,Bidar,Rice,5300,6300,5600,01-07-2024
19,Bidar,Rice,2800,4000,3300,22-10-2024
20,Bidar,Rice,2900,3100,3000,16-08-2024
21,Bidar,Rice,5000,6200,5400,13-03-2024
22,Bidar,Rice,5000,6100,5400,16-02-2024
23,Bidar,Rice,5300,6300,5600,01-08-2024
24,Bidar,Rice,2800,3200,3000,12-01-2024
25,Bidar,Rice,2900,3100,3000,20-07-2024
26,Bidar,Rice,5300,6300,5500,22-05-2024
27,Bidar,Rice,2900,3200,3000,24-05-2024
28,Bidar,Rice,2000,3400,3000,25-04-2024
29,Bidar,Rice,5600,6500,5800,16-11-2024
30,Bidar,Rice,2900,3100,3000,08-08-2024
31,Bidar,Rice,5700,6500,5800,19-12-2024
32,Bidar,Rice,5000,6200,5400,21-03-2024
33,Bidar,Rice,2900,3100,3000,20-06-2024
34,Bidar,Rice,2800,3100,3000,06-05-2024
35,Bidar,Rice,2000,3400,3000,26-04-2024
36,Bidar,Rice,2900,3100,3000,03-07-2024
37,Bidar,Rice,2000,4500,3800,23-10-2024
38,Bidar,Rice,2800,3200,3000,10-02-2024
39,Bidar,Rice,5000,6200,5500,13-01-2024
40,Bidar,Rice,2900,3100,3000,09-07-2024
41,Bidar,Rice,2800,3200,3000,13-03-2024
42,Bidar,Rice,3000,3300,3000,03-06-2024
43,Bidar,Rice,5300,6200,5500,15-04-2024
44,Bidar,Rice,5250,6500,5700,07-10-2024
45,Bidar,Rice,2900,3100,3000,26-07-2024
46,Bidar,Rice,2900,3100,3000,12-08-2024
47,Bidar,Rice,2700,3200,3000,13-01-2024
48,Bidar,Rice,5300,6400,5600,03-10-2024
49,Bidar,Rice,5300,6300,5600,19-06-2024
50,Bidar,Rice,3000,3300,3100,19-12-2024
51,Bidar,Rice,5300,6400,5600,05-10-2024
52,Bidar,Rice,2500,3500,3000,27-09-2024
53,Bidar,Rice,4200,4500,4400,12-06-2024
54,Bidar,Rice,2900,3100,3000,15-06-2024
55,Bidar,Rice,2900,3300,3000,06-12-2024
56,Bidar,Rice,2800,3300,3000,20-03-2024
57,Bidar,Rice,5600,6500,5800,20-11-2024
58,Bidar,Rice,2800,3200,3000,23-05-2024
59,Bidar,Rice,2800,3200,2900,28-06-2024
60,Bidar,Rice,2800,3200,3000,19-01-2024
61,Bidar,Rice,2900,3100,3000,29-07-2024
62,Bidar,Rice,5000,6200,5600,10-01-2024
63,Bidar,Rice,5400,6300,5600,26-07-2024
64,Bidar,Rice,4000,6300,5500,25-04-2024
65,Bidar,Rice,5300,6400,5600,10-10-2024
66,Bidar,Rice,2800,3200,3000,28-02-2024
67,Bidar,Rice,2900,3100,3000,22-06-2024
68,Bidar,Rice,5400,6300,5600,15-06-2024
69,Bidar,Rice,2800,3200,3000,26-02-2024
70,Bidar,Rice,2800,3200,3000,01-03-2024
71,Bidar,Rice,2900,3200,3000,20-05-2024
72,Bidar,Rice,5300,6400,5600,30-09-2024
73,Bidar,Rice,2500,3000,2800,13-05-2024
74,Bidar,Rice,2900,3200,3100,08-06-2024
75,Bidar,Rice,2900,3100,3000,16-10-2024
76,Bidar,Rice,5000,6100,5300,27-01-2024
77,Bidar,Rice,5000,6200,5500,17-01-2024
78,Bidar,Rice,2700,3200,3000,03-01-2024
79,Bidar,Rice,5200,6200,5500,14-08-2024
80,Bidar,Rice,2800,3300,3100,12-06-2024
81,Bidar,Rice,5700,6500,5800,07-12-2024
82,Bidar,Rice,4500,6600,5700,23-10-2024
83,Bidar,Rice,2900,3300,3100,05-12-2024
84,Bidar,Rice,2500,3500,3100,09-01-2024
85,Bidar,Rice,2700,3400,3000,21-02-2024
86,Bidar,Rice,4600,6600,5400,28-10-2024
87,Bidar,Rice,2800,3200,3000,22-03-2024
88,Bidar,Rice,5300,6300,5500,07-06-2024
89,Bidar,Rice,2700,3100,3000,06-01-2024
90,Bidar,Rice,5200,6200,5500,02-05-2024
91,Bidar,Rice,5300,6300,5900,05-06-2024
92,Bidar,Rice,2800,3200,3000,12-02-2024
93,Bidar,Rice,2700,3300,3100,17-02-2024
94,Bidar,Rice,2900,3200,3000,28-05-2024
95,Bidar,Rice,2900,3200,3000,16-04-2024
96,Bidar,Rice,3000,3400,3200,15-11-2024
97,Bidar,Rice,2000,3000,2500,20-08-2024
98,Bidar,Rice,2800,3200,3000,23-03-2024
99,Bidar,Rice,5600,6500,5800,19-11-2024
100,Bidar,Rice,2700,3100,3000,23-01-2024
101,Bidar,Rice,2800,3200,3050,07-08-2024
102,Bidar,Rice,5300,6300,5600,06-08-2024
103,Bidar,Rice,2900,3100,3000,24-06-2024
