Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,,,
1,Bolangir,Rice,3400,3500,3400,01-03-2024,,,
2,Bolangir,Rice,3400,3500,3400,02-01-2024,,,
3,Bolangir,Rice,3400,3500,3400,03-02-2024,,,
4,Bolangir,Rice,3400,3500,3400,04-01-2024,,,
5,Bolangir,Rice,3400,3500,3400,04-03-2024,,,
6,Bolangir,Rice,3400,3500,3400,05-04-2024,,,
7,Bolangir,Rice,3400,3500,3400,05-01-2024,,,
8,Bolangir,Rice,3400,3500,3400,06-01-2024,,,
9,Bolangir,Rice,3400,3500,3400,07-02-2024,,,
10,Bolangir,Rice,3400,3500,3400,08-01-2024,,,
11,Bolangir,Rice,3400,3500,3400,10-01-2024,,,
12,Bolangir,Rice,3400,3500,3400,13-03-2024,,,
13,Bolangir,Rice,3400,3500,3400,17-02-2024,,,
14,Bolangir,Rice,3400,3500,3400,18-01-2024,,,
15,Bolangir,Rice,3400,3500,3400,18-03-2024,,,
16,Bolangir,Rice,3400,3500,3400,19-01-2024,,,
17,Bolangir,Rice,3400,3500,3400,20-02-2024,,,
18,Bolangir,Rice,3400,3500,3400,20-01-2024,,,
19,Bolangir,Rice,3400,3500,3400,20-03-2024,,,
20,Bolangir,Rice,3400,3500,3400,21-03-2024,,,
21,Bolangir,Rice,3400,3500,3400,22-02-2024,,,
22,Bolangir,Rice,3400,3500,3400,23-02-2024,,,
23,Bolangir,Rice,3400,3500,3400,24-01-2024,,,
24,Bolangir,Rice,3400,3500,3400,25-01-2024,,,
25,Bolangir,Rice,3400,3500,3400,27-03-2024,,,
26,Bolangir,Rice,3400,3500,3400,30-01-2024,,,
27,Bolangir,Rice,3400,3500,3400,30-03-2024,,,
