Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Davangere,Rice,2000,2000,2000,25-07-2024
2,Davangere,Rice,2000,2000,2000,27-08-2024
3,Davangere,Rice,2000,2000,2000,31-08-2024
4,Davangere,Rice,2000,2900,2450,23-07-2024
5,Davangere,Rice,2100,2650,2375,04-09-2024
6,Davangere,Rice,2100,3370,2735,25-11-2024
7,Davangere,Rice,2130,2130,2130,30-12-2024
8,Davangere,Rice,2130,2500,2315,07-10-2024
9,Davangere,Rice,2130,2500,2315,14-10-2024
10,Davangere,Rice,2130,2500,2315,19-10-2024
11,Davangere,Rice,2140,2140,2140,13-12-2024
12,Davangere,Rice,2150,2150,2150,20-12-2024
13,Davangere,Rice,2150,2550,2350,09-12-2024
14,Davangere,Rice,2150,2550,2350,11-11-2024
15,Davangere,Rice,2170,2575,2375,04-11-2024
16,Davangere,Rice,2200,2200,2200,05-07-2024
17,Davangere,Rice,2200,2200,2200,08-07-2024
18,Davangere,Rice,2200,2830,2515,03-10-2024
19,Davangere,Rice,2260,2260,2260,19-07-2024
20,Davangere,Rice,2260,2260,2260,24-07-2024
21,Davangere,Rice,2350,2350,2350,12-11-2024
22,Davangere,Rice,2450,2450,2450,11-07-2024
23,Davangere,Rice,2450,2450,2450,13-11-2024
24,Davangere,Rice,2450,2450,2450,16-07-2024
25,Davangere,Rice,2450,2500,2475,19-11-2024
26,Davangere,Rice,2500,2500,2500,01-07-2024
27,Davangere,Rice,2500,2500,2500,12-07-2024
28,Davangere,Rice,2500,2500,2500,15-11-2024
29,Davangere,Rice,2500,2500,2500,18-07-2024
30,Davangere,Rice,2500,2500,2500,24-06-2024
31,Davangere,Rice,2500,2500,2500,24-10-2024
32,Davangere,Rice,2500,2500,2500,25-06-2024
33,Davangere,Rice,2500,2500,2500,26-06-2024
34,Davangere,Rice,2500,2500,2500,28-06-2024
35,Davangere,Rice,2500,2500,2500,30-10-2024
36,Davangere,Rice,2500,2500,2500,31-12-2024
37,Davangere,Rice,2500,2800,2630,02-07-2024
38,Davangere,Rice,2500,2900,2700,15-07-2024
39,Davangere,Rice,2510,2510,2510,04-10-2024
40,Davangere,Rice,2513,2513,2513,02-12-2024
41,Davangere,Rice,2530,2530,2530,28-10-2024
42,Davangere,Rice,2550,2550,2550,04-12-2024
43,Davangere,Rice,2580,2580,2580,05-08-2024
44,Davangere,Rice,2600,2600,2600,12-08-2024
45,Davangere,Rice,2600,2600,2600,18-12-2024
46,Davangere,Rice,2650,2650,2650,30-07-2024
47,Davangere,Rice,2670,2670,2670,10-09-2024
48,Davangere,Rice,2680,2680,2680,17-09-2024
49,Davangere,Rice,2680,2680,2680,19-08-2024
50,Davangere,Rice,2750,2750,2750,21-09-2024
51,Davangere,Rice,3300,3300,3300,29-07-2024
52,Davangere,Rice,3500,3500,3500,29-06-2024
53,Davangere,Rice,2000,5675,4210,27-08-2024
54,Davangere,Rice,2026,6230,4470,10-10-2024
55,Davangere,Rice,2300,4250,3275,01-10-2024
56,Davangere,Rice,2500,5153,3827,16-07-2024
57,Davangere,Rice,2600,2600,2600,01-07-2024
58,Davangere,Rice,2600,2600,2600,12-07-2024
59,Davangere,Rice,2600,2600,2600,26-06-2024
60,Davangere,Rice,2600,2600,2600,27-06-2024
61,Davangere,Rice,2600,2600,2600,28-06-2024
62,Davangere,Rice,2600,2600,2600,29-06-2024
63,Davangere,Rice,2600,3275,2937,25-06-2024
64,Davangere,Rice,2600,3300,2950,24-06-2024
65,Davangere,Rice,2600,3300,3000,21-06-2024
66,Davangere,Rice,2600,3600,3100,15-07-2024
67,Davangere,Rice,2650,2650,2650,11-07-2024
68,Davangere,Rice,2700,2700,2700,03-07-2024
69,Davangere,Rice,2700,2700,2700,19-07-2024
70,Davangere,Rice,2700,2700,2700,22-07-2024
71,Davangere,Rice,2700,2700,2700,23-07-2024
72,Davangere,Rice,2700,2700,2700,26-07-2024
73,Davangere,Rice,2700,3500,3100,18-07-2024
74,Davangere,Rice,2700,5000,3850,24-07-2024
75,Davangere,Rice,2750,6990,4870,19-11-2024
76,Davangere,Rice,2800,2800,2800,27-09-2024
77,Davangere,Rice,2800,2800,2800,30-07-2024
