Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hassan,Rice,5955,5955,5955,28-08-2024
2,Hassan,Rice,2900,2900,2900,01-06-2024
3,Hassan,Rice,4032,4032,4032,16-03-2024
4,Hassan,Rice,4808,4808,4808,28-11-2024
5,Hassan,Rice,5000,5000,5000,03-09-2024
6,Hassan,Rice,5490,5490,5490,27-11-2024
7,Hassan,Rice,5550,5550,5550,18-01-2024
8,Hassan,Rice,5955,5955,5955,28-08-2024
9,Hassan,Rice,5990,5990,5990,02-02-2024
10,Hassan,Rice,6020,6020,6020,17-08-2024
11,Hassan,Rice,6102,6102,6102,20-09-2024
12,Hassan,Rice,6540,6540,6540,05-09-2024
