Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jharsuguda,Rice,3500,4000,4000,07-05-2024
2,Jharsuguda,Rice,3500,4000,4000,10-04-2024
3,Jharsuguda,Rice,3500,4000,4000,10-05-2024
4,Jharsuguda,Rice,3500,4000,4000,12-04-2024
5,Jharsuguda,Rice,3500,4000,4000,17-05-2024
6,Jharsuguda,Rice,3500,4000,4000,19-04-2024
7,Jharsuguda,Rice,3500,4000,4000,26-04-2024
8,Jharsuguda,Rice,3500,4000,4000,26-05-2024
9,Jharsuguda,Rice,3800,4500,4000,09-07-2024
10,Jharsuguda,Rice,4000,4000,4000,01-05-2024
11,Jharsuguda,Rice,4000,4000,4000,02-06-2024
12,Jharsuguda,Rice,4000,4000,4000,03-07-2024
13,Jharsuguda,Rice,4000,4000,4000,03-05-2024
14,Jharsuguda,Rice,4000,4000,4000,04-08-2024
15,Jharsuguda,Rice,4000,4000,4000,05-05-2024
16,Jharsuguda,Rice,4000,4000,4000,07-08-2024
17,Jharsuguda,Rice,4000,4000,4000,07-12-2024
18,Jharsuguda,Rice,4000,4000,4000,07-07-2024
19,Jharsuguda,Rice,4000,4000,4000,08-05-2024
20,Jharsuguda,Rice,4000,4000,4000,09-09-2024
21,Jharsuguda,Rice,4000,4000,4000,10-08-2024
22,Jharsuguda,Rice,4000,4000,4000,12-05-2024
23,Jharsuguda,Rice,4000,4000,4000,13-05-2024
24,Jharsuguda,Rice,4000,4000,4000,13-11-2024
25,Jharsuguda,Rice,4000,4000,4000,15-05-2024
26,Jharsuguda,Rice,4000,4000,4000,18-05-2024
27,Jharsuguda,Rice,4000,4000,4000,19-07-2024
28,Jharsuguda,Rice,4000,4000,4000,19-05-2024
29,Jharsuguda,Rice,4000,4000,4000,21-10-2024
30,Jharsuguda,Rice,4000,4000,4000,22-04-2024
31,Jharsuguda,Rice,4000,4000,4000,22-05-2024
32,Jharsuguda,Rice,4000,4000,4000,24-04-2024
33,Jharsuguda,Rice,4000,4000,4000,26-07-2024
34,Jharsuguda,Rice,4000,4000,4000,28-04-2024
35,Jharsuguda,Rice,4000,4000,4000,28-05-2024
36,Jharsuguda,Rice,4000,4000,4000,29-05-2024
37,Jharsuguda,Rice,4000,4000,4000,30-04-2024
38,Jharsuguda,Rice,4000,4500,4000,05-04-2024
39,Jharsuguda,Rice,4000,4500,4000,09-04-2024
40,Jharsuguda,Rice,4000,4500,4000,13-08-2024
41,Jharsuguda,Rice,4000,4500,4000,19-11-2024
42,Jharsuguda,Rice,4000,4500,4000,20-11-2024
43,Jharsuguda,Rice,4000,4500,4000,23-08-2024
44,Jharsuguda,Rice,4000,4500,4000,27-11-2024
45,Jharsuguda,Rice,4000,4500,4000,29-11-2024
46,Jharsuguda,Rice,4000,4500,4500,03-12-2024
47,Jharsuguda,Rice,4000,4500,4500,04-12-2024
48,Jharsuguda,Rice,4000,4500,4500,26-11-2024
49,Jharsuguda,Rice,4000,4500,4500,27-08-2024
50,Jharsuguda,Rice,4000,5000,4000,06-08-2024
51,Jharsuguda,Rice,4000,5000,4000,15-10-2024
52,Jharsuguda,Rice,4000,5000,4000,15-09-2024
53,Jharsuguda,Rice,4000,5000,4000,17-07-2024
54,Jharsuguda,Rice,4000,5000,4000,18-11-2024
55,Jharsuguda,Rice,4000,5000,4000,20-08-2024
56,Jharsuguda,Rice,4000,5000,4000,21-07-2024
57,Jharsuguda,Rice,4000,5000,4000,22-11-2024
58,Jharsuguda,Rice,4000,5000,4000,24-11-2024
59,Jharsuguda,Rice,4000,5000,4000,27-10-2024
60,Jharsuguda,Rice,4000,5000,4000,28-07-2024
61,Jharsuguda,Rice,4000,5000,4500,02-08-2024
62,Jharsuguda,Rice,4000,5000,4500,05-07-2024
63,Jharsuguda,Rice,4000,5000,4500,06-09-2024
64,Jharsuguda,Rice,4000,5000,4500,09-10-2024
65,Jharsuguda,Rice,4000,5000,4500,10-09-2024
66,Jharsuguda,Rice,4000,5000,4500,11-08-2024
67,Jharsuguda,Rice,4000,5000,4500,11-10-2024
68,Jharsuguda,Rice,4000,5000,4500,11-09-2024
69,Jharsuguda,Rice,4000,5000,4500,12-07-2024
70,Jharsuguda,Rice,4000,5000,4500,12-11-2024
71,Jharsuguda,Rice,4000,5000,4500,13-09-2024
72,Jharsuguda,Rice,4000,5000,4500,14-08-2024
73,Jharsuguda,Rice,4000,5000,4500,18-08-2024
74,Jharsuguda,Rice,4000,5000,4500,20-10-2024
75,Jharsuguda,Rice,4000,5000,4500,20-09-2024
76,Jharsuguda,Rice,4000,5000,4500,23-04-2024
77,Jharsuguda,Rice,4000,5000,4500,23-07-2024
78,Jharsuguda,Rice,4000,5000,4500,24-07-2024
79,Jharsuguda,Rice,4000,5000,4500,25-08-2024
80,Jharsuguda,Rice,4000,5000,4500,28-08-2024
81,Jharsuguda,Rice,4000,5000,4500,31-07-2024
82,Jharsuguda,Rice,4000,5000,5000,01-10-2024
83,Jharsuguda,Rice,4000,5000,5000,06-11-2024
84,Jharsuguda,Rice,4000,5000,5000,07-10-2024
85,Jharsuguda,Rice,4000,5000,5000,08-10-2024
86,Jharsuguda,Rice,4000,5000,5000,08-09-2024
87,Jharsuguda,Rice,4000,5000,5000,11-11-2024
88,Jharsuguda,Rice,4000,5000,5000,25-09-2024
89,Jharsuguda,Rice,4000,5000,5000,30-07-2024
90,Jharsuguda,Rice,4500,4500,4500,06-12-2024
91,Jharsuguda,Rice,4500,5000,4500,16-10-2024
92,Jharsuguda,Rice,4500,5000,4500,29-09-2024
93,Jharsuguda,Rice,4500,5000,4500,30-10-2024
94,Jharsuguda,Rice,5000,5000,5000,01-11-2024
