Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koppal,Rice,1800,1800,1800,25-01-2024
2,Koppal,Rice,1850,1850,1850,12-12-2024
3,Koppal,Rice,1900,2550,2300,09-12-2024
4,Koppal,Rice,2080,2570,2350,29-04-2024
5,Koppal,Rice,2100,2100,2100,05-03-2024
6,Koppal,Rice,2100,2910,2890,15-10-2024
7,Koppal,Rice,2150,2220,2190,15-05-2024
8,Koppal,Rice,2150,2750,2220,31-05-2024
9,Koppal,Rice,2150,2820,2200,22-05-2024
10,Koppal,Rice,2200,2200,2200,16-02-2024
11,Koppal,Rice,2200,2460,2460,07-06-2024
12,Koppal,Rice,2200,2550,2350,24-06-2024
13,Koppal,Rice,2200,2600,2500,07-02-2024
14,Koppal,Rice,2200,2890,2625,30-04-2024
15,Koppal,Rice,2200,2900,2400,28-05-2024
16,Koppal,Rice,2200,2900,2570,15-04-2024
17,Koppal,Rice,2225,2250,2230,05-04-2024
18,Koppal,Rice,2300,2450,2400,02-07-2024
19,Koppal,Rice,2300,2630,2500,23-05-2024
20,Koppal,Rice,2330,2720,2700,26-11-2024
21,Koppal,Rice,2350,2350,2350,04-06-2024
22,Koppal,Rice,2350,2520,2425,27-06-2024
23,Koppal,Rice,2350,2600,2400,16-12-2024
24,Koppal,Rice,2350,2900,2370,27-09-2024
25,Koppal,Rice,2370,2540,2465,19-09-2024
26,Koppal,Rice,2380,2380,2380,02-08-2024
27,Koppal,Rice,2400,2400,2400,06-06-2024
28,Koppal,Rice,2400,2400,2400,16-01-2024
29,Koppal,Rice,2400,2400,2400,18-03-2024
30,Koppal,Rice,2400,2400,2400,28-11-2024
31,Koppal,Rice,2400,2400,2400,30-05-2024
32,Koppal,Rice,2400,2431,2415,10-06-2024
33,Koppal,Rice,2400,2450,2400,19-06-2024
34,Koppal,Rice,2400,2600,2500,05-10-2024
35,Koppal,Rice,2400,2650,2400,19-11-2024
36,Koppal,Rice,2400,2666,2610,20-06-2024
37,Koppal,Rice,2400,2900,2550,02-05-2024
38,Koppal,Rice,2400,3070,3000,21-12-2024
39,Koppal,Rice,2400,3110,2860,30-12-2024
40,Koppal,Rice,2400,3250,3030,19-12-2024
41,Koppal,Rice,2420,3100,3070,01-01-2025
42,Koppal,Rice,2450,2460,2460,01-01-2024
43,Koppal,Rice,2450,2520,2475,06-12-2024
44,Koppal,Rice,2450,2620,2503,12-06-2024
45,Koppal,Rice,2450,2730,2730,01-07-2024
46,Koppal,Rice,2450,3200,3010,13-12-2024
47,Koppal,Rice,2475,2700,2475,17-08-2024
48,Koppal,Rice,2480,2620,2590,28-06-2024
49,Koppal,Rice,2480,2710,2480,05-12-2024
50,Koppal,Rice,2500,2500,2500,04-09-2024
51,Koppal,Rice,2500,2500,2500,06-07-2024
52,Koppal,Rice,2500,2500,2500,23-04-2024
53,Koppal,Rice,2500,2500,2500,26-04-2024
54,Koppal,Rice,2500,2500,2500,26-08-2024
55,Koppal,Rice,2500,2520,2500,04-07-2024
56,Koppal,Rice,2500,2525,2521,03-05-2024
57,Koppal,Rice,2500,2540,2520,03-09-2024
58,Koppal,Rice,2500,2600,2600,03-04-2024
59,Koppal,Rice,2500,2610,2600,10-07-2024
60,Koppal,Rice,2500,2700,2605,07-10-2024
61,Koppal,Rice,2500,2800,2750,27-05-2024
62,Koppal,Rice,2500,3200,3100,17-12-2024
63,Koppal,Rice,2510,2510,2510,31-12-2024
64,Koppal,Rice,2510,2530,2530,13-05-2024
65,Koppal,Rice,2510,2700,2510,08-08-2024
66,Koppal,Rice,2515,2790,2790,26-12-2024
67,Koppal,Rice,2530,2530,2530,10-12-2024
68,Koppal,Rice,2530,2590,2590,01-04-2024
69,Koppal,Rice,2550,2550,2550,17-05-2024
70,Koppal,Rice,2550,2710,2690,22-07-2024
71,Koppal,Rice,2550,2800,2750,29-05-2024
72,Koppal,Rice,2550,2850,2850,03-12-2024
73,Koppal,Rice,2551,2700,2650,19-02-2024
74,Koppal,Rice,2551,2781,2641,16-11-2024
75,Koppal,Rice,2570,2570,2570,21-03-2024
76,Koppal,Rice,2570,2570,2570,22-04-2024
77,Koppal,Rice,2570,2570,2570,30-03-2024
78,Koppal,Rice,2570,2590,2570,24-04-2024
79,Koppal,Rice,2570,2590,2590,25-03-2024
80,Koppal,Rice,2570,2800,2690,18-04-2024
81,Koppal,Rice,2580,2580,2580,07-12-2024
82,Koppal,Rice,2580,2580,2580,20-08-2024
83,Koppal,Rice,2580,2600,2590,18-05-2024
84,Koppal,Rice,2590,2700,2690,26-07-2024
85,Koppal,Rice,2600,2600,2600,19-04-2024
86,Koppal,Rice,2600,2600,2600,20-03-2024
87,Koppal,Rice,2600,2600,2600,22-03-2024
88,Koppal,Rice,2600,2600,2600,27-02-2024
89,Koppal,Rice,2600,2610,2605,21-05-2024
90,Koppal,Rice,2625,2643,2640,09-08-2024
91,Koppal,Rice,2630,2735,2700,20-04-2024
92,Koppal,Rice,2635,2710,2700,20-12-2024
93,Koppal,Rice,2650,2650,2650,03-10-2024
94,Koppal,Rice,2650,2650,2650,18-10-2024
95,Koppal,Rice,2650,2650,2650,30-10-2024
96,Koppal,Rice,2650,2700,2650,06-05-2024
97,Koppal,Rice,2650,2720,2710,20-07-2024
98,Koppal,Rice,2651,3000,2850,30-09-2024
99,Koppal,Rice,2680,2680,2680,06-09-2024
100,Koppal,Rice,2680,2830,2710,29-07-2024
101,Koppal,Rice,2690,2730,2720,12-09-2024
102,Koppal,Rice,2690,2735,2700,14-11-2024
103,Koppal,Rice,2700,2700,2700,13-02-2024
104,Koppal,Rice,2700,2700,2700,28-10-2024
105,Koppal,Rice,2700,2700,2700,29-10-2024
106,Koppal,Rice,2700,2710,2705,25-04-2024
107,Koppal,Rice,2700,2710,2705,25-07-2024
108,Koppal,Rice,2720,2720,2720,05-08-2024
109,Koppal,Rice,2740,2740,2740,04-05-2024
110,Koppal,Rice,2748,2752,2752,18-09-2024
111,Koppal,Rice,2750,2790,2780,22-10-2024
112,Koppal,Rice,2790,2820,2800,24-05-2024
113,Koppal,Rice,2800,2820,2810,21-08-2024
114,Koppal,Rice,2830,2890,2840,21-09-2024
115,Koppal,Rice,2835,2850,2840,18-07-2024
116,Koppal,Rice,2845,2900,2850,30-07-2024
117,Koppal,Rice,2850,2925,2900,04-11-2024
118,Koppal,Rice,2850,2930,2890,07-11-2024
119,Koppal,Rice,2890,3010,3000,31-01-2024
120,Koppal,Rice,2945,2970,2955,25-10-2024
121,Koppal,Rice,2950,2950,2950,02-04-2024
122,Koppal,Rice,2950,2950,2950,29-01-2024
123,Koppal,Rice,3450,3500,3450,27-03-2024
124,Koppal,Rice,400,4000,4000,21-02-2024
125,Koppal,Rice,2400,2630,2500,01-01-2024
126,Koppal,Rice,2400,4380,2700,25-03-2024
127,Koppal,Rice,2420,2990,2910,28-10-2024
128,Koppal,Rice,2430,3050,2950,04-11-2024
129,Koppal,Rice,2500,3420,2900,23-07-2024
130,Koppal,Rice,2501,2580,2575,01-06-2024
131,Koppal,Rice,2525,4400,2860,21-06-2024
132,Koppal,Rice,2550,2700,2600,15-04-2024
133,Koppal,Rice,2550,3010,2975,31-05-2024
134,Koppal,Rice,2550,3020,2620,05-06-2024
135,Koppal,Rice,2550,4772,3840,26-06-2024
136,Koppal,Rice,2555,4875,2900,24-06-2024
137,Koppal,Rice,2565,4500,3420,21-05-2024
138,Koppal,Rice,2600,3000,2980,30-05-2024
139,Koppal,Rice,2600,3410,3400,02-12-2024
140,Koppal,Rice,2600,4300,3010,03-06-2024
141,Koppal,Rice,2620,2650,2640,13-06-2024
142,Koppal,Rice,2620,4400,2840,12-06-2024
143,Koppal,Rice,2620,4650,2640,15-06-2024
144,Koppal,Rice,2620,4705,2980,10-06-2024
145,Koppal,Rice,2640,2650,2650,21-10-2024
146,Koppal,Rice,2640,3785,3480,25-06-2024
147,Koppal,Rice,2640,4400,3020,27-05-2024
148,Koppal,Rice,2650,2660,2650,07-10-2024
149,Koppal,Rice,2650,2660,2660,05-07-2024
150,Koppal,Rice,2650,2660,2660,15-10-2024
151,Koppal,Rice,2650,2720,2700,08-04-2024
152,Koppal,Rice,2650,3400,2990,14-10-2024
153,Koppal,Rice,2650,4500,3000,18-06-2024
154,Koppal,Rice,2660,2780,2725,07-08-2024
155,Koppal,Rice,2660,2940,2890,16-08-2024
156,Koppal,Rice,2680,2700,2690,04-04-2024
157,Koppal,Rice,2680,2700,2690,29-06-2024
158,Koppal,Rice,2690,2700,2700,05-11-2024
159,Koppal,Rice,2690,2870,2800,15-07-2024
160,Koppal,Rice,2690,2910,2700,08-07-2024
161,Koppal,Rice,2690,3960,2930,09-07-2024
162,Koppal,Rice,2700,2710,2705,10-09-2024
163,Koppal,Rice,2700,2740,2730,09-09-2024
164,Koppal,Rice,2700,2880,2760,29-04-2024
165,Koppal,Rice,2700,3840,3365,01-10-2024
166,Koppal,Rice,2700,4100,2710,24-05-2024
167,Koppal,Rice,2700,4350,2900,22-07-2024
168,Koppal,Rice,2700,4370,2710,04-07-2024
169,Koppal,Rice,2700,4696,3840,01-07-2024
170,Koppal,Rice,2701,2940,2910,17-09-2024
171,Koppal,Rice,2705,4300,3040,26-08-2024
172,Koppal,Rice,2710,2710,2710,12-11-2024
173,Koppal,Rice,2710,2730,2715,03-08-2024
174,Koppal,Rice,2740,2760,2755,20-08-2024
175,Koppal,Rice,2740,4000,2760,02-09-2024
176,Koppal,Rice,2750,2940,2920,03-09-2024
177,Koppal,Rice,2750,4600,2800,20-04-2024
178,Koppal,Rice,2760,2935,2800,11-07-2024
179,Koppal,Rice,2770,4700,4220,14-08-2024
180,Koppal,Rice,2800,3000,2900,21-03-2024
181,Koppal,Rice,2821,3040,2951,24-09-2024
182,Koppal,Rice,2825,2965,2890,20-09-2024
183,Koppal,Rice,2840,3580,3000,26-11-2024
184,Koppal,Rice,2841,3071,3030,13-09-2024
185,Koppal,Rice,2850,2850,2850,20-11-2024
186,Koppal,Rice,2850,2860,2860,20-07-2024
187,Koppal,Rice,2850,2890,2870,11-06-2024
188,Koppal,Rice,2850,2960,2850,10-10-2024
189,Koppal,Rice,2850,2980,2940,30-10-2024
190,Koppal,Rice,2850,3040,2990,24-10-2024
191,Koppal,Rice,2880,2890,2890,19-07-2024
192,Koppal,Rice,2880,3075,2970,19-09-2024
193,Koppal,Rice,2890,2999,2930,29-10-2024
194,Koppal,Rice,2900,2950,2930,23-08-2024
195,Koppal,Rice,2900,2950,2950,08-11-2024
196,Koppal,Rice,2900,2970,2940,23-09-2024
197,Koppal,Rice,2900,3840,2940,28-08-2024
198,Koppal,Rice,2900,3885,3000,20-03-2024
199,Koppal,Rice,2910,4300,2930,06-09-2024
200,Koppal,Rice,2930,4670,2970,11-11-2024
201,Koppal,Rice,2961,2985,2980,25-10-2024
202,Koppal,Rice,2980,3020,3010,28-05-2024
203,Koppal,Rice,2980,3840,3600,16-12-2024
204,Koppal,Rice,3000,3450,3350,08-10-2024
205,Koppal,Rice,3000,4500,3810,26-07-2024
206,Koppal,Rice,3010,3770,3350,30-12-2024
207,Koppal,Rice,3020,3020,3020,17-12-2024
208,Koppal,Rice,3020,3030,3020,14-11-2024
209,Koppal,Rice,3050,3370,3220,30-09-2024
210,Koppal,Rice,3120,4500,3400,29-07-2024
211,Koppal,Rice,3180,3225,3200,18-10-2024
212,Koppal,Rice,3300,3480,3430,13-11-2024
213,Koppal,Rice,3333,3333,3333,02-02-2024
214,Koppal,Rice,3370,3410,3390,24-07-2024
215,Koppal,Rice,3370,3425,3380,01-08-2024
216,Koppal,Rice,3380,3400,3390,13-08-2024
217,Koppal,Rice,3380,3410,3400,06-08-2024
218,Koppal,Rice,3380,3410,3400,09-08-2024
219,Koppal,Rice,3380,3840,3400,02-08-2024
220,Koppal,Rice,3380,4060,3400,05-08-2024
221,Koppal,Rice,3390,3420,3400,16-05-2024
222,Koppal,Rice,3390,3450,3425,02-05-2024
223,Koppal,Rice,3400,3430,3420,15-05-2024
224,Koppal,Rice,3400,4500,3420,13-05-2024
225,Koppal,Rice,3410,3430,3420,20-05-2024
226,Koppal,Rice,3410,3450,3430,17-05-2024
227,Koppal,Rice,3420,3430,3425,09-05-2024
228,Koppal,Rice,3450,3450,3450,10-12-2024
229,Koppal,Rice,3450,4825,3726,02-07-2024
230,Koppal,Rice,3450,4900,3620,13-12-2024
231,Koppal,Rice,3500,4800,4300,16-01-2024
232,Koppal,Rice,3540,3560,3550,26-12-2024
233,Koppal,Rice,3550,3700,3650,16-04-2024
234,Koppal,Rice,3550,3770,3550,06-06-2024
235,Koppal,Rice,3565,3840,3770,29-05-2024
236,Koppal,Rice,3580,4500,3580,23-12-2024
237,Koppal,Rice,3600,3600,3600,12-12-2024
238,Koppal,Rice,3600,4810,4730,06-12-2024
239,Koppal,Rice,3600,4915,4695,07-12-2024
240,Koppal,Rice,3700,3700,3700,05-12-2024
241,Koppal,Rice,3750,3800,3750,26-02-2024
242,Koppal,Rice,3810,4300,3980,16-07-2024
243,Koppal,Rice,3840,3840,3840,19-12-2024
244,Koppal,Rice,3840,4290,4230,18-12-2024
245,Koppal,Rice,3900,3900,3900,28-03-2024
246,Koppal,Rice,4000,5131,5131,12-02-2024
