Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Lucknow,Rice,2770,2870,2820,23-02-2024
2,Lucknow,Rice,2770,2870,2825,29-02-2024
3,Lucknow,Rice,2950,3080,3020,23-03-2024
4,Lucknow,Rice,2950,3080,3030,02-04-2024
5,Lucknow,Rice,2970,3070,3020,24-05-2024
6,Lucknow,Rice,2980,3090,3040,03-06-2024
7,Lucknow,Rice,2980,3090,3040,25-05-2024
8,Lucknow,Rice,3030,3130,3080,21-06-2024
9,Lucknow,Rice,3050,3150,3100,08-04-2024
10,Lucknow,Rice,3110,3210,3160,15-07-2024
11,Lucknow,Rice,3130,3230,3180,26-11-2024
12,Lucknow,Rice,3150,3220,3180,20-07-2024
13,Lucknow,Rice,3150,3220,3180,22-07-2024
14,Lucknow,Rice,3150,3250,3200,05-12-2024
15,Lucknow,Rice,3150,3250,3200,22-11-2024
16,Lucknow,Rice,3170,3270,3220,09-12-2024
17,Lucknow,Rice,3170,3270,3220,10-12-2024
18,Lucknow,Rice,3180,3280,3230,01-08-2024
19,Lucknow,Rice,3230,3330,3280,15-11-2024
20,Lucknow,Rice,3250,3350,3300,30-09-2024
21,Lucknow,Rice,2700,2815,2765,23-01-2024
22,Lucknow,Rice,2700,2815,2765,27-01-2024
23,Lucknow,Rice,2770,2870,2825,27-02-2024
24,Lucknow,Rice,2770,2870,2825,28-02-2024
25,Lucknow,Rice,2980,3090,3040,06-06-2024
26,Lucknow,Rice,3000,3100,3050,06-05-2024
27,Lucknow,Rice,3000,3110,3060,15-05-2024
28,Lucknow,Rice,3050,3150,3100,11-04-2024
29,Lucknow,Rice,3050,3150,3100,18-04-2024
30,Lucknow,Rice,3150,3250,3200,26-07-2024
31,Lucknow,Rice,3200,3300,3250,02-09-2024
32,Lucknow,Rice,3200,3300,3250,28-08-2024
33,Lucknow,Rice,3210,3310,3260,04-09-2024
34,Lucknow,Rice,3230,3330,3280,16-09-2024
35,Lucknow,Rice,3240,3340,3290,05-11-2024
36,Lucknow,Rice,3250,3350,3300,01-10-2024
