Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mirzapur,Rice,2650,2850,2760,22-01-2024
2,Mirzapur,Rice,2600,2750,2670,06-02-2024
3,Mirzapur,Rice,2950,3150,3050,25-06-2024
4,Mirzapur,Rice,2650,2800,2720,16-01-2024
5,Mirzapur,Rice,2650,2850,2740,05-01-2024
6,Mirzapur,Rice,2650,2800,2720,09-03-2024
7,Mirzapur,Rice,2600,2750,2660,25-02-2024
8,Mirzapur,Rice,2800,2800,2800,19-12-2024
9,Mirzapur,Rice,2850,3000,2910,13-05-2024
10,Mirzapur,Rice,2900,3050,2960,30-05-2024
11,Mirzapur,Rice,2750,2900,2820,09-04-2024
12,Mirzapur,Rice,2900,3000,2950,18-05-2024
13,Mirzapur,Rice,2650,2800,2710,19-01-2024
14,Mirzapur,Rice,2600,2760,2660,08-02-2024
15,Mirzapur,Rice,2850,3000,2920,07-05-2024
16,Mirzapur,Rice,2800,2920,2860,23-04-2024
17,Mirzapur,Rice,2850,3000,2940,24-05-2024
18,Mirzapur,Rice,2600,2758,2660,09-02-2024
19,Mirzapur,Rice,2700,2850,2750,30-03-2024
20,Mirzapur,Rice,2650,2800,2720,05-03-2024
21,Mirzapur,Rice,2600,2750,2670,23-02-2024
22,Mirzapur,Rice,2800,2950,2870,26-04-2024
23,Mirzapur,Rice,2850,3000,2930,28-05-2024
24,Mirzapur,Rice,2800,3000,2900,03-05-2024
25,Mirzapur,Rice,2900,3000,2950,20-05-2024
26,Mirzapur,Rice,2650,2850,2740,08-01-2024
27,Mirzapur,Rice,2700,2850,2750,22-03-2024
28,Mirzapur,Rice,2650,2850,2730,25-01-2024
29,Mirzapur,Rice,2650,2800,2720,07-03-2024
30,Mirzapur,Rice,2600,2780,2680,02-03-2024
31,Mirzapur,Rice,2900,3050,2980,20-06-2024
32,Mirzapur,Rice,2600,2750,2670,30-01-2024
33,Mirzapur,Rice,2900,3000,2950,12-06-2024
34,Mirzapur,Rice,2600,2780,2680,03-02-2024
35,Mirzapur,Rice,2600,2780,2680,22-02-2024
36,Mirzapur,Rice,2600,2780,2680,29-02-2024
37,Mirzapur,Rice,2700,2800,2750,07-01-2024
38,Mirzapur,Rice,2800,2900,2850,13-04-2024
39,Mirzapur,Rice,2900,3050,2970,15-06-2024
40,Mirzapur,Rice,2800,3000,2800,12-07-2024
41,Mirzapur,Rice,2700,2850,2770,04-01-2024
42,Mirzapur,Rice,2900,3000,2940,23-05-2024
43,Mirzapur,Rice,2600,2750,2670,26-02-2024
44,Mirzapur,Rice,2600,2780,2680,17-02-2024
45,Mirzapur,Rice,2600,2750,2650,12-02-2024
46,Mirzapur,Rice,2900,3000,2950,09-05-2024
47,Mirzapur,Rice,2650,2800,2710,18-01-2024
48,Mirzapur,Rice,2900,3050,2960,03-06-2024
49,Mirzapur,Rice,2900,3050,2970,14-06-2024
50,Mirzapur,Rice,3000,3120,3050,27-06-2024
51,Mirzapur,Rice,2900,3000,2950,17-05-2024
52,Mirzapur,Rice,2900,3050,2980,18-06-2024
53,Mirzapur,Rice,3000,3150,3050,30-06-2024
54,Mirzapur,Rice,2900,3000,2950,10-06-2024
55,Mirzapur,Rice,2900,3050,2950,07-06-2024
56,Mirzapur,Rice,2800,3000,2800,26-12-2024
57,Mirzapur,Rice,2750,2900,2820,18-04-2024
58,Mirzapur,Rice,2650,2800,2730,14-03-2024
59,Mirzapur,Rice,2600,2800,2700,08-03-2024
60,Mirzapur,Rice,2600,2750,2670,19-02-2024
61,Mirzapur,Rice,2700,2850,2780,01-01-2024
62,Mirzapur,Rice,2600,2750,2680,16-02-2024
63,Mirzapur,Rice,2650,2850,2730,27-01-2024
64,Mirzapur,Rice,2750,2900,2830,19-04-2024
65,Mirzapur,Rice,2800,3000,2900,12-05-2024
66,Mirzapur,Rice,2600,2780,2680,27-02-2024
67,Mirzapur,Rice,2900,3000,2950,02-06-2024
68,Mirzapur,Rice,2700,2900,2800,16-04-2024
69,Mirzapur,Rice,2600,2750,2670,13-02-2024
70,Mirzapur,Rice,2600,2780,2680,20-02-2024
71,Mirzapur,Rice,2900,3000,2950,11-06-2024
72,Mirzapur,Rice,2800,2900,2850,28-04-2024
73,Mirzapur,Rice,2600,2750,2650,11-02-2024
74,Mirzapur,Rice,2600,2780,2680,05-02-2024
75,Mirzapur,Rice,2800,2900,2850,11-04-2024
76,Mirzapur,Rice,2950,3100,3020,22-06-2024
77,Mirzapur,Rice,2600,2750,2650,10-02-2024
78,Mirzapur,Rice,2800,3000,2900,29-04-2024
79,Mirzapur,Rice,2600,2750,2670,01-03-2024
80,Mirzapur,Rice,2700,2850,2760,21-03-2024
81,Mirzapur,Rice,2700,2850,2750,18-03-2024
82,Mirzapur,Rice,2600,2800,2700,12-03-2024
83,Mirzapur,Rice,3000,3150,3050,24-06-2024
