Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Murshidabad,Rice,3300,3500,3400,08-01-2024
2,Murshidabad,Rice,3400,3500,3450,09-01-2024
3,Murshidabad,Rice,3400,3500,3450,10-01-2024
4,Murshidabad,Rice,3400,3500,3450,12-01-2024
5,Murshidabad,Rice,3400,3500,3450,15-01-2024
6,Murshidabad,Rice,3400,3500,3450,16-01-2024
7,Murshidabad,Rice,3400,3500,3450,18-01-2024
8,Murshidabad,Rice,3400,3600,3500,14-01-2024
9,Murshidabad,Rice,3450,3500,3500,01-04-2024
10,Murshidabad,Rice,3450,3550,3500,01-01-2024
11,Murshidabad,Rice,3450,3550,3500,03-04-2024
12,Murshidabad,Rice,3450,3550,3500,04-04-2024
13,Murshidabad,Rice,3450,3550,3500,04-06-2024
14,Murshidabad,Rice,3450,3550,3500,06-04-2024
15,Murshidabad,Rice,3450,3550,3500,06-06-2024
16,Murshidabad,Rice,3450,3550,3500,07-04-2024
17,Murshidabad,Rice,3450,3550,3500,07-01-2024
18,Murshidabad,Rice,3450,3550,3500,07-06-2024
19,Murshidabad,Rice,3450,3550,3500,09-04-2024
20,Murshidabad,Rice,3450,3550,3500,09-06-2024
21,Murshidabad,Rice,3450,3550,3500,11-06-2024
22,Murshidabad,Rice,3450,3550,3500,11-05-2024
23,Murshidabad,Rice,3450,3550,3500,13-04-2024
24,Murshidabad,Rice,3450,3550,3500,13-06-2024
25,Murshidabad,Rice,3450,3550,3500,14-06-2024
26,Murshidabad,Rice,3450,3550,3500,15-04-2024
27,Murshidabad,Rice,3450,3550,3500,15-06-2024
28,Murshidabad,Rice,3450,3550,3500,15-05-2024
29,Murshidabad,Rice,3450,3550,3500,16-05-2024
30,Murshidabad,Rice,3450,3550,3500,17-05-2024
31,Murshidabad,Rice,3450,3550,3500,18-03-2024
32,Murshidabad,Rice,3450,3550,3500,18-05-2024
33,Murshidabad,Rice,3450,3550,3500,19-01-2024
34,Murshidabad,Rice,3450,3550,3500,19-06-2024
35,Murshidabad,Rice,3450,3550,3500,19-03-2024
36,Murshidabad,Rice,3450,3550,3500,20-01-2024
37,Murshidabad,Rice,3450,3550,3500,20-03-2024
38,Murshidabad,Rice,3450,3550,3500,21-01-2024
39,Murshidabad,Rice,3450,3550,3500,23-03-2024
40,Murshidabad,Rice,3450,3550,3500,25-03-2024
41,Murshidabad,Rice,3450,3600,3500,05-06-2024
42,Murshidabad,Rice,3450,3600,3500,10-06-2024
43,Murshidabad,Rice,3450,3600,3550,26-01-2024
44,Murshidabad,Rice,3500,0,3550,29-05-2024
45,Murshidabad,Rice,3500,3600,3550,02-01-2024
46,Murshidabad,Rice,3500,3600,3550,03-01-2024
47,Murshidabad,Rice,3500,3600,3550,03-06-2024
48,Murshidabad,Rice,3500,3600,3550,04-01-2024
49,Murshidabad,Rice,3500,3600,3550,05-01-2024
50,Murshidabad,Rice,3500,3600,3550,05-11-2024
51,Murshidabad,Rice,3500,3600,3550,07-03-2024
52,Murshidabad,Rice,3500,3600,3550,09-03-2024
53,Murshidabad,Rice,3500,3600,3550,09-05-2024
54,Murshidabad,Rice,3500,3600,3550,10-11-2024
55,Murshidabad,Rice,3500,3600,3550,10-10-2024
56,Murshidabad,Rice,3500,3600,3550,11-04-2024
57,Murshidabad,Rice,3500,3600,3550,11-10-2024
58,Murshidabad,Rice,3500,3600,3550,12-04-2024
59,Murshidabad,Rice,3500,3600,3550,12-03-2024
60,Murshidabad,Rice,3500,3600,3550,12-10-2024
61,Murshidabad,Rice,3500,3600,3550,13-05-2024
62,Murshidabad,Rice,3500,3600,3550,14-03-2024
63,Murshidabad,Rice,3500,3600,3550,14-05-2024
64,Murshidabad,Rice,3500,3600,3550,14-10-2024
65,Murshidabad,Rice,3500,3600,3550,17-04-2024
66,Murshidabad,Rice,3500,3600,3550,17-06-2024
67,Murshidabad,Rice,3500,3600,3550,17-03-2024
68,Murshidabad,Rice,3500,3600,3550,18-04-2024
69,Murshidabad,Rice,3500,3600,3550,18-10-2024
70,Murshidabad,Rice,3500,3600,3550,19-02-2024
71,Murshidabad,Rice,3500,3600,3550,19-05-2024
72,Murshidabad,Rice,3500,3600,3550,19-10-2024
73,Murshidabad,Rice,3500,3600,3550,20-04-2024
74,Murshidabad,Rice,3500,3600,3550,20-02-2024
75,Murshidabad,Rice,3500,3600,3550,20-06-2024
76,Murshidabad,Rice,3500,3600,3550,20-05-2024
