Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nadia,Rice,4300,4500,4400,01-04-2024
2,Nadia,Rice,4300,4500,4400,01-02-2024
3,Nadia,Rice,4300,4500,4400,01-01-2024
4,Nadia,Rice,4300,4500,4400,01-05-2024
5,Nadia,Rice,4300,4500,4400,02-04-2024
6,Nadia,Rice,4300,4500,4400,02-02-2024
7,Nadia,Rice,4300,4500,4400,02-01-2024
8,Nadia,Rice,4300,4500,4400,02-05-2024
9,Nadia,Rice,4300,4500,4400,03-04-2024
10,Nadia,Rice,4300,4500,4400,03-01-2024
11,Nadia,Rice,4300,4500,4400,03-06-2024
12,Nadia,Rice,4300,4500,4400,04-04-2024
13,Nadia,Rice,4300,4500,4400,04-01-2024
14,Nadia,Rice,4300,4500,4400,04-06-2024
15,Nadia,Rice,4300,4500,4400,05-04-2024
16,Nadia,Rice,4300,4500,4400,05-01-2024
17,Nadia,Rice,4300,4500,4400,05-03-2024
18,Nadia,Rice,4300,4500,4400,05-05-2024
19,Nadia,Rice,4300,4500,4400,06-04-2024
20,Nadia,Rice,4300,4500,4400,06-02-2024
21,Nadia,Rice,4300,4500,4400,06-01-2024
22,Nadia,Rice,4300,4500,4400,06-03-2024
23,Nadia,Rice,4300,4500,4400,07-04-2024
24,Nadia,Rice,4300,4500,4400,07-02-2024
25,Nadia,Rice,4300,4500,4400,07-01-2024
26,Nadia,Rice,4300,4500,4400,07-03-2024
27,Nadia,Rice,4300,4500,4400,08-04-2024
28,Nadia,Rice,4300,4500,4400,08-01-2024
29,Nadia,Rice,4300,4500,4400,08-03-2024
30,Nadia,Rice,4300,4500,4400,09-04-2024
31,Nadia,Rice,4300,4500,4400,09-02-2024
32,Nadia,Rice,4300,4500,4400,09-03-2024
33,Nadia,Rice,4300,4500,4400,09-05-2024
34,Nadia,Rice,4300,4500,4400,10-04-2024
35,Nadia,Rice,4300,4500,4400,10-02-2024
36,Nadia,Rice,4300,4500,4400,10-01-2024
37,Nadia,Rice,4300,4500,4400,10-03-2024
38,Nadia,Rice,4300,4500,4400,11-04-2024
39,Nadia,Rice,4300,4500,4400,11-02-2024
40,Nadia,Rice,4300,4500,4400,11-01-2024
41,Nadia,Rice,4300,4500,4400,11-03-2024
42,Nadia,Rice,4300,4500,4400,12-04-2024
43,Nadia,Rice,4300,4500,4400,12-02-2024
44,Nadia,Rice,4300,4500,4400,12-03-2024
45,Nadia,Rice,4300,4500,4400,13-04-2024
46,Nadia,Rice,4300,4500,4400,13-01-2024
47,Nadia,Rice,4300,4500,4400,13-03-2024
48,Nadia,Rice,4300,4500,4400,14-04-2024
49,Nadia,Rice,4300,4500,4400,14-01-2024
50,Nadia,Rice,4300,4500,4400,14-03-2024
51,Nadia,Rice,4300,4500,4400,15-04-2024
52,Nadia,Rice,4300,4500,4400,15-01-2024
53,Nadia,Rice,4300,4500,4400,15-03-2024
54,Nadia,Rice,4300,4500,4400,15-05-2024
55,Nadia,Rice,4300,4500,4400,16-02-2024
56,Nadia,Rice,4300,4500,4400,16-03-2024
57,Nadia,Rice,4300,4500,4400,16-05-2024
58,Nadia,Rice,4300,4500,4400,17-04-2024
59,Nadia,Rice,4300,4500,4400,17-02-2024
60,Nadia,Rice,4300,4500,4400,17-03-2024
61,Nadia,Rice,4300,4500,4400,18-04-2024
62,Nadia,Rice,4300,4500,4400,18-02-2024
63,Nadia,Rice,4300,4500,4400,18-01-2024
64,Nadia,Rice,4300,4500,4400,18-03-2024
65,Nadia,Rice,4300,4500,4400,18-05-2024
66,Nadia,Rice,4300,4500,4400,19-02-2024
67,Nadia,Rice,4300,4500,4400,19-01-2024
68,Nadia,Rice,4300,4500,4400,19-05-2024
69,Nadia,Rice,4300,4500,4400,20-04-2024
70,Nadia,Rice,4300,4500,4400,20-02-2024
71,Nadia,Rice,4300,4500,4400,20-01-2024
72,Nadia,Rice,4300,4500,4400,20-03-2024
73,Nadia,Rice,4300,4500,4400,20-05-2024
74,Nadia,Rice,4300,4500,4400,21-04-2024
75,Nadia,Rice,4300,4500,4400,21-02-2024
76,Nadia,Rice,4300,4500,4400,21-01-2024
77,Nadia,Rice,4300,4500,4400,21-03-2024
78,Nadia,Rice,4300,4500,4400,22-04-2024
79,Nadia,Rice,4300,4500,4400,22-01-2024
80,Nadia,Rice,4300,4500,4400,23-04-2024
81,Nadia,Rice,4300,4500,4400,24-04-2024
82,Nadia,Rice,4300,4500,4400,24-02-2024
83,Nadia,Rice,4300,4500,4400,24-01-2024
84,Nadia,Rice,4300,4500,4400,24-05-2024
85,Nadia,Rice,4300,4500,4400,25-02-2024
86,Nadia,Rice,4300,4500,4400,25-01-2024
87,Nadia,Rice,4300,4500,4400,25-05-2024
88,Nadia,Rice,4300,4500,4400,26-02-2024
89,Nadia,Rice,4300,4500,4400,26-03-2024
90,Nadia,Rice,4300,4500,4400,26-05-2024
91,Nadia,Rice,4300,4500,4400,27-02-2024
92,Nadia,Rice,4300,4500,4400,27-01-2024
93,Nadia,Rice,4300,4500,4400,27-03-2024
94,Nadia,Rice,4300,4500,4400,27-05-2024
95,Nadia,Rice,4300,4500,4400,28-04-2024
96,Nadia,Rice,4300,4500,4400,28-02-2024
97,Nadia,Rice,4300,4500,4400,28-01-2024
98,Nadia,Rice,4300,4500,4400,28-03-2024
99,Nadia,Rice,4300,4500,4400,28-05-2024
100,Nadia,Rice,4300,4500,4400,29-04-2024
101,Nadia,Rice,4300,4500,4400,29-02-2024
102,Nadia,Rice,4300,4500,4400,29-01-2024
103,Nadia,Rice,4300,4500,4400,29-03-2024
104,Nadia,Rice,4300,4500,4400,29-05-2024
105,Nadia,Rice,4300,4500,4400,30-03-2024
106,Nadia,Rice,4300,4500,4400,31-03-2024
107,Nadia,Rice,4400,4600,4500,01-08-2024
108,Nadia,Rice,4400,4600,4500,01-01-2025
109,Nadia,Rice,4400,4600,4500,01-07-2024
110,Nadia,Rice,4400,4600,4500,02-12-2024
111,Nadia,Rice,4400,4600,4500,02-07-2024
112,Nadia,Rice,4400,4600,4500,02-11-2024
113,Nadia,Rice,4400,4600,4500,02-10-2024
114,Nadia,Rice,4400,4600,4500,02-09-2024
115,Nadia,Rice,4400,4600,4500,03-12-2024
116,Nadia,Rice,4400,4600,4500,03-07-2024
117,Nadia,Rice,4400,4600,4500,03-10-2024
118,Nadia,Rice,4400,4600,4500,03-09-2024
119,Nadia,Rice,4400,4600,4500,04-12-2024
120,Nadia,Rice,4400,4600,4500,04-07-2024
121,Nadia,Rice,4400,4600,4500,04-05-2024
122,Nadia,Rice,4400,4600,4500,05-08-2024
123,Nadia,Rice,4400,4600,4500,05-06-2024
124,Nadia,Rice,4400,4600,4500,05-11-2024
125,Nadia,Rice,4400,4600,4500,05-10-2024
126,Nadia,Rice,4400,4600,4500,05-09-2024
127,Nadia,Rice,4400,4600,4500,06-08-2024
128,Nadia,Rice,4400,4600,4500,06-07-2024
129,Nadia,Rice,4400,4600,4500,06-06-2024
130,Nadia,Rice,4400,4600,4500,06-05-2024
131,Nadia,Rice,4400,4600,4500,06-11-2024
132,Nadia,Rice,4400,4600,4500,06-10-2024
133,Nadia,Rice,4400,4600,4500,06-09-2024
134,Nadia,Rice,4400,4600,4500,07-08-2024
135,Nadia,Rice,4400,4600,4500,07-12-2024
136,Nadia,Rice,4400,4600,4500,07-07-2024
137,Nadia,Rice,4400,4600,4500,07-06-2024
138,Nadia,Rice,4400,4600,4500,07-11-2024
139,Nadia,Rice,4400,4600,4500,07-10-2024
140,Nadia,Rice,4400,4600,4500,08-08-2024
141,Nadia,Rice,4400,4600,4500,08-12-2024
142,Nadia,Rice,4400,4600,4500,08-07-2024
143,Nadia,Rice,4400,4600,4500,08-06-2024
144,Nadia,Rice,4400,4600,4500,08-05-2024
145,Nadia,Rice,4400,4600,4500,08-11-2024
146,Nadia,Rice,4400,4600,4500,08-09-2024
147,Nadia,Rice,4400,4600,4500,09-12-2024
148,Nadia,Rice,4400,4600,4500,09-07-2024
149,Nadia,Rice,4400,4600,4500,09-06-2024
150,Nadia,Rice,4400,4600,4500,09-11-2024
151,Nadia,Rice,4400,4600,4500,09-09-2024
152,Nadia,Rice,4400,4600,4500,10-08-2024
153,Nadia,Rice,4400,4600,4500,10-12-2024
154,Nadia,Rice,4400,4600,4500,10-07-2024
155,Nadia,Rice,4400,4600,4500,10-06-2024
156,Nadia,Rice,4400,4600,4500,10-11-2024
157,Nadia,Rice,4400,4600,4500,10-10-2024
158,Nadia,Rice,4400,4600,4500,10-09-2024
159,Nadia,Rice,4400,4600,4500,11-08-2024
160,Nadia,Rice,4400,4600,4500,11-12-2024
161,Nadia,Rice,4400,4600,4500,11-06-2024
162,Nadia,Rice,4400,4600,4500,11-11-2024
163,Nadia,Rice,4400,4600,4500,11-10-2024
164,Nadia,Rice,4400,4600,4500,11-09-2024
165,Nadia,Rice,4400,4600,4500,12-08-2024
166,Nadia,Rice,4400,4600,4500,12-06-2024
167,Nadia,Rice,4400,4600,4500,12-11-2024
168,Nadia,Rice,4400,4600,4500,13-12-2024
169,Nadia,Rice,4400,4600,4500,13-06-2024
170,Nadia,Rice,4400,4600,4500,13-05-2024
171,Nadia,Rice,4400,4600,4500,13-11-2024
172,Nadia,Rice,4400,4600,4500,14-08-2024
173,Nadia,Rice,4400,4600,4500,14-12-2024
174,Nadia,Rice,4400,4600,4500,14-06-2024
175,Nadia,Rice,4400,4600,4500,14-05-2024
176,Nadia,Rice,4400,4600,4500,14-09-2024
177,Nadia,Rice,4400,4600,4500,15-08-2024
178,Nadia,Rice,4400,4600,4500,15-12-2024
179,Nadia,Rice,4400,4600,4500,15-07-2024
180,Nadia,Rice,4400,4600,4500,15-10-2024
181,Nadia,Rice,4400,4600,4500,15-09-2024
182,Nadia,Rice,4400,4600,4500,16-07-2024
183,Nadia,Rice,4400,4600,4500,16-10-2024
184,Nadia,Rice,4400,4600,4500,16-09-2024
185,Nadia,Rice,4400,4600,4500,17-08-2024
186,Nadia,Rice,4400,4600,4500,17-07-2024
187,Nadia,Rice,4400,4600,4500,17-06-2024
188,Nadia,Rice,4400,4600,4500,17-10-2024
189,Nadia,Rice,4400,4600,4500,18-08-2024
190,Nadia,Rice,4400,4600,4500,18-12-2024
191,Nadia,Rice,4400,4600,4500,18-07-2024
192,Nadia,Rice,4400,4600,4500,18-06-2024
193,Nadia,Rice,4400,4600,4500,18-10-2024
194,Nadia,Rice,4400,4600,4500,18-09-2024
195,Nadia,Rice,4400,4600,4500,19-08-2024
196,Nadia,Rice,4400,4600,4500,19-12-2024
197,Nadia,Rice,4400,4600,4500,19-06-2024
198,Nadia,Rice,4400,4600,4500,19-10-2024
199,Nadia,Rice,4400,4600,4500,19-09-2024
200,Nadia,Rice,4400,4600,4500,20-07-2024
201,Nadia,Rice,4400,4600,4500,20-06-2024
202,Nadia,Rice,4400,4600,4500,20-11-2024
203,Nadia,Rice,4400,4600,4500,20-10-2024
204,Nadia,Rice,4400,4600,4500,21-08-2024
205,Nadia,Rice,4400,4600,4500,21-12-2024
206,Nadia,Rice,4400,4600,4500,21-07-2024
207,Nadia,Rice,4400,4600,4500,21-11-2024
208,Nadia,Rice,4400,4600,4500,21-09-2024
209,Nadia,Rice,4400,4600,4500,22-08-2024
210,Nadia,Rice,4400,4600,4500,22-12-2024
211,Nadia,Rice,4400,4600,4500,22-07-2024
212,Nadia,Rice,4400,4600,4500,22-06-2024
213,Nadia,Rice,4400,4600,4500,22-11-2024
214,Nadia,Rice,4400,4600,4500,22-09-2024
215,Nadia,Rice,4400,4600,4500,23-12-2024
216,Nadia,Rice,4400,4600,4500,23-07-2024
217,Nadia,Rice,4400,4600,4500,23-06-2024
218,Nadia,Rice,4400,4600,4500,23-11-2024
219,Nadia,Rice,4400,4600,4500,23-10-2024
220,Nadia,Rice,4400,4600,4500,23-09-2024
221,Nadia,Rice,4400,4600,4500,24-08-2024
222,Nadia,Rice,4400,4600,4500,24-07-2024
223,Nadia,Rice,4400,4600,4500,24-06-2024
224,Nadia,Rice,4400,4600,4500,24-11-2024
225,Nadia,Rice,4400,4600,4500,24-10-2024
226,Nadia,Rice,4400,4600,4500,24-09-2024
227,Nadia,Rice,4400,4600,4500,25-08-2024
228,Nadia,Rice,4400,4600,4500,25-06-2024
229,Nadia,Rice,4400,4600,4500,25-11-2024
230,Nadia,Rice,4400,4600,4500,25-09-2024
231,Nadia,Rice,4400,4600,4500,26-08-2024
232,Nadia,Rice,4400,4600,4500,26-06-2024
233,Nadia,Rice,4400,4600,4500,26-11-2024
234,Nadia,Rice,4400,4600,4500,26-10-2024
235,Nadia,Rice,4400,4600,4500,26-09-2024
236,Nadia,Rice,4400,4600,4500,27-08-2024
237,Nadia,Rice,4400,4600,4500,27-07-2024
238,Nadia,Rice,4400,4600,4500,27-06-2024
239,Nadia,Rice,4400,4600,4500,27-11-2024
240,Nadia,Rice,4400,4600,4500,27-10-2024
241,Nadia,Rice,4400,4600,4500,27-09-2024
242,Nadia,Rice,4400,4600,4500,28-08-2024
243,Nadia,Rice,4400,4600,4500,28-12-2024
244,Nadia,Rice,4400,4600,4500,28-07-2024
245,Nadia,Rice,4400,4600,4500,28-06-2024
246,Nadia,Rice,4400,4600,4500,28-10-2024
247,Nadia,Rice,4400,4600,4500,28-09-2024
248,Nadia,Rice,4400,4600,4500,29-08-2024
249,Nadia,Rice,4400,4600,4500,29-12-2024
250,Nadia,Rice,4400,4600,4500,29-07-2024
251,Nadia,Rice,4400,4600,4500,29-09-2024
252,Nadia,Rice,4400,4600,4500,30-08-2024
253,Nadia,Rice,4400,4600,4500,30-12-2024
254,Nadia,Rice,4400,4600,4500,30-05-2024
255,Nadia,Rice,4400,4600,4500,30-11-2024
256,Nadia,Rice,4400,4600,4500,30-10-2024
257,Nadia,Rice,4400,4600,4500,30-09-2024
258,Nadia,Rice,4400,4600,4500,31-12-2024
259,Nadia,Rice,4400,4600,4500,31-07-2024
260,Nadia,Rice,4400,4600,4500,31-05-2024
261,Nadia,Rice,4400,4600,4500,31-10-2024
262,Nadia,Rice,4409,4600,4500,03-11-2024
263,Nadia,Rice,4500,4700,4600,01-12-2024
264,Nadia,Rice,4700,4800,4750,07-09-2024
