Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Rice,3800,5500,4850,01-08-2024
2,Nagpur,Rice,4000,6000,5500,03-10-2024
3,Nagpur,Rice,3500,5500,4800,23-03-2024
4,Nagpur,Rice,3800,5500,4800,06-07-2024
5,Nagpur,Rice,4000,6000,5000,12-09-2024
6,Nagpur,Rice,3500,5200,4700,18-01-2024
7,Nagpur,Rice,4000,5500,5000,29-08-2024
8,Nagpur,Rice,3400,5500,4800,22-02-2024
9,Nagpur,Rice,3500,5500,4700,11-01-2024
10,Nagpur,Rice,3400,5200,4850,14-12-2024
11,Nagpur,Rice,3500,5100,4500,06-01-2024
12,Nagpur,Rice,3850,5500,4850,25-07-2024
13,Nagpur,Rice,3300,5500,5000,10-02-2024
14,Nagpur,Rice,3900,5500,5000,05-09-2024
15,Nagpur,Rice,3400,5200,4700,20-01-2024
16,Nagpur,Rice,3800,5500,4850,13-07-2024
17,Nagpur,Rice,4000,5500,5000,21-09-2024
18,Nagpur,Rice,3800,5500,4850,20-04-2024
19,Nagpur,Rice,3850,5500,4850,11-07-2024
20,Nagpur,Rice,3800,5500,4850,15-06-2024
21,Nagpur,Rice,3850,5500,4750,30-05-2024
22,Nagpur,Rice,3800,5300,4800,12-12-2024
23,Nagpur,Rice,3400,5500,4800,29-02-2024
24,Nagpur,Rice,3850,6000,5500,07-11-2024
25,Nagpur,Rice,3800,5500,4850,13-06-2024
26,Nagpur,Rice,3200,4700,4450,28-11-2024
27,Nagpur,Rice,3850,6000,4850,26-10-2024
28,Nagpur,Rice,3500,5400,4800,03-02-2024
29,Nagpur,Rice,3800,5000,4600,19-12-2024
30,Nagpur,Rice,3850,5500,4850,22-06-2024
31,Nagpur,Rice,3800,5500,4800,11-05-2024
32,Nagpur,Rice,3500,5500,4800,07-03-2024
33,Nagpur,Rice,3850,5700,5000,24-08-2024
34,Nagpur,Rice,3850,5500,5000,24-10-2024
35,Nagpur,Rice,3800,5500,4800,30-03-2024
36,Nagpur,Rice,3850,5500,4850,08-06-2024
37,Nagpur,Rice,3400,5500,4800,08-02-2024
38,Nagpur,Rice,3500,5200,4850,21-12-2024
39,Nagpur,Rice,3500,6000,5000,13-01-2024
40,Nagpur,Rice,3800,5500,4850,25-04-2024
41,Nagpur,Rice,3500,5500,4800,02-03-2024
42,Nagpur,Rice,3800,5500,4800,18-05-2024
43,Nagpur,Rice,3400,6000,5000,15-02-2024
44,Nagpur,Rice,3850,5500,5000,17-08-2024
45,Nagpur,Rice,3800,5500,4850,04-05-2024
46,Nagpur,Rice,3800,5500,4800,27-04-2024
47,Nagpur,Rice,3500,5500,4650,14-03-2024
48,Nagpur,Rice,3850,5500,4850,10-08-2024
49,Nagpur,Rice,3800,5500,4800,06-04-2024
50,Nagpur,Rice,3850,5500,4750,04-07-2024
51,Nagpur,Rice,3800,6000,5500,22-08-2024
52,Nagpur,Rice,4000,6000,5500,16-11-2024
53,Nagpur,Rice,3500,5200,4800,04-01-2024
54,Nagpur,Rice,3500,5300,4800,01-02-2024
55,Nagpur,Rice,3850,5500,4850,27-06-2024
56,Nagpur,Rice,3800,5500,4800,01-06-2024
57,Nagpur,Rice,3850,5500,4850,06-06-2024
58,Nagpur,Rice,3850,5500,5000,08-08-2024
59,Nagpur,Rice,3500,5600,4850,27-01-2024
60,Nagpur,Rice,3800,5000,4750,26-12-2024
61,Nagpur,Rice,3800,5000,4750,09-05-2024
62,Nagpur,Rice,3800,5500,4750,25-05-2024
63,Nagpur,Rice,3400,5700,5000,17-02-2024
64,Nagpur,Rice,3850,5500,4850,03-08-2024
65,Nagpur,Rice,3650,5200,4850,28-12-2024
66,Nagpur,Rice,3800,5500,4850,29-06-2024
67,Nagpur,Rice,3500,5500,4800,21-03-2024
68,Nagpur,Rice,3500,5200,4500,25-01-2024
69,Nagpur,Rice,3800,5500,4800,20-06-2024
70,Nagpur,Rice,4000,6000,5500,14-11-2024
71,Nagpur,Rice,3800,5500,4800,02-05-2024
72,Nagpur,Rice,3400,5600,4800,24-02-2024
73,Nagpur,Rice,3900,6000,5500,10-10-2024
74,Nagpur,Rice,3800,5500,4850,18-07-2024
75,Nagpur,Rice,3800,6050,5500,17-10-2024
76,Nagpur,Rice,3800,4700,4350,21-11-2024
77,Nagpur,Rice,3850,6000,5500,09-11-2024
78,Nagpur,Rice,3800,5500,4750,28-03-2024
79,Nagpur,Rice,3800,5500,4850,04-04-2024
80,Nagpur,Rice,4000,6000,5500,05-10-2024
81,Nagpur,Rice,3800,5500,4850,16-05-2024
82,Nagpur,Rice,4000,5300,4800,05-12-2024
