Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,,
1,PaschimBardhaman,Rice,2060,3270,3050,21-04-2024,,
2,PaschimBardhaman,Rice,2800,3250,3060,14-01-2024,,
3,PaschimBardhaman,Rice,2845,3275,3050,03-06-2024,,
4,PaschimBardhaman,Rice,2850,3250,3050,17-04-2024,,
5,PaschimBardhaman,Rice,2850,3250,3060,13-01-2024,,
6,PaschimBardhaman,Rice,2850,3250,3060,16-01-2024,,
7,PaschimBardhaman,Rice,2850,3250,3060,22-01-2024,,
8,PaschimBardhaman,Rice,2850,3250,3060,25-08-2024,,
9,PaschimBardhaman,Rice,2850,3250,3060,28-01-2024,,
10,PaschimBardhaman,Rice,2850,3260,3050,30-01-2024,,
11,PaschimBardhaman,Rice,2850,3260,3080,09-08-2024,,
12,PaschimBardhaman,Rice,2850,3260,3080,20-08-2024,,
13,PaschimBardhaman,Rice,2850,3270,3060,07-07-2024,,
14,PaschimBardhaman,Rice,2850,3280,3050,01-05-2024,,
15,PaschimBardhaman,Rice,2850,3280,3050,03-03-2024,,
16,PaschimBardhaman,Rice,2850,3280,3060,03-01-2024,,
17,PaschimBardhaman,Rice,2850,3280,3060,07-01-2024,,
18,PaschimBardhaman,Rice,2850,3280,3060,11-02-2024,,
19,PaschimBardhaman,Rice,2850,3280,3060,12-07-2024,,
20,PaschimBardhaman,Rice,2850,3280,3060,16-03-2024,,
21,PaschimBardhaman,Rice,2850,3280,3060,25-01-2024,,
22,PaschimBardhaman,Rice,2850,3280,3070,15-07-2024,,
23,PaschimBardhaman,Rice,2860,3240,3050,18-04-2024,,
24,PaschimBardhaman,Rice,2860,3250,3040,06-03-2024,,
25,PaschimBardhaman,Rice,2860,3250,3050,01-02-2024,,
26,PaschimBardhaman,Rice,2860,3250,3050,08-03-2024,,
27,PaschimBardhaman,Rice,2860,3250,3050,15-04-2024,,
28,PaschimBardhaman,Rice,2860,3250,3050,18-01-2024,,
29,PaschimBardhaman,Rice,2860,3250,3050,21-08-2024,,
30,PaschimBardhaman,Rice,2860,3250,3050,26-04-2024,,
31,PaschimBardhaman,Rice,2860,3250,3060,11-04-2024,,
32,PaschimBardhaman,Rice,2860,3250,3060,12-04-2024,,
33,PaschimBardhaman,Rice,2860,3250,3060,17-01-2024,,
34,PaschimBardhaman,Rice,2860,3250,3070,07-03-2024,,
35,PaschimBardhaman,Rice,2860,3250,3070,07-05-2024,,
36,PaschimBardhaman,Rice,2860,3250,3070,08-05-2024,,
37,PaschimBardhaman,Rice,2860,3250,3070,09-04-2024,,
38,PaschimBardhaman,Rice,2860,3250,3070,10-05-2024,,
39,PaschimBardhaman,Rice,2860,3250,3070,12-03-2024,,
40,PaschimBardhaman,Rice,2860,3250,3070,13-03-2024,,
41,PaschimBardhaman,Rice,2860,3250,3070,14-04-2024,,
42,PaschimBardhaman,Rice,2860,3250,3070,24-05-2024,,
43,PaschimBardhaman,Rice,2860,3250,3070,27-03-2024,,
44,PaschimBardhaman,Rice,2860,3250,3070,30-04-2024,,
45,PaschimBardhaman,Rice,2860,3250,3075,29-05-2024,,
46,PaschimBardhaman,Rice,2860,3250,3080,02-01-2024,,
47,PaschimBardhaman,Rice,2860,3250,3080,22-06-2024,,
48,PaschimBardhaman,Rice,2860,3260,3040,23-04-2024,,
