Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Raigad,Rice,1000,1500,1200,02-07-2024
2,Raigad,Rice,1000,1500,1200,24-02-2024
3,Raigad,Rice,3000,3500,3250,18-11-2024
4,Raigad,Rice,3000,3500,3250,29-12-2024
5,Raigad,Rice,1000,1500,1200,22-06-2024
6,Raigad,Rice,3000,3500,3250,28-11-2024
7,Raigad,Rice,3000,3500,3250,18-09-2024
8,Raigad,Rice,3000,3500,3250,24-10-2024
9,Raigad,Rice,1000,1500,1200,13-04-2024
10,Raigad,Rice,1000,1500,1200,21-04-2024
11,Raigad,Rice,3000,3500,3250,17-08-2024
12,Raigad,Rice,3000,3500,3250,20-12-2024
13,Raigad,Rice,1000,1500,1200,15-03-2024
14,Raigad,Rice,1000,1500,1200,21-03-2024
15,Raigad,Rice,1000,1500,1200,10-03-2024
16,Raigad,Rice,1000,1500,1200,16-07-2024
17,Raigad,Rice,3000,3500,3250,12-09-2024
18,Raigad,Rice,3000,3500,3250,05-11-2024
19,Raigad,Rice,1000,1500,1200,29-07-2024
20,Raigad,Rice,3000,3500,3250,05-09-2024
21,Raigad,Rice,1000,1500,1200,09-06-2024
22,Raigad,Rice,3000,3500,3250,21-09-2024
23,Raigad,Rice,3000,3500,3250,02-09-2024
24,Raigad,Rice,1000,1500,1200,12-07-2024
25,Raigad,Rice,3000,3500,3250,16-09-2024
26,Raigad,Rice,3000,3500,3250,24-08-2024
27,Raigad,Rice,3000,3500,3250,27-08-2024
28,Raigad,Rice,1000,1500,1200,29-05-2024
29,Raigad,Rice,3000,3500,3250,24-09-2024
30,Raigad,Rice,1000,1500,1200,25-02-2024
31,Raigad,Rice,1000,1500,1200,17-01-2024
32,Raigad,Rice,1000,1500,1200,03-06-2024
33,Raigad,Rice,1000,1500,1200,24-06-2024
34,Raigad,Rice,1000,1500,1200,15-02-2024
35,Raigad,Rice,3000,3500,3250,19-10-2024
36,Raigad,Rice,1000,1500,1200,06-03-2024
37,Raigad,Rice,3000,3500,3250,19-12-2024
38,Raigad,Rice,3000,3500,3250,22-09-2024
39,Raigad,Rice,3000,3500,3250,28-09-2024
40,Raigad,Rice,3000,3500,3250,18-10-2024
41,Raigad,Rice,3000,3500,3250,26-08-2024
42,Raigad,Rice,3000,3500,3250,24-12-2024
43,Raigad,Rice,1000,1500,1200,06-07-2024
44,Raigad,Rice,3000,3500,3250,08-09-2024
45,Raigad,Rice,1000,1500,1200,13-01-2024
46,Raigad,Rice,1000,1500,1200,03-03-2024
47,Raigad,Rice,3000,3500,3250,19-09-2024
48,Raigad,Rice,3000,3500,3250,20-11-2024
49,Raigad,Rice,3000,3500,3250,06-11-2024
50,Raigad,Rice,3000,3500,3250,12-10-2024
51,Raigad,Rice,1000,1500,1200,18-03-2024
52,Raigad,Rice,3000,3500,3250,14-12-2024
53,Raigad,Rice,3000,3500,3250,23-12-2024
54,Raigad,Rice,3000,3500,3250,19-11-2024
55,Raigad,Rice,1000,1500,1200,01-07-2024
56,Raigad,Rice,3000,3500,3250,04-12-2024
57,Raigad,Rice,3000,3500,3250,22-08-2024
58,Raigad,Rice,1000,1500,1200,08-07-2024
59,Raigad,Rice,1000,1500,1200,04-02-2024
60,Raigad,Rice,1000,1500,1200,10-07-2024
61,Raigad,Rice,1000,1500,1200,30-04-2024
62,Raigad,Rice,1000,1500,1200,31-03-2024
63,Raigad,Rice,1000,1500,1200,01-04-2024
64,Raigad,Rice,1000,1500,1200,03-04-2024
65,Raigad,Rice,3000,3500,3250,12-11-2024
66,Raigad,Rice,1000,1500,1200,26-01-2024
67,Raigad,Rice,3000,3500,3250,27-10-2024
68,Raigad,Rice,1000,1500,1200,24-03-2024
69,Raigad,Rice,3000,3500,3250,11-12-2024
70,Raigad,Rice,3000,3500,3250,10-11-2024
