Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Rice,3000,6290,3985,06-03-2024
2,Sholapur,Rice,3000,6310,3985,02-03-2024
3,Sholapur,Rice,3000,6400,3945,12-02-2024
4,Sholapur,Rice,3005,6285,3900,07-03-2024
5,Sholapur,Rice,3005,6320,3975,29-02-2024
6,Sholapur,Rice,3005,6390,3950,13-02-2024
7,Sholapur,Rice,3005,6405,3940,10-02-2024
8,Sholapur,Rice,3010,6280,3995,09-03-2024
9,Sholapur,Rice,3010,6300,3995,05-03-2024
10,Sholapur,Rice,3010,6315,3980,01-03-2024
11,Sholapur,Rice,3010,6365,3940,17-02-2024
12,Sholapur,Rice,3010,6380,3940,14-02-2024
13,Sholapur,Rice,3010,6410,3935,09-02-2024
14,Sholapur,Rice,3015,6275,3985,11-03-2024
15,Sholapur,Rice,3015,6325,3970,28-02-2024
16,Sholapur,Rice,3015,6360,3945,20-02-2024
17,Sholapur,Rice,3015,6375,3930,15-02-2024
18,Sholapur,Rice,3020,6270,3990,12-03-2024
19,Sholapur,Rice,3020,6330,3965,27-02-2024
20,Sholapur,Rice,3020,6355,3950,21-02-2024
21,Sholapur,Rice,3020,6370,3935,16-02-2024
22,Sholapur,Rice,3020,6415,3930,08-02-2024
23,Sholapur,Rice,3025,6285,3995,13-03-2024
24,Sholapur,Rice,3025,6340,3965,24-02-2024
25,Sholapur,Rice,3025,6350,3955,22-02-2024
26,Sholapur,Rice,3025,6420,3940,07-02-2024
27,Sholapur,Rice,3030,6290,4000,14-03-2024
28,Sholapur,Rice,3030,6345,3960,23-02-2024
29,Sholapur,Rice,3030,6505,3950,20-01-2024
30,Sholapur,Rice,3035,6295,3990,15-03-2024
31,Sholapur,Rice,3035,6425,3935,06-02-2024
32,Sholapur,Rice,3035,6500,3940,23-01-2024
33,Sholapur,Rice,3035,6510,3945,19-01-2024
34,Sholapur,Rice,3040,6300,3995,16-03-2024
35,Sholapur,Rice,3040,6430,3940,05-02-2024
36,Sholapur,Rice,3040,6490,3945,24-01-2024
37,Sholapur,Rice,3040,6515,3940,18-01-2024
38,Sholapur,Rice,3045,6440,3960,02-02-2024
39,Sholapur,Rice,3045,6480,3950,25-01-2024
40,Sholapur,Rice,3050,6310,3995,19-03-2024
41,Sholapur,Rice,3050,6435,3950,03-02-2024
42,Sholapur,Rice,3050,6450,3970,01-02-2024
43,Sholapur,Rice,3050,6450,3970,31-01-2024
44,Sholapur,Rice,3050,6455,3965,30-01-2024
45,Sholapur,Rice,3050,6470,3955,27-01-2024
46,Sholapur,Rice,3050,6525,3930,16-01-2024
47,Sholapur,Rice,3055,6315,4000,20-03-2024
48,Sholapur,Rice,3055,6460,3960,29-01-2024
49,Sholapur,Rice,3055,6520,3935,17-01-2024
50,Sholapur,Rice,3060,6320,4005,21-03-2024
51,Sholapur,Rice,3065,6325,4000,22-03-2024
52,Sholapur,Rice,3070,6330,4000,23-03-2024
53,Sholapur,Rice,3075,6335,4005,25-03-2024
54,Sholapur,Rice,3080,6340,4010,26-03-2024
