Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sundergarh,Rice,3000,3000,3000,03-04-2024
2,Sundergarh,Rice,3000,3000,3000,07-08-2024
3,Sundergarh,Rice,3000,3000,3000,09-07-2024
4,Sundergarh,Rice,3000,3000,3000,16-03-2024
5,Sundergarh,Rice,3000,3000,3000,19-12-2024
6,Sundergarh,Rice,3000,3000,3000,29-01-2024
7,Sundergarh,Rice,3000,4000,3000,03-12-2024
8,Sundergarh,Rice,3000,4000,3000,04-08-2024
9,Sundergarh,Rice,3000,4000,3000,05-08-2024
10,Sundergarh,Rice,3000,4000,3000,07-12-2024
11,Sundergarh,Rice,3000,4000,3000,12-03-2024
12,Sundergarh,Rice,3000,4000,3000,15-01-2024
13,Sundergarh,Rice,3000,4000,3000,17-07-2024
14,Sundergarh,Rice,3000,4000,3000,19-10-2024
15,Sundergarh,Rice,3000,4000,3000,21-09-2024
16,Sundergarh,Rice,3000,4000,3000,23-09-2024
17,Sundergarh,Rice,3000,4000,3000,28-11-2024
18,Sundergarh,Rice,3000,4000,3000,30-10-2024
19,Sundergarh,Rice,3000,4000,4000,02-08-2024
20,Sundergarh,Rice,3000,4000,4000,04-09-2024
21,Sundergarh,Rice,3000,4000,4000,06-08-2024
22,Sundergarh,Rice,3000,4000,4000,13-09-2024
23,Sundergarh,Rice,3000,4000,4000,17-10-2024
24,Sundergarh,Rice,3000,4000,4000,26-02-2024
25,Sundergarh,Rice,4000,4000,4000,02-09-2024
26,Sundergarh,Rice,4000,4000,4000,03-09-2024
27,Sundergarh,Rice,4000,4000,4000,05-04-2024
28,Sundergarh,Rice,4000,4000,4000,07-01-2024
29,Sundergarh,Rice,4000,4000,4000,08-08-2024
30,Sundergarh,Rice,4000,4000,4000,09-01-2024
31,Sundergarh,Rice,4000,4000,4000,11-07-2024
32,Sundergarh,Rice,4000,4000,4000,11-03-2024
33,Sundergarh,Rice,4000,4000,4000,13-12-2024
34,Sundergarh,Rice,4000,4000,4000,16-10-2024
35,Sundergarh,Rice,4000,4000,4000,19-01-2024
36,Sundergarh,Rice,4000,4000,4000,19-07-2024
37,Sundergarh,Rice,4000,4000,4000,20-12-2024
38,Sundergarh,Rice,4000,4000,4000,22-10-2024
39,Sundergarh,Rice,4000,4000,4000,25-07-2024
40,Sundergarh,Rice,4000,4000,4000,27-07-2024
41,Sundergarh,Rice,4000,4000,4000,27-06-2024
42,Sundergarh,Rice,4000,4000,4000,28-03-2024
43,Sundergarh,Rice,4000,4000,4000,29-05-2024
44,Sundergarh,Rice,4000,4000,4000,29-10-2024
45,Sundergarh,Rice,4000,4000,4000,30-06-2024
46,Sundergarh,Rice,4000,5000,4000,03-07-2024
47,Sundergarh,Rice,4400,4500,4400,24-01-2024
