Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thane,Rice,3000,3300,3200,19-06-2024
2,Thane,Rice,4000,5500,5400,29-04-2024
3,Thane,Rice,6200,8800,7500,12-03-2024
4,Thane,Rice,6200,8800,7850,13-03-2024
5,Thane,Rice,6400,9400,7900,28-10-2024
6,Thane,Rice,6800,8800,7800,08-09-2024
7,Thane,Rice,6800,8800,7800,21-08-2024
8,Thane,Rice,7000,9400,8200,01-12-2024
9,Thane,Rice,7000,9400,8200,02-12-2024
10,Thane,Rice,7200,8200,7700,07-08-2024
11,Thane,Rice,7200,9000,8350,12-12-2024
12,Thane,Rice,7200,9600,8400,19-11-2024
13,Thane,Rice,7200,9600,8400,21-11-2024
14,Thane,Rice,8400,9200,8800,19-07-2024
