Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Tumkur,Rice,3800,6600,4800,31-12-2024
2,Tumkur,Rice,3500,6200,4400,30-08-2024
3,Tumkur,Rice,3500,6500,4400,28-06-2024
4,Tumkur,Rice,3600,6500,4600,02-12-2024
5,Tumkur,Rice,3950,6920,4820,04-05-2024
6,Tumkur,Rice,2850,5100,3650,30-03-2024
7,Tumkur,Rice,3600,6500,4400,07-11-2024
8,Tumkur,Rice,3600,6500,4100,28-11-2024
9,Tumkur,Rice,3800,6700,4900,18-12-2024
10,Tumkur,Rice,3600,6600,4500,25-11-2024
11,Tumkur,Rice,3600,6600,4850,23-12-2024
12,Tumkur,Rice,3400,6000,4500,12-11-2024
13,Tumkur,Rice,3500,6500,4600,26-11-2024
14,Tumkur,Rice,3600,6800,4500,27-11-2024
