Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ayodhya,Sugar,3090,4040,4020,13-02-2024
2,Ayodhya,Sugar,3840,3930,3910,04-01-2024
3,Ayodhya,Sugar,3850,3940,3920,02-01-2024
4,Ayodhya,Sugar,3850,3940,3920,03-01-2024
5,Ayodhya,Sugar,3850,3940,3920,05-01-2024
6,Ayodhya,Sugar,3860,3930,3920,06-01-2024
7,Ayodhya,Sugar,3870,3920,3910,01-02-2024
8,Ayodhya,Sugar,3870,3930,3910,08-01-2024
9,Ayodhya,Sugar,3870,3930,3920,12-01-2024
10,Ayodhya,Sugar,3870,3930,3920,20-01-2024
11,Ayodhya,Sugar,3880,3930,3910,30-01-2024
12,Ayodhya,Sugar,3880,3930,3920,02-02-2024
13,Ayodhya,Sugar,3880,3940,3920,09-01-2024
14,Ayodhya,Sugar,3880,3940,3920,11-01-2024
15,Ayodhya,Sugar,3880,3940,3920,16-01-2024
16,Ayodhya,Sugar,3880,3940,3920,18-01-2024
17,Ayodhya,Sugar,3890,3930,3920,15-01-2024
18,Ayodhya,Sugar,3890,3930,3920,31-01-2024
19,Ayodhya,Sugar,3890,3940,3920,23-01-2024
20,Ayodhya,Sugar,3890,3940,3920,27-01-2024
21,Ayodhya,Sugar,3890,3950,3925,17-01-2024
22,Ayodhya,Sugar,3900,3930,3910,29-01-2024
23,Ayodhya,Sugar,3900,3930,3925,10-01-2024
24,Ayodhya,Sugar,3900,3940,3920,19-01-2024
25,Ayodhya,Sugar,3900,3940,3920,24-01-2024
26,Ayodhya,Sugar,3900,3960,3910,01-01-2024
27,Ayodhya,Sugar,3900,4060,4020,14-02-2024
28,Ayodhya,Sugar,3900,4100,4020,27-04-2024
29,Ayodhya,Sugar,3950,4050,4020,15-02-2024
30,Ayodhya,Sugar,3960,4020,4000,03-02-2024
31,Ayodhya,Sugar,3960,4020,4000,05-02-2024
32,Ayodhya,Sugar,3970,4040,4020,16-02-2024
33,Ayodhya,Sugar,3970,4050,4020,29-02-2024
34,Ayodhya,Sugar,3980,4030,4010,10-02-2024
35,Ayodhya,Sugar,3980,4030,4010,22-02-2024
