Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Baghpat,Sugar,4040,4060,4050,20-07-2024
2,Baghpat,Sugar,4050,4100,4080,03-08-2024
3,Baghpat,Sugar,4050,4100,4100,02-08-2024
4,Baghpat,Sugar,4060,4060,4060,22-07-2024
5,Baghpat,Sugar,4060,4070,4060,23-07-2024
6,Baghpat,Sugar,4060,4080,4070,19-07-2024
7,Baghpat,Sugar,4060,4080,4070,27-07-2024
8,Baghpat,Sugar,4070,4070,4070,29-07-2024
9,Baghpat,Sugar,4070,4080,4070,25-07-2024
10,Baghpat,Sugar,4070,4080,4070,26-07-2024
11,Baghpat,Sugar,4070,4080,4080,05-08-2024
12,Baghpat,Sugar,4070,4080,4080,31-07-2024
13,Baghpat,Sugar,4070,4100,4080,30-07-2024
14,Baghpat,Sugar,4080,4100,4090,06-08-2024
15,Baghpat,Sugar,4080,4100,4090,24-07-2024
16,Baghpat,Sugar,4090,4100,4090,18-07-2024
17,Baghpat,Sugar,4090,4100,4100,07-08-2024
18,Baghpat,Sugar,4100,4100,4100,01-01-2025
19,Baghpat,Sugar,4100,4100,4100,08-08-2024
20,Baghpat,Sugar,4100,4100,4100,20-12-2024
21,Baghpat,Sugar,4100,4100,4100,21-12-2024
22,Baghpat,Sugar,4100,4100,4100,23-12-2024
23,Baghpat,Sugar,4100,4100,4100,24-12-2024
24,Baghpat,Sugar,4100,4100,4100,25-12-2024
25,Baghpat,Sugar,4100,4100,4100,26-12-2024
26,Baghpat,Sugar,4100,4100,4100,27-12-2024
27,Baghpat,Sugar,4100,4100,4100,28-12-2024
28,Baghpat,Sugar,4100,4100,4100,30-12-2024
29,Baghpat,Sugar,4100,4110,4110,31-12-2024
30,Baghpat,Sugar,4100,4120,4120,06-09-2024
31,Baghpat,Sugar,4100,4120,4120,27-11-2024
32,Baghpat,Sugar,4100,4125,4125,01-08-2024
33,Baghpat,Sugar,4100,4130,4130,09-07-2024
34,Baghpat,Sugar,4100,4130,4130,11-07-2024
35,Baghpat,Sugar,4100,4140,4130,10-07-2024
36,Baghpat,Sugar,4100,4150,4140,05-07-2024
37,Baghpat,Sugar,4100,4150,4150,06-07-2024
38,Baghpat,Sugar,4100,4150,4150,12-07-2024
