Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Gautam Budh Nagar,Sugar,3900,0,4000,07-03-2024
2,Gautam Budh Nagar,Sugar,3900,4100,4000,02-03-2024
3,Gautam Budh Nagar,Sugar,3900,4100,4000,03-03-2024
4,Gautam Budh Nagar,Sugar,3900,4100,4000,04-03-2024
5,Gautam Budh Nagar,Sugar,3900,4100,4000,05-04-2024
6,Gautam Budh Nagar,Sugar,3900,4100,4000,05-03-2024
7,Gautam Budh Nagar,Sugar,3900,4100,4000,08-03-2024
8,Gautam Budh Nagar,Sugar,3900,4100,4000,10-03-2024
9,Gautam Budh Nagar,Sugar,3900,4100,4000,11-04-2024
10,Gautam Budh Nagar,Sugar,3900,4100,4000,11-01-2024
11,Gautam Budh Nagar,Sugar,3900,4100,4000,11-03-2024
12,Gautam Budh Nagar,Sugar,3900,4100,4000,12-01-2024
13,Gautam Budh Nagar,Sugar,3900,4100,4000,12-03-2024
14,Gautam Budh Nagar,Sugar,3900,4100,4000,13-01-2024
15,Gautam Budh Nagar,Sugar,3900,4100,4000,14-01-2024
16,Gautam Budh Nagar,Sugar,3900,4100,4000,15-01-2024
17,Gautam Budh Nagar,Sugar,3900,4100,4000,16-01-2024
18,Gautam Budh Nagar,Sugar,3900,4100,4000,22-02-2024
19,Gautam Budh Nagar,Sugar,3900,4100,4000,22-03-2024
20,Gautam Budh Nagar,Sugar,3900,4100,4000,23-02-2024
21,Gautam Budh Nagar,Sugar,3900,4100,4000,24-02-2024
22,Gautam Budh Nagar,Sugar,3900,4100,4000,25-02-2024
23,Gautam Budh Nagar,Sugar,3900,4100,4000,26-02-2024
24,Gautam Budh Nagar,Sugar,3900,4120,4000,06-04-2024
25,Gautam Budh Nagar,Sugar,3900,4120,4000,15-03-2024
26,Gautam Budh Nagar,Sugar,3900,4120,4000,20-04-2024
27,Gautam Budh Nagar,Sugar,3900,4120,4000,31-03-2024
28,Gautam Budh Nagar,Sugar,3900,4130,4000,12-04-2024
29,Gautam Budh Nagar,Sugar,3900,4130,4000,13-04-2024
30,Gautam Budh Nagar,Sugar,3900,4130,4000,23-03-2024
31,Gautam Budh Nagar,Sugar,3900,4130,4030,08-04-2024
32,Gautam Budh Nagar,Sugar,3900,4140,4000,21-04-2024
33,Gautam Budh Nagar,Sugar,3900,4150,4000,22-04-2024
34,Gautam Budh Nagar,Sugar,3900,4150,4000,23-04-2024
35,Gautam Budh Nagar,Sugar,3900,4150,4030,07-04-2024
36,Gautam Budh Nagar,Sugar,3900,4150,4030,16-04-2024
37,Gautam Budh Nagar,Sugar,3900,4150,4030,29-02-2024
38,Gautam Budh Nagar,Sugar,3920,4120,4020,08-01-2024
39,Gautam Budh Nagar,Sugar,3930,4130,4030,23-01-2024
40,Gautam Budh Nagar,Sugar,3930,4130,4030,28-01-2024
41,Gautam Budh Nagar,Sugar,3930,4130,4030,29-01-2024
42,Gautam Budh Nagar,Sugar,3930,4140,4030,19-04-2024
43,Gautam Budh Nagar,Sugar,3930,4150,4030,04-04-2024
44,Gautam Budh Nagar,Sugar,3930,4150,4030,09-04-2024
45,Gautam Budh Nagar,Sugar,3930,4150,4030,18-04-2024
46,Gautam Budh Nagar,Sugar,3930,4150,4030,27-04-2024
47,Gautam Budh Nagar,Sugar,3940,4150,4040,18-01-2024
48,Gautam Budh Nagar,Sugar,3950,4100,4050,02-02-2024
49,Gautam Budh Nagar,Sugar,3950,4130,4050,16-03-2024
50,Gautam Budh Nagar,Sugar,3950,4150,4050,04-01-2024
51,Gautam Budh Nagar,Sugar,3950,4150,4050,05-02-2024
52,Gautam Budh Nagar,Sugar,3950,4150,4050,05-01-2024
53,Gautam Budh Nagar,Sugar,3950,4150,4050,06-02-2024
54,Gautam Budh Nagar,Sugar,3950,4150,4050,09-02-2024
55,Gautam Budh Nagar,Sugar,3950,4150,4050,10-02-2024
56,Gautam Budh Nagar,Sugar,3950,4150,4050,11-02-2024
57,Gautam Budh Nagar,Sugar,3950,4150,4050,12-02-2024
58,Gautam Budh Nagar,Sugar,3950,4150,4050,13-02-2024
59,Gautam Budh Nagar,Sugar,3950,4150,4050,14-04-2024
60,Gautam Budh Nagar,Sugar,3950,4150,4050,15-04-2024
61,Gautam Budh Nagar,Sugar,3950,4150,4050,15-02-2024
62,Gautam Budh Nagar,Sugar,3950,4150,4050,16-02-2024
