Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Lakhimpur,Sugar,1490,4170,4120,05-08-2024
2,Lakhimpur,Sugar,3700,3745,3720,13-03-2024
3,Lakhimpur,Sugar,3730,3800,3750,12-03-2024
4,Lakhimpur,Sugar,3750,3940,3860,28-03-2024
5,Lakhimpur,Sugar,3760,3935,3890,29-03-2024
6,Lakhimpur,Sugar,3770,3830,3800,11-03-2024
7,Lakhimpur,Sugar,3785,3870,3830,27-03-2024
8,Lakhimpur,Sugar,3800,3900,3850,26-03-2024
9,Lakhimpur,Sugar,3800,3900,3875,23-03-2024
10,Lakhimpur,Sugar,3810,3900,3870,19-03-2024
11,Lakhimpur,Sugar,3820,3890,3860,09-03-2024
12,Lakhimpur,Sugar,3820,3895,3875,21-03-2024
13,Lakhimpur,Sugar,3840,3900,3870,16-03-2024
14,Lakhimpur,Sugar,3850,3900,3880,14-03-2024
15,Lakhimpur,Sugar,3850,3900,3880,20-03-2024
16,Lakhimpur,Sugar,3850,3910,3880,08-03-2024
17,Lakhimpur,Sugar,3850,3930,3880,22-03-2024
18,Lakhimpur,Sugar,3855,3920,3885,18-03-2024
19,Lakhimpur,Sugar,3860,3930,3900,30-03-2024
20,Lakhimpur,Sugar,3860,3940,3900,01-04-2024
21,Lakhimpur,Sugar,3860,4000,3970,23-07-2024
22,Lakhimpur,Sugar,3870,3945,3910,02-04-2024
23,Lakhimpur,Sugar,3870,4010,3980,24-07-2024
24,Lakhimpur,Sugar,3880,3930,3910,07-03-2024
25,Lakhimpur,Sugar,3880,3960,3920,03-04-2024
26,Lakhimpur,Sugar,3880,3960,3920,06-03-2024
27,Lakhimpur,Sugar,3890,3960,3930,08-04-2024
28,Lakhimpur,Sugar,3890,3980,3920,05-04-2024
29,Lakhimpur,Sugar,3900,3975,3935,04-04-2024
30,Lakhimpur,Sugar,3900,3980,3930,06-04-2024
31,Lakhimpur,Sugar,3900,4000,3990,09-04-2024
32,Lakhimpur,Sugar,3920,4000,3950,05-03-2024
33,Lakhimpur,Sugar,3920,4000,3980,22-07-2024
34,Lakhimpur,Sugar,3950,4030,3990,04-03-2024
35,Lakhimpur,Sugar,3950,4140,4100,01-03-2024
36,Lakhimpur,Sugar,3960,4030,4000,20-07-2024
37,Lakhimpur,Sugar,3970,4100,4020,19-07-2024
38,Lakhimpur,Sugar,3980,4050,4000,10-04-2024
39,Lakhimpur,Sugar,3980,4050,4020,02-03-2024
40,Lakhimpur,Sugar,3980,4100,4050,12-04-2024
41,Lakhimpur,Sugar,3980,4125,4080,08-05-2024
42,Lakhimpur,Sugar,3990,4140,4100,07-05-2024
43,Lakhimpur,Sugar,4000,4050,4020,11-04-2024
44,Lakhimpur,Sugar,4000,4090,4050,15-04-2024
45,Lakhimpur,Sugar,4000,4100,4050,13-08-2024
46,Lakhimpur,Sugar,4000,4100,4050,30-12-2024
47,Lakhimpur,Sugar,4000,4100,4065,14-05-2024
48,Lakhimpur,Sugar,4000,4100,4070,13-04-2024
49,Lakhimpur,Sugar,4000,4120,4060,12-08-2024
50,Lakhimpur,Sugar,4000,4120,4065,09-05-2024
51,Lakhimpur,Sugar,4000,4120,4070,10-05-2024
52,Lakhimpur,Sugar,4000,4120,4070,14-08-2024
53,Lakhimpur,Sugar,4000,4120,4080,15-05-2024
54,Lakhimpur,Sugar,4000,4130,4070,17-04-2024
55,Lakhimpur,Sugar,4000,4150,4080,18-04-2024
56,Lakhimpur,Sugar,4000,4150,4100,26-04-2024
57,Lakhimpur,Sugar,4010,4120,4070,23-12-2024
58,Lakhimpur,Sugar,4020,4120,4080,25-12-2024
59,Lakhimpur,Sugar,4020,4130,4090,20-12-2024
60,Lakhimpur,Sugar,4030,4120,4060,28-12-2024
61,Lakhimpur,Sugar,4030,4120,4065,16-08-2024
62,Lakhimpur,Sugar,4030,4120,4080,27-12-2024
63,Lakhimpur,Sugar,4030,4130,4080,08-08-2024
64,Lakhimpur,Sugar,4030,4160,4120,13-06-2024
65,Lakhimpur,Sugar,4030,4160,4120,26-07-2024
66,Lakhimpur,Sugar,4040,4110,4080,22-04-2024
67,Lakhimpur,Sugar,4040,4110,4080,24-04-2024
68,Lakhimpur,Sugar,4040,4120,4090,23-04-2024
69,Lakhimpur,Sugar,4040,4140,4100,25-07-2024
70,Lakhimpur,Sugar,4040,4145,4100,24-12-2024
71,Lakhimpur,Sugar,4050,4120,4080,21-12-2024
72,Lakhimpur,Sugar,4050,4130,4090,16-05-2024
73,Lakhimpur,Sugar,4050,4130,4090,26-12-2024
74,Lakhimpur,Sugar,4050,4150,4100,07-08-2024
75,Lakhimpur,Sugar,4050,4160,4100,20-08-2024
76,Lakhimpur,Sugar,4060,4120,4090,25-04-2024
77,Lakhimpur,Sugar,4060,4130,4090,10-08-2024
78,Lakhimpur,Sugar,4060,4140,4100,09-08-2024
79,Lakhimpur,Sugar,4060,4140,4100,17-05-2024
80,Lakhimpur,Sugar,4060,4150,4100,05-06-2024
81,Lakhimpur,Sugar,4060,4150,4100,31-12-2024
82,Lakhimpur,Sugar,4060,4160,4100,09-12-2024
83,Lakhimpur,Sugar,4070,4140,4100,21-09-2024
84,Lakhimpur,Sugar,4070,4140,4100,24-09-2024
85,Lakhimpur,Sugar,4070,4150,4100,07-10-2024
86,Lakhimpur,Sugar,4070,4150,4100,20-04-2024
87,Lakhimpur,Sugar,4070,4160,4100,19-11-2024
88,Lakhimpur,Sugar,4070,4160,4110,21-11-2024
89,Lakhimpur,Sugar,4070,4170,4110,01-10-2024
90,Lakhimpur,Sugar,4070,4170,4130,28-11-2024
91,Lakhimpur,Sugar,4070,4180,4120,28-09-2024
92,Lakhimpur,Sugar,4070,4180,4125,30-09-2024
93,Lakhimpur,Sugar,4070,4180,4140,30-04-2024
94,Lakhimpur,Sugar,4070,4190,4100,13-12-2024
95,Lakhimpur,Sugar,4080,4130,4100,01-05-2024
96,Lakhimpur,Sugar,4080,4130,4100,17-12-2024
97,Lakhimpur,Sugar,4080,4140,4100,19-12-2024
98,Lakhimpur,Sugar,4080,4145,4115,16-10-2024
99,Lakhimpur,Sugar,4080,4150,4100,03-05-2024
100,Lakhimpur,Sugar,4080,4150,4100,08-06-2024
101,Lakhimpur,Sugar,4080,4150,4100,11-12-2024
102,Lakhimpur,Sugar,4080,4150,4100,17-08-2024
103,Lakhimpur,Sugar,4080,4150,4110,09-10-2024
104,Lakhimpur,Sugar,4080,4150,4110,23-09-2024
105,Lakhimpur,Sugar,4080,4160,4110,06-05-2024
106,Lakhimpur,Sugar,4080,4160,4120,14-10-2024
107,Lakhimpur,Sugar,4080,4160,4120,18-05-2024
108,Lakhimpur,Sugar,4080,4160,4120,29-02-2024
109,Lakhimpur,Sugar,4080,4160,4125,15-06-2024
110,Lakhimpur,Sugar,4080,4160,4130,03-10-2024
111,Lakhimpur,Sugar,4080,4170,4120,01-06-2024
112,Lakhimpur,Sugar,4080,4170,4120,02-05-2024
113,Lakhimpur,Sugar,4080,4170,4120,03-12-2024
114,Lakhimpur,Sugar,4080,4170,4120,04-05-2024
115,Lakhimpur,Sugar,4080,4170,4120,06-11-2024
116,Lakhimpur,Sugar,4080,4170,4120,07-12-2024
117,Lakhimpur,Sugar,4080,4170,4120,10-10-2024
118,Lakhimpur,Sugar,4080,4170,4120,20-11-2024
119,Lakhimpur,Sugar,4080,4170,4120,25-09-2024
120,Lakhimpur,Sugar,4080,4170,4120,30-05-2024
121,Lakhimpur,Sugar,4080,4170,4130,04-12-2024
122,Lakhimpur,Sugar,4080,4170,4130,17-06-2024
123,Lakhimpur,Sugar,4080,4170,4130,24-10-2024
124,Lakhimpur,Sugar,4080,4170,4130,26-11-2024
125,Lakhimpur,Sugar,4080,4170,4135,29-04-2024
126,Lakhimpur,Sugar,4080,4170,4140,06-09-2024
127,Lakhimpur,Sugar,4080,4180,4120,01-01-2025
128,Lakhimpur,Sugar,4080,4180,4120,08-10-2024
129,Lakhimpur,Sugar,4080,4180,4120,10-12-2024
130,Lakhimpur,Sugar,4080,4180,4120,17-10-2024
131,Lakhimpur,Sugar,4080,4180,4120,25-10-2024
132,Lakhimpur,Sugar,4080,4180,4120,29-11-2024
133,Lakhimpur,Sugar,4080,4180,4130,14-11-2024
134,Lakhimpur,Sugar,4080,4180,4130,18-10-2024
135,Lakhimpur,Sugar,4080,4180,4135,31-05-2024
136,Lakhimpur,Sugar,4080,4180,4140,04-10-2024
137,Lakhimpur,Sugar,4080,4180,4150,27-05-2024
138,Lakhimpur,Sugar,4080,4200,4135,29-05-2024
139,Lakhimpur,Sugar,4080,4210,4160,25-05-2024
140,Lakhimpur,Sugar,4080,4250,4130,17-07-2024
141,Lakhimpur,Sugar,4080,4250,4160,22-05-2024
142,Lakhimpur,Sugar,4080,4250,4170,24-05-2024
143,Lakhimpur,Sugar,4085,4180,4130,03-08-2024
144,Lakhimpur,Sugar,4090,4140,4110,12-12-2024
145,Lakhimpur,Sugar,4090,4145,4125,18-12-2024
146,Lakhimpur,Sugar,4090,4150,4110,19-08-2024
147,Lakhimpur,Sugar,4090,4150,4120,14-12-2024
148,Lakhimpur,Sugar,4090,4160,4120,16-12-2024
149,Lakhimpur,Sugar,4090,4160,4130,20-05-2024
150,Lakhimpur,Sugar,4090,4170,4120,07-06-2024
151,Lakhimpur,Sugar,4090,4170,4120,13-11-2024
152,Lakhimpur,Sugar,4090,4170,4120,27-04-2024
153,Lakhimpur,Sugar,4090,4170,4130,14-06-2024
154,Lakhimpur,Sugar,4090,4170,4130,15-10-2024
155,Lakhimpur,Sugar,4090,4170,4130,30-11-2024
156,Lakhimpur,Sugar,4090,4170,4135,05-11-2024
157,Lakhimpur,Sugar,4090,4175,4120,28-05-2024
158,Lakhimpur,Sugar,4090,4175,4130,10-06-2024
159,Lakhimpur,Sugar,4090,4180,4120,21-08-2024
160,Lakhimpur,Sugar,4090,4180,4140,05-07-2024
161,Lakhimpur,Sugar,4090,4180,4150,06-07-2024
162,Lakhimpur,Sugar,4090,4185,4130,12-06-2024
163,Lakhimpur,Sugar,4090,4185,4135,27-07-2024
164,Lakhimpur,Sugar,4090,4190,4140,11-06-2024
165,Lakhimpur,Sugar,4090,4190,4140,19-10-2024
166,Lakhimpur,Sugar,4090,4200,4130,20-09-2024
167,Lakhimpur,Sugar,4090,4200,4150,09-11-2024
168,Lakhimpur,Sugar,4090,4200,4150,20-06-2024
169,Lakhimpur,Sugar,4090,4200,4150,23-05-2024
170,Lakhimpur,Sugar,4090,4210,4160,08-11-2024
171,Lakhimpur,Sugar,4090,4230,4150,10-07-2024
172,Lakhimpur,Sugar,4100,4145,4120,21-02-2024
173,Lakhimpur,Sugar,4100,4150,4125,20-02-2024
174,Lakhimpur,Sugar,4100,4150,4135,05-02-2024
175,Lakhimpur,Sugar,4100,4150,4135,19-02-2024
176,Lakhimpur,Sugar,4100,4150,4140,23-08-2024
177,Lakhimpur,Sugar,4100,4160,4120,10-02-2024
178,Lakhimpur,Sugar,4100,4160,4120,18-11-2024
179,Lakhimpur,Sugar,4100,4160,4130,08-02-2024
180,Lakhimpur,Sugar,4100,4160,4130,12-02-2024
181,Lakhimpur,Sugar,4100,4160,4130,20-01-2024
182,Lakhimpur,Sugar,4100,4160,4130,22-08-2024
183,Lakhimpur,Sugar,4100,4160,4130,22-02-2024
184,Lakhimpur,Sugar,4100,4165,4130,17-01-2024
185,Lakhimpur,Sugar,4100,4170,4130,12-11-2024
186,Lakhimpur,Sugar,4100,4170,4140,02-08-2024
187,Lakhimpur,Sugar,4100,4170,4140,22-10-2024
188,Lakhimpur,Sugar,4100,4170,4140,27-01-2024
189,Lakhimpur,Sugar,4100,4170,4145,09-02-2024
190,Lakhimpur,Sugar,4100,4175,4140,13-02-2024
191,Lakhimpur,Sugar,4100,4175,4140,28-10-2024
192,Lakhimpur,Sugar,4100,4175,4140,30-01-2024
193,Lakhimpur,Sugar,4100,4180,4120,27-11-2024
194,Lakhimpur,Sugar,4100,4180,4130,05-10-2024
195,Lakhimpur,Sugar,4100,4180,4130,06-06-2024
196,Lakhimpur,Sugar,4100,4180,4130,26-10-2024
197,Lakhimpur,Sugar,4100,4180,4135,26-09-2024
198,Lakhimpur,Sugar,4100,4180,4140,29-07-2024
199,Lakhimpur,Sugar,4100,4180,4150,21-05-2024
