Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Muzaffarnagar,Sugar,3950,4050,4000,19-12-2024
2,Muzaffarnagar,Sugar,3950,4050,4000,20-12-2024
3,Muzaffarnagar,Sugar,3950,4050,4000,21-12-2024
4,Muzaffarnagar,Sugar,3950,4050,4000,23-12-2024
5,Muzaffarnagar,Sugar,3950,4050,4000,24-12-2024
6,Muzaffarnagar,Sugar,3950,4050,4000,25-12-2024
7,Muzaffarnagar,Sugar,3975,4050,4000,13-12-2024
8,Muzaffarnagar,Sugar,3980,4050,4000,01-01-2025
9,Muzaffarnagar,Sugar,3980,4050,4000,05-03-2024
10,Muzaffarnagar,Sugar,3980,4050,4000,07-03-2024
11,Muzaffarnagar,Sugar,3980,4050,4000,08-03-2024
12,Muzaffarnagar,Sugar,3980,4050,4000,09-03-2024
13,Muzaffarnagar,Sugar,3980,4050,4000,14-12-2024
14,Muzaffarnagar,Sugar,3980,4050,4000,15-03-2024
15,Muzaffarnagar,Sugar,3980,4050,4000,16-03-2024
16,Muzaffarnagar,Sugar,3980,4050,4000,17-12-2024
17,Muzaffarnagar,Sugar,3980,4050,4000,18-12-2024
18,Muzaffarnagar,Sugar,3980,4050,4000,26-12-2024
19,Muzaffarnagar,Sugar,3980,4050,4000,27-12-2024
20,Muzaffarnagar,Sugar,3980,4050,4000,28-12-2024
21,Muzaffarnagar,Sugar,3980,4050,4000,30-12-2024
22,Muzaffarnagar,Sugar,4000,4000,4000,01-04-2024
23,Muzaffarnagar,Sugar,4000,4000,4000,01-03-2024
24,Muzaffarnagar,Sugar,4000,4000,4000,02-01-2024
25,Muzaffarnagar,Sugar,4000,4000,4000,02-03-2024
26,Muzaffarnagar,Sugar,4000,4000,4000,03-01-2024
27,Muzaffarnagar,Sugar,4000,4000,4000,04-01-2024
28,Muzaffarnagar,Sugar,4000,4000,4000,04-03-2024
29,Muzaffarnagar,Sugar,4000,4000,4000,06-03-2024
30,Muzaffarnagar,Sugar,4000,4000,4000,14-03-2024
31,Muzaffarnagar,Sugar,4000,4000,4000,18-03-2024
32,Muzaffarnagar,Sugar,4000,4000,4000,19-02-2024
33,Muzaffarnagar,Sugar,4000,4000,4000,20-02-2024
