Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shamli,Sugar,3950,4040,4000,20-12-2024
2,Shamli,Sugar,3950,4050,4000,09-12-2024
3,Shamli,Sugar,3950,4050,4000,10-12-2024
4,Shamli,Sugar,3950,4050,4000,12-12-2024
5,Shamli,Sugar,3950,4050,4000,13-12-2024
6,Shamli,Sugar,3950,4050,4000,16-12-2024
7,Shamli,Sugar,3950,4050,4000,18-12-2024
8,Shamli,Sugar,3950,4050,4000,19-12-2024
9,Shamli,Sugar,3960,4040,4000,07-12-2024
10,Shamli,Sugar,3960,4040,4000,17-12-2024
11,Shamli,Sugar,3960,4040,4000,23-12-2024
12,Shamli,Sugar,3960,4040,4000,27-12-2024
13,Shamli,Sugar,3960,4040,4000,31-12-2024
14,Shamli,Sugar,3970,4030,4000,01-01-2025
15,Shamli,Sugar,3970,4030,4000,21-12-2024
16,Shamli,Sugar,3970,4030,4000,24-12-2024
17,Shamli,Sugar,3970,4030,4000,26-12-2024
18,Shamli,Sugar,3970,4030,4000,28-12-2024
19,Shamli,Sugar,3970,4040,4000,30-12-2024
20,Shamli,Sugar,3980,4020,4000,04-01-2024
21,Shamli,Sugar,3980,4020,4000,07-03-2024
22,Shamli,Sugar,3980,4020,4000,09-03-2024
23,Shamli,Sugar,3980,4020,4000,13-03-2024
24,Shamli,Sugar,3980,4020,4000,14-03-2024
25,Shamli,Sugar,3980,4020,4000,15-03-2024
26,Shamli,Sugar,3980,4020,4000,16-02-2024
27,Shamli,Sugar,3980,4020,4000,17-02-2024
28,Shamli,Sugar,3980,4020,4000,21-02-2024
29,Shamli,Sugar,3980,4020,4000,21-03-2024
30,Shamli,Sugar,3980,4020,4000,22-02-2024
31,Shamli,Sugar,3980,4020,4000,23-02-2024
32,Shamli,Sugar,3980,4020,4000,26-02-2024
33,Shamli,Sugar,3980,4020,4000,27-03-2024
34,Shamli,Sugar,3980,4020,4000,29-07-2024
35,Shamli,Sugar,3980,4020,4000,29-03-2024
36,Shamli,Sugar,3980,4020,4000,30-03-2024
37,Shamli,Sugar,3980,4020,4000,31-07-2024
38,Shamli,Sugar,3990,4030,4010,13-04-2024
39,Shamli,Sugar,4000,4040,4020,05-04-2024
