Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sitapur,Sugar,1980,2020,2000,08-11-2024
2,Sitapur,Sugar,4020,4060,4040,04-04-2024
3,Sitapur,Sugar,4020,4060,4040,05-04-2024
4,Sitapur,Sugar,4030,4070,4050,06-04-2024
5,Sitapur,Sugar,4030,4070,4050,12-04-2024
6,Sitapur,Sugar,4030,4070,4050,15-04-2024
7,Sitapur,Sugar,4030,4070,4050,16-04-2024
8,Sitapur,Sugar,4030,4070,4050,18-04-2024
9,Sitapur,Sugar,4030,4070,4050,19-04-2024
10,Sitapur,Sugar,4030,4070,4050,27-03-2024
11,Sitapur,Sugar,4040,4080,4060,08-04-2024
12,Sitapur,Sugar,4040,4080,4060,10-04-2024
13,Sitapur,Sugar,4040,4080,4060,11-04-2024
14,Sitapur,Sugar,4040,4080,4060,13-04-2024
15,Sitapur,Sugar,4040,4080,4060,15-03-2024
16,Sitapur,Sugar,4040,4080,4060,16-03-2024
17,Sitapur,Sugar,4040,4080,4060,26-03-2024
18,Sitapur,Sugar,4050,4090,4070,01-05-2024
19,Sitapur,Sugar,4050,4090,4070,20-03-2024
20,Sitapur,Sugar,4050,4090,4070,21-03-2024
21,Sitapur,Sugar,4050,4090,4070,22-03-2024
22,Sitapur,Sugar,4050,4090,4070,23-03-2024
23,Sitapur,Sugar,4050,4090,4070,28-03-2024
24,Sitapur,Sugar,4050,4090,4070,29-03-2024
25,Sitapur,Sugar,4050,4090,4070,30-04-2024
26,Sitapur,Sugar,4050,4090,4070,30-03-2024
27,Sitapur,Sugar,4060,4100,4080,01-04-2024
28,Sitapur,Sugar,4060,4100,4080,02-05-2024
29,Sitapur,Sugar,4060,4100,4080,06-03-2024
30,Sitapur,Sugar,4060,4100,4080,07-03-2024
31,Sitapur,Sugar,4060,4100,4080,07-05-2024
32,Sitapur,Sugar,4060,4100,4080,08-03-2024
33,Sitapur,Sugar,4060,4100,4080,10-05-2024
34,Sitapur,Sugar,4060,4100,4080,12-03-2024
35,Sitapur,Sugar,4060,4100,4080,13-03-2024
36,Sitapur,Sugar,4060,4100,4080,14-03-2024
37,Sitapur,Sugar,4060,4100,4080,14-05-2024
38,Sitapur,Sugar,4060,4100,4080,18-03-2024
39,Sitapur,Sugar,4060,4100,4080,19-03-2024
40,Sitapur,Sugar,4060,4100,4080,20-04-2024
41,Sitapur,Sugar,4060,4100,4080,25-04-2024
42,Sitapur,Sugar,4060,4100,4080,26-04-2024
43,Sitapur,Sugar,4060,4100,4080,30-12-2024
44,Sitapur,Sugar,4070,4110,4090,04-05-2024
45,Sitapur,Sugar,4070,4110,4090,05-03-2024
46,Sitapur,Sugar,4070,4110,4090,08-05-2024
47,Sitapur,Sugar,4070,4110,4090,11-03-2024
48,Sitapur,Sugar,4070,4110,4090,15-05-2024
49,Sitapur,Sugar,4070,4110,4090,16-05-2024
50,Sitapur,Sugar,4070,4110,4090,20-12-2024
51,Sitapur,Sugar,4070,4110,4090,22-04-2024
52,Sitapur,Sugar,4070,4110,4090,31-12-2024
