Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmedabad,Ahmedabad,Tomato,200,900,700,08-04-2024
2,Ahmedabad,Ahmedabad,Tomato,200,1200,750,30-03-2024
3,Ahmedabad,Ahmedabad,Tomato,250,800,650,05-04-2024
4,Ahmedabad,Ahmedabad,Tomato,250,1500,1100,22-03-2024
5,Ahmedabad,Ahmedabad,Tomato,300,1000,700,04-04-2024
6,Ahmedabad,Ahmedabad,Tomato,300,1000,700,06-04-2024
7,Ahmedabad,Ahmedabad,Tomato,300,1300,1000,28-03-2024
8,Ahmedabad,Ahmedabad,Tomato,400,1000,750,09-04-2024
9,Ahmedabad,Ahmedabad,Tomato,400,1200,1000,12-04-2024
10,Ahmedabad,Ahmedabad,Tomato,400,1400,1050,21-03-2024
11,Ahmedabad,Ahmedabad,Tomato,400,1400,1050,26-03-2024
12,Ahmedabad,Ahmedabad,Tomato,400,1800,1100,24-04-2024
13,Ahmedabad,Ahmedabad,Tomato,500,1200,950,03-04-2024
14,Ahmedabad,Ahmedabad,Tomato,500,1200,950,13-04-2024
15,Ahmedabad,Ahmedabad,Tomato,500,1200,1050,16-05-2024
16,Ahmedabad,Ahmedabad,Tomato,500,1300,1050,02-04-2024
17,Ahmedabad,Ahmedabad,Tomato,500,1400,1150,30-04-2024
18,Ahmedabad,Ahmedabad,Tomato,500,1500,1100,27-03-2024
19,Ahmedabad,Ahmedabad,Tomato,500,1500,1150,22-04-2024
20,Ahmedabad,Ahmedabad,Tomato,500,1500,1150,29-04-2024
21,Ahmedabad,Ahmedabad,Tomato,500,1500,1200,27-04-2024
22,Ahmedabad,Ahmedabad,Tomato,500,1500,1250,19-04-2024
23,Ahmedabad,Ahmedabad,Tomato,500,1500,1250,20-03-2024
24,Ahmedabad,Ahmedabad,Tomato,500,1500,1250,23-04-2024
25,Ahmedabad,Ahmedabad,Tomato,500,1600,1150,03-05-2024
26,Ahmedabad,Ahmedabad,Tomato,500,1600,1200,26-04-2024
27,Ahmedabad,Ahmedabad,Tomato,500,1800,1100,01-05-2024
28,Ahmedabad,Ahmedabad,Tomato,500,1800,1300,02-05-2024
29,Ahmedabad,Ahmedabad,Tomato,600,1300,1100,12-01-2024
30,Ahmedabad,Ahmedabad,Tomato,600,1300,1100,15-05-2024
31,Ahmedabad,Ahmedabad,Tomato,600,1500,1100,09-01-2024
32,Ahmedabad,Ahmedabad,Tomato,600,1500,1250,18-04-2024
33,Ahmedabad,Ahmedabad,Tomato,700,1300,1100,06-01-2024
34,Ahmedabad,Ahmedabad,Tomato,700,1300,1100,17-05-2024
35,Ahmedabad,Ahmedabad,Tomato,700,1400,1100,13-01-2024
36,Ahmedabad,Ahmedabad,Tomato,700,1400,1250,18-05-2024
37,Ahmedabad,Ahmedabad,Tomato,700,1500,1100,05-01-2024
38,Ahmedabad,Ahmedabad,Tomato,700,1500,1250,11-05-2024
39,Ahmedabad,Ahmedabad,Tomato,700,1500,1300,03-01-2024
40,Ahmedabad,Ahmedabad,Tomato,700,1600,1250,11-01-2024
41,Ahmedabad,Ahmedabad,Tomato,700,1600,1300,19-03-2024
42,Ahmedabad,Ahmedabad,Tomato,700,1600,1350,01-01-2024
43,Ahmedabad,Ahmedabad,Tomato,700,1800,1150,27-05-2024
44,Ahmedabad,Ahmedabad,Tomato,700,1800,1350,13-05-2024
45,Ahmedabad,Ahmedabad,Tomato,700,1800,1350,17-01-2024
46,Ahmedabad,Ahmedabad,Tomato,700,1800,1350,19-01-2024
47,Ahmedabad,Ahmedabad,Tomato,700,1800,1350,20-04-2024
48,Ahmedabad,Ahmedabad,Tomato,700,1800,1350,29-02-2024
49,Ahmedabad,Ahmedabad,Tomato,700,1800,1450,18-03-2024
50,Ahmedabad,Ahmedabad,Tomato,700,2000,1450,04-05-2024
51,Ahmedabad,Ahmedabad,Tomato,700,2000,1600,02-01-2024
52,Ahmedabad,Ahmedabad,Tomato,700,2000,1650,01-01-2025
53,Ahmedabad,Ahmedabad,Tomato,800,1500,1250,14-05-2024
54,Ahmedabad,Ahmedabad,Tomato,800,1600,1200,08-01-2024
55,Ahmedabad,Ahmedabad,Tomato,800,1700,1450,10-01-2024
56,Ahmedabad,Ahmedabad,Tomato,800,1800,1350,18-01-2024
57,Ahmedabad,Ahmedabad,Tomato,800,1800,1350,30-05-2024
58,Ahmedabad,Ahmedabad,Tomato,800,1800,1550,01-03-2024
59,Ahmedabad,Ahmedabad,Tomato,800,1800,1650,15-01-2024
60,Ahmedabad,Ahmedabad,Tomato,800,2000,1450,02-03-2024
61,Ahmedabad,Ahmedabad,Tomato,800,2000,1650,13-03-2024
62,Ahmedabad,Ahmedabad,Tomato,800,2000,1650,16-03-2024
63,Ahmedabad,Ahmedabad,Tomato,800,2000,1650,28-02-2024
64,Ahmedabad,Ahmedabad,Tomato,800,2000,1700,14-03-2024
65,Ahmedabad,Ahmedabad,Tomato,800,2100,1700,09-05-2024
66,Ahmedabad,Ahmedabad,Tomato,800,2200,1650,08-05-2024
67,Ahmedabad,Ahmedabad,Tomato,800,2200,1850,06-03-2024
68,Ahmedabad,Ahmedabad,Tomato,800,2250,1700,31-12-2024
