Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Tomato,200,1000,600,23-04-2024
2,Ahmednagar,Ahmednagar,Tomato,200,1200,700,22-04-2024
3,Ahmednagar,Ahmednagar,Tomato,200,1200,700,31-03-2024
4,Ahmednagar,Ahmednagar,Tomato,200,1500,850,25-04-2024
5,Ahmednagar,Ahmednagar,Tomato,200,1500,850,25-05-2024
6,Ahmednagar,Ahmednagar,Tomato,200,1600,900,08-09-2024
7,Ahmednagar,Ahmednagar,Tomato,200,1600,900,11-05-2024
8,Ahmednagar,Ahmednagar,Tomato,200,1600,900,26-04-2024
9,Ahmednagar,Ahmednagar,Tomato,200,1800,1000,15-04-2024
10,Ahmednagar,Ahmednagar,Tomato,200,1800,1000,29-12-2024
11,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,04-05-2024
12,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,05-05-2024
13,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,07-04-2024
14,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,10-05-2024
15,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,22-03-2024
16,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,28-12-2024
17,Ahmednagar,Ahmednagar,Tomato,200,2000,1100,30-03-2024
18,Ahmednagar,Ahmednagar,Tomato,200,2500,1350,28-03-2024
19,Ahmednagar,Ahmednagar,Tomato,300,1200,750,02-09-2024
20,Ahmednagar,Ahmednagar,Tomato,300,1500,900,23-05-2024
21,Ahmednagar,Ahmednagar,Tomato,300,2000,1150,08-03-2024
22,Ahmednagar,Ahmednagar,Tomato,300,2000,1150,09-08-2024
23,Ahmednagar,Ahmednagar,Tomato,300,2000,1150,10-09-2024
24,Ahmednagar,Ahmednagar,Tomato,300,2200,1250,29-03-2024
25,Ahmednagar,Ahmednagar,Tomato,300,2500,1400,02-06-2024
26,Ahmednagar,Ahmednagar,Tomato,300,2800,1550,26-12-2024
27,Ahmednagar,Ahmednagar,Tomato,400,1500,950,30-12-2024
28,Ahmednagar,Ahmednagar,Tomato,400,1600,1000,29-08-2024
29,Ahmednagar,Ahmednagar,Tomato,400,1600,1000,31-08-2024
30,Ahmednagar,Ahmednagar,Tomato,400,2000,1200,12-09-2024
31,Ahmednagar,Ahmednagar,Tomato,400,2500,1450,16-08-2024
32,Ahmednagar,Ahmednagar,Tomato,400,2700,1550,22-08-2024
33,Ahmednagar,Ahmednagar,Tomato,500,1500,1000,19-03-2024
34,Ahmednagar,Ahmednagar,Tomato,500,1800,1150,27-08-2024
35,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,02-03-2024
36,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,03-06-2024
37,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,05-03-2024
38,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,09-03-2024
39,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,11-03-2024
40,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,14-12-2024
41,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,14-03-2024
42,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,16-12-2024
43,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,17-08-2024
44,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,22-01-2024
45,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,25-02-2024
46,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,26-02-2024
47,Ahmednagar,Ahmednagar,Tomato,500,2000,1250,26-05-2024
48,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,01-04-2024
49,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,04-08-2024
50,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,09-01-2024
51,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,10-08-2024
52,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,15-12-2024
53,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,16-03-2024
54,Ahmednagar,Ahmednagar,Tomato,500,2200,1350,23-01-2024
55,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,02-08-2024
56,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,06-08-2024
57,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,11-08-2024
58,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,12-08-2024
59,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,13-02-2024
60,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,19-12-2024
61,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,19-09-2024
62,Ahmednagar,Ahmednagar,Tomato,500,2500,1500,30-07-2024
63,Ahmednagar,Ahmednagar,Tomato,500,2600,1550,09-09-2024
64,Ahmednagar,Ahmednagar,Tomato,500,2600,1550,20-12-2024
65,Ahmednagar,Ahmednagar,Tomato,500,2800,1650,20-08-2024
66,Ahmednagar,Ahmednagar,Tomato,500,3000,1750,01-08-2024
67,Ahmednagar,Ahmednagar,Tomato,500,3000,1750,07-03-2024
68,Ahmednagar,Ahmednagar,Tomato,500,3000,1750,10-02-2024
69,Ahmednagar,Ahmednagar,Tomato,500,3000,1750,13-08-2024
70,Ahmednagar,Ahmednagar,Tomato,500,3000,1750,24-11-2024
71,Ahmednagar,Ahmednagar,Tomato,500,3000,1750,26-11-2024
72,Ahmednagar,Ahmednagar,Tomato,500,3200,1850,01-01-2024
73,Ahmednagar,Ahmednagar,Tomato,500,3500,2000,13-06-2024
74,Ahmednagar,Ahmednagar,Tomato,500,3500,2000,23-09-2024
75,Ahmednagar,Ahmednagar,Tomato,500,3500,2000,27-09-2024
76,Ahmednagar,Ahmednagar,Tomato,500,4000,2250,05-11-2024
77,Ahmednagar,Ahmednagar,Tomato,500,4000,2250,26-07-2024
78,Ahmednagar,Ahmednagar,Tomato,500,4000,2250,29-09-2024
79,Ahmednagar,Ahmednagar,Tomato,500,4000,2260,29-07-2024
80,Ahmednagar,Ahmednagar,Tomato,500,4500,2500,01-10-2024
81,Ahmednagar,Ahmednagar,Tomato,600,2200,1400,15-01-2024
82,Ahmednagar,Ahmednagar,Tomato,600,2800,1700,06-01-2024
83,Ahmednagar,Ahmednagar,Tomato,600,2800,1700,23-12-2024
84,Ahmednagar,Ahmednagar,Tomato,600,3000,1800,22-12-2024
85,Ahmednagar,Ahmednagar,Tomato,600,3500,2050,26-09-2024
86,Ahmednagar,Ahmednagar,Tomato,600,3800,3200,06-06-2024
87,Ahmednagar,Ahmednagar,Tomato,700,2200,1450,19-02-2024
88,Ahmednagar,Ahmednagar,Tomato,700,3000,1850,21-12-2024
