Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Anand,"Anand(Veg,Yard,Anand)",Tomato,400,500,450,30-03-2024
2,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,03-04-2024
3,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,05-04-2024
4,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,06-04-2024
5,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,08-04-2024
6,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,09-04-2024
7,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,12-03-2024
8,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,13-03-2024
9,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,16-04-2024
10,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,17-04-2024
11,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,18-04-2024
12,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,20-03-2024
13,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,21-03-2024
14,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,22-03-2024
15,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,750,600,28-03-2024
16,Anand,"Anand(Veg,Yard,Anand)",Tomato,500,900,750,04-04-2024
17,Anand,"Anand(Veg,Yard,Anand)",Tomato,600,800,700,15-04-2024
18,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,01-03-2024
19,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,02-03-2024
20,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,05-03-2024
21,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,07-03-2024
22,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,08-02-2024
23,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,09-02-2024
24,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,09-03-2024
25,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,10-01-2024
26,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,11-01-2024
27,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,11-03-2024
28,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,12-04-2024
29,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,16-05-2024
30,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,18-03-2024
31,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,19-03-2024
32,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,22-04-2024
33,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,22-02-2024
34,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,27-03-2024
35,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,28-02-2024
36,Anand,"Anand(Veg,Yard,Anand)",Tomato,750,1000,800,29-03-2024
37,Anand,"Anand(Veg,Yard,Anand)",Tomato,800,1000,900,09-01-2024
38,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1200,1100,01-01-2024
39,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1200,1100,08-01-2024
40,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1200,1100,16-02-2024
41,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1200,1100,17-05-2024
42,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1100,03-05-2024
43,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1100,15-05-2024
44,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1100,23-02-2024
45,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1100,27-02-2024
46,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1100,29-02-2024
47,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,02-01-2024
48,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,04-03-2024
49,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,06-03-2024
50,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,13-04-2024
51,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,14-03-2024
52,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,15-03-2024
53,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,19-04-2024
54,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,24-04-2024
55,Anand,"Anand(Veg,Yard,Anand)",Tomato,1000,1250,1150,26-03-2024
