Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,170,2000,1800,31-01-2024
2,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,800,1000,900,06-08-2024
3,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,800,1000,900,07-08-2024
4,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,800,1200,1000,08-08-2024
5,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,800,1600,1200,29-02-2024
6,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,900,1500,1000,05-03-2024
7,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1200,1100,06-03-2024
8,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1200,1100,22-08-2024
9,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1200,1100,23-08-2024
10,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1400,1200,04-03-2024
11,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1400,1200,16-03-2024
12,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1400,1200,19-03-2024
13,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1500,1200,19-08-2024
14,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1500,1300,11-03-2024
15,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1500,1300,12-03-2024
16,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1500,1300,13-03-2024
17,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1500,1300,14-08-2024
18,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1500,1300,16-08-2024
19,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1100,07-03-2024
20,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1300,11-09-2024
21,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1300,15-03-2024
22,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1300,18-03-2024
23,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,12-08-2024
24,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,16-12-2024
25,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,17-12-2024
26,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,18-12-2024
27,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,19-12-2024
28,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,20-12-2024
29,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1600,1400,21-12-2024
30,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1800,1500,09-08-2024
31,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,1800,1700,15-11-2024
32,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1000,2000,1500,17-08-2024
33,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1100,1200,1150,21-08-2024
34,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1100,1400,1300,21-03-2024
35,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1100,1700,1500,13-08-2024
36,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1300,1250,20-08-2024
37,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1300,1250,20-03-2024
38,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1300,1250,22-03-2024
39,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1500,1300,30-03-2024
40,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1500,1400,03-04-2024
41,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1500,1400,24-04-2024
42,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,1200,1500,1400,28-03-2024
