Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bargarh,Attabira,Tomato,1000,1500,1200,30-12-2024
2,Bargarh,Attabira,Tomato,1200,1500,1200,15-01-2024
3,Bargarh,Attabira,Tomato,1800,2000,1800,04-03-2024
4,Bargarh,Attabira,Tomato,1800,2000,1800,08-04-2024
5,Bargarh,Attabira,Tomato,1800,2000,1800,12-02-2024
6,Bargarh,Attabira,Tomato,1800,2000,1800,15-04-2024
7,Bargarh,Attabira,Tomato,1800,2000,1800,16-12-2024
8,Bargarh,Attabira,Tomato,1800,2000,1800,18-03-2024
9,Bargarh,Attabira,Tomato,1800,2000,1800,19-02-2024
10,Bargarh,Attabira,Tomato,1800,2000,1800,26-02-2024
11,Bargarh,Attabira,Tomato,2000,2500,2000,05-02-2024
12,Bargarh,Attabira,Tomato,2000,2500,2000,23-12-2024
13,Bargarh,Attabira,Tomato,2200,2500,2200,06-05-2024
14,Bargarh,Attabira,Tomato,2200,2500,2400,25-03-2024
15,Bargarh,Attabira,Tomato,2400,2500,2400,13-05-2024
16,Bargarh,Attabira,Tomato,2500,3000,2500,09-12-2024
17,Bargarh,Attabira,Tomato,2500,3000,2500,18-11-2024
18,Bargarh,Attabira,Tomato,2500,3000,2500,22-04-2024
19,Bargarh,Attabira,Tomato,2500,3000,2500,29-04-2024
20,Bargarh,Attabira,Tomato,2500,3000,2500,29-01-2024
21,Bargarh,Attabira,Tomato,2500,3000,2800,26-08-2024
22,Bargarh,Attabira,Tomato,2800,3000,2800,02-09-2024
23,Bargarh,Attabira,Tomato,3000,3500,3000,11-11-2024
24,Bargarh,Attabira,Tomato,3000,3500,3200,07-09-2024
25,Bargarh,Attabira,Tomato,3000,4000,3500,09-09-2024
26,Bargarh,Attabira,Tomato,3500,4000,3500,12-08-2024
27,Bargarh,Attabira,Tomato,3500,4000,3500,16-09-2024
28,Bargarh,Attabira,Tomato,3500,4000,3500,27-05-2024
29,Bargarh,Attabira,Tomato,3600,4000,3800,19-08-2024
30,Bargarh,Attabira,Tomato,4000,4500,4000,02-12-2024
31,Bargarh,Attabira,Tomato,4000,4500,4000,23-09-2024
32,Bargarh,Attabira,Tomato,4000,4500,4000,29-07-2024
33,Bargarh,Attabira,Tomato,4000,5000,4500,04-11-2024
34,Bargarh,Attabira,Tomato,4000,5000,4500,25-11-2024
35,Bargarh,Attabira,Tomato,4500,5000,4500,05-08-2024
36,Bargarh,Attabira,Tomato,4500,5000,4500,08-07-2024
37,Bargarh,Attabira,Tomato,4500,5000,4500,10-06-2024
38,Bargarh,Attabira,Tomato,4800,5000,4800,28-10-2024
39,Bargarh,Attabira,Tomato,5000,6000,5500,15-07-2024
40,Bargarh,Attabira,Tomato,5000,6000,5500,17-06-2024
41,Bargarh,Attabira,Tomato,5000,6000,5500,22-07-2024
42,Bargarh,Attabira,Tomato,5500,6500,6000,01-07-2024
43,Bargarh,Attabira,Tomato,5500,6500,6000,14-10-2024
44,Bargarh,Attabira,Tomato,6500,7000,6500,07-10-2024
45,Bargarh,Attabira,Tomato,6500,7000,6500,21-10-2024
46,Bargarh,Attabira,Tomato,7000,8000,7500,24-06-2024
47,Bargarh,Attabira,Tomato,7000,8000,7500,30-09-2024
48,Bargarh,Bargarh,Tomato,500,700,600,04-03-2024
49,Bargarh,Bargarh,Tomato,500,700,600,09-02-2024
50,Bargarh,Bargarh,Tomato,500,700,600,19-02-2024
51,Bargarh,Bargarh,Tomato,500,700,600,28-02-2024
52,Bargarh,Bargarh,Tomato,600,800,700,18-02-2024
53,Bargarh,Bargarh,Tomato,600,800,700,21-02-2024
54,Bargarh,Bargarh,Tomato,600,800,700,22-02-2024
55,Bargarh,Bargarh,Tomato,600,800,700,24-02-2024
56,Bargarh,Bargarh,Tomato,800,1000,900,20-02-2024
57,Bargarh,Bargarh,Tomato,900,1100,1000,09-03-2024
58,Bargarh,Bargarh,Tomato,900,1100,1000,23-02-2024
59,Bargarh,Bargarh,Tomato,1000,1200,1100,07-03-2024
60,Bargarh,Bargarh,Tomato,1000,1200,1100,28-03-2024
61,Bargarh,Bargarh,Tomato,1100,1300,1200,01-03-2024
62,Bargarh,Bargarh,Tomato,1100,1300,1200,02-04-2024
63,Bargarh,Bargarh,Tomato,1100,1300,1200,03-03-2024
64,Bargarh,Bargarh,Tomato,1100,1300,1200,08-03-2024
65,Bargarh,Bargarh,Tomato,1100,1300,1200,12-03-2024
66,Bargarh,Bargarh,Tomato,1100,1300,1200,13-02-2024
67,Bargarh,Bargarh,Tomato,1100,1300,1200,17-02-2024
68,Bargarh,Bargarh,Tomato,1100,1300,1200,20-03-2024
69,Bargarh,Bargarh,Tomato,1100,1300,1200,23-03-2024
70,Bargarh,Bargarh,Tomato,1200,1400,1300,02-03-2024
71,Bargarh,Bargarh,Tomato,1200,1400,1300,03-04-2024
