Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,01-02-2024
2,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,02-02-2024
3,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,16-01-2024
4,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,17-01-2024
5,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,18-01-2024
6,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,19-02-2024
7,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,19-01-2024
8,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,20-02-2024
9,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,20-01-2024
10,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,21-02-2024
11,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,21-01-2024
12,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,22-04-2024
13,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,22-02-2024
14,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,22-01-2024
15,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,23-04-2024
16,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,23-02-2024
17,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,24-01-2024
18,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,25-02-2024
19,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,25-01-2024
20,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,26-02-2024
21,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,27-02-2024
22,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,28-02-2024
23,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,29-02-2024
24,DakshinDinajpur,Balurghat,Tomato,1400,1600,1500,29-01-2024
25,DakshinDinajpur,Balurghat,Tomato,1500,1700,1600,01-03-2024
