Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1000,1200,1200,01-09-2024
2,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1200,1400,1400,12-09-2024
3,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1200,1500,1500,13-09-2024
4,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1200,1500,1500,31-08-2024
5,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1300,1500,1500,03-09-2024
6,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1300,1500,1500,09-09-2024
7,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,02-09-2024
8,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,07-09-2024
9,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,08-09-2024
10,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,10-09-2024
11,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,11-09-2024
12,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,14-09-2024
13,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1400,1600,1600,18-08-2024
14,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1500,1800,1800,26-08-2024
15,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1500,1800,1800,30-12-2024
16,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1500,1800,1800,31-12-2024
17,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1500,2000,2000,16-12-2024
18,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1500,2000,2000,17-12-2024
19,Dharmapuri,AJattihalli(Uzhavar Sandhai ),Tomato,1600,1800,1800,01-01-2025
